Quarter,Time,Tm,Detail,TAM,BUF
1.0,9:44,Buccaneers,Patrick Murray 50 yard field goal,3,0
,5:45,Bills,Stephen Hauschka 25 yard field goal,3,3
,0:22,Buccaneers,Patrick Murray 25 yard field goal,6,3
2.0,9:26,Bills,LeSean McCoy 1 yard rush (Stephen Hauschka kick),6,10
3.0,11:36,Bills,Logan Thomas 22 yard pass from Tyrod Taylor (Stephen Hauschka kick),6,17
,7:11,Buccaneers,O.J. Howard 7 yard pass from Jameis Winston (Patrick Murray kick),13,17
4.0,13:31,Bills,Stephen Hauschka 52 yard field goal,13,20
,10:08,Buccaneers,O.J. Howard 33 yard pass from Jameis Winston (Patrick Murray kick),20,20
,3:14,Buccaneers,Mike Evans 12 yard pass from Jameis Winston (Patrick Murray kick),27,20
,2:28,Bills,LeSean McCoy 7 yard rush (Stephen Hauschka kick),27,27
,0:14,Bills,Stephen Hauschka 30 yard field goal,27,30
