Unnamed: 0,PIT,NWE
First Downs,19,21
Rush-Yds-TDs,32-181-0,9-22-0
Cmp-Att-Yd-TD-INT,19-32-187-1-0,32-46-399-4-0
Sacked-Yards,3-19,0-0
Net Pass Yards,168,399
Total Yards,349,421
Fumbles-Lost,1-1,2-0
Turnovers,1,0
Penalties-Yards,6-49,3-20
Third Down Conv.,5-14,4-11
Fourth Down Conv.,2-4,1-1
Time of Possession,34:43,25:17
