Quarter,Time,Down,ToGo,Location,PIT,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 67 yards, returned by Chad Jackson for 16 yards (tackle by Andre Frazier)",0.000,0.150
1,14:55,1,10,NWE 19,0,0,Tom Brady pass complete short right to Kevin Faulk for 4 yards (tackle by James Farrior),0.150,0.210
1,14:16,2,6,NWE 23,0,0,Tom Brady pass incomplete short middle intended for Wes Welker,0.210,-0.550
1,14:13,3,6,NWE 23,0,0,Tom Brady pass incomplete short right intended for Ben Watson,-0.550,-1.830
1,14:09,4,6,NWE 23,0,0,"Chris Hanson punts 45 yards, returned by Allen Rossum for 4 yards (tackle by Heath Evans)",-1.830,-1.330
1,13:59,1,10,PIT 36,0,0,Ben Roethlisberger pass complete short left to Hines Ward for 6 yards (tackle by Junior Seau),1.330,1.600
1,13:20,2,4,PIT 42,0,0,Willie Parker left end for 2 yards (tackle by Adalius Thomas and Richard Seymour),1.600,1.160
1,12:37,3,2,PIT 44,0,0,Ben Roethlisberger pass complete short right to Heath Miller for 7 yards (tackle by Rodney Harrison),1.160,2.320
1,11:58,1,10,NWE 49,0,0,Willie Parker up the middle for -2 yards (tackle by Vince Wilfork),2.320,1.510
1,11:19,2,12,PIT 49,0,0,Ben Roethlisberger right guard for 5 yards (tackle by Ty Warren),1.510,1.490
1,10:33,3,7,NWE 46,0,0,Ben Roethlisberger pass complete short left to Santonio Holmes for 13 yards (tackle by Ellis Hobbs),1.490,3.380
1,10:00,1,10,NWE 33,0,0,Willie Parker up the middle for no gain (tackle by Tedy Bruschi and Richard Seymour),3.380,2.840
1,9:18,2,10,NWE 33,0,0,Ben Roethlisberger pass complete short middle to Heath Miller for 11 yards (tackle by James Sanders),2.840,4.110
1,8:37,1,10,NWE 22,0,0,Ben Roethlisberger pass incomplete deep right intended for Hines Ward,4.110,3.560
1,8:30,2,10,NWE 22,0,0,Willie Parker up the middle for 9 yards (tackle by Rodney Harrison and Adalius Thomas),3.560,4.390
1,8:04,3,1,NWE 13,0,0,Ben Roethlisberger up the middle for 1 yard (tackle by Ty Warren),4.390,4.780
1,7:21,1,10,NWE 12,0,0,"Ben Roethlisberger pass incomplete short middle intended for Heath Miller (defended by Tedy Bruschi). Penalty on Tedy Bruschi: Defensive Holding, 5 yards (no play)",4.780,5.600
1,7:17,1,7,NWE 7,0,0,Willie Parker left guard for 1 yard (tackle by Junior Seau and Richard Seymour),5.600,4.950
1,6:40,2,6,NWE 6,0,0,Ben Roethlisberger pass complete short right to Heath Miller for 1 yard (tackle by Rodney Harrison),4.950,4.260
1,5:54,3,5,NWE 5,0,0,Ben Roethlisberger pass incomplete short left intended for Santonio Holmes,4.260,3.010
1,5:49,4,5,NWE 5,3,0,Jeff Reed 23 yard field goal good,3.010,3.000
1,,,,PIT 30,3,0,"Jeff Reed kicks off 61 yards, returned by Chad Jackson for 39 yards (tackle by Jeff Reed)",0.000,2.130
1,5:39,1,10,NWE 48,3,0,Laurence Maroney left guard for 2 yards (tackle by Clark Haggans and Casey Hampton),2.130,1.850
1,4:59,2,8,,3,0,Tom Brady pass complete short left to Kevin Faulk for 6 yards (tackle by James Harrison),1.850,1.950
1,4:18,3,2,PIT 44,3,0,Tom Brady pass complete short right to Randy Moss for 16 yards (tackle by Ike Taylor),1.950,3.710
1,3:42,1,10,PIT 28,3,0,Laurence Maroney up the middle for 10 yards (tackle by Clark Haggans and Anthony Smith),3.710,4.370
1,3:02,1,10,PIT 18,3,0,Tom Brady pass incomplete short left intended for Randy Moss,4.370,3.800
1,3:00,2,10,PIT 18,3,0,Tom Brady pass complete short left to Jabar Gaffney for 9 yards (tackle by Deshea Townsend),3.800,4.740
1,2:32,3,1,PIT 9,3,0,Laurence Maroney left guard for 2 yards (tackle by Deshea Townsend),4.740,5.600
1,1:51,1,7,PIT 7,3,0,Laurence Maroney up the middle for 3 yards (tackle by Aaron Smith and Anthony Smith),5.600,5.340
1,1:08,2,4,PIT 4,3,6,"Tom Brady pass complete short left to Randy Moss for 4 yards, touchdown",5.340,7.000
1,,,,PIT 2,3,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,3,7,"Stephen Gostkowski kicks off 63 yards, returned by Allen Rossum for 20 yards (tackle by Mel Mitchell)",0.000,0.740
1,1:00,1,10,PIT 27,3,7,Ben Roethlisberger sacked by Jarvis Green for -9 yards,0.740,-1.120
1,0:23,2,19,PIT 18,3,7,Willie Parker left end for 3 yards (tackle by Vince Wilfork and Ellis Hobbs),-1.120,-1.290
Quarter,Time,Down,ToGo,Location,PIT,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,16,PIT 21,3,7,Ben Roethlisberger pass complete short right to Hines Ward for 9 yards (tackle by Randall Gay),-1.290,-1.370
2,14:25,4,7,PIT 30,3,7,"Daniel Sepulveda punts 44 yards, returned by Chad Jackson for 6 yards (tackle by Carey Davis). Penalty on William Gay: Player Out of Bounds on Punt, 5 yards",-1.370,-1.400
2,14:16,1,10,NWE 37,3,13,"Tom Brady pass complete deep middle to Randy Moss for 63 yards, touchdown",1.400,7.000
2,,,,PIT 2,3,14,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,3,14,"Stephen Gostkowski kicks off 71 yards, returned by Allen Rossum for 24 yards (tackle by Kelley Washington)",0.000,0.480
2,13:57,1,10,PIT 23,3,14,Willie Parker left tackle for 4 yards (tackle by Tedy Bruschi),0.480,0.470
2,13:25,2,6,PIT 27,3,14,Willie Parker right tackle for 30 yards (tackle by James Sanders),0.470,2.720
2,12:49,1,10,NWE 43,3,14,Ben Roethlisberger pass complete short right to Willie Parker for 4 yards (tackle by Mike Vrabel),2.720,2.720
2,12:14,2,6,NWE 39,3,14,Ben Roethlisberger pass complete short left to Hines Ward for 7 yards (tackle by Tedy Bruschi),2.720,3.450
2,11:40,1,10,NWE 32,9,14,"Ben Roethlisberger pass complete deep left to Najeh Davenport for 32 yards, touchdown",3.450,7.000
2,,,,NWE 2,10,14,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,10,14,"Jeff Reed kicks off 58 yards, returned by Chad Jackson for 15 yards (tackle by Andre Frazier)",0.000,0.740
2,11:25,1,10,NWE 27,10,14,Tom Brady pass incomplete short left intended for Randy Moss,0.740,0.200
2,11:21,2,10,NWE 27,10,14,Laurence Maroney right guard for no gain (tackle by Casey Hampton),0.200,-0.490
2,10:39,3,10,NWE 27,10,14,Tom Brady pass complete short right to Ben Watson for 6 yards (tackle by Tyrone Carter),-0.490,-1.180
2,10:02,4,4,NWE 33,10,14,"Chris Hanson punts 33 yards, muffed catch by William Gay, recovered by James Sanders and returned for no gain",-1.180,3.310
2,9:53,1,10,PIT 34,10,14,Tom Brady pass incomplete deep left intended for Donte Stallworth,3.310,2.770
2,9:48,2,10,PIT 34,10,14,Laurence Maroney left guard for no gain (tackle by James Farrior and James Harrison),2.770,2.080
2,9:48,3,10,PIT 34,10,14,Tom Brady pass complete short left to Ben Watson for 4 yards (tackle by Ike Taylor),2.080,1.430
2,8:26,4,6,PIT 30,10,14,Stephen Gostkowski 48 yard field goal no good,1.430,-1.470
2,8:21,1,10,PIT 38,10,14,Willie Parker right guard for 3 yards (tackle by Mike Wright),1.470,1.330
2,7:48,2,7,PIT 41,10,14,Willie Parker up the middle for 5 yards (tackle by Mike Wright and Tedy Bruschi),1.330,1.290
2,7:03,3,2,PIT 46,10,14,Willie Parker right guard for 1 yard (tackle by Vince Wilfork and Adalius Thomas),1.290,-0.260
2,6:35,4,1,PIT 47,10,14,Najeh Davenport up the middle for 2 yards (tackle by Junior Seau),-0.260,2.190
2,5:52,1,10,PIT 49,10,14,"Penalty on Willie Parker: False Start, 5 yards (no play)",2.190,1.860
2,5:32,1,15,PIT 44,10,14,Ben Roethlisberger pass incomplete short left intended for Hines Ward,1.860,0.970
2,5:26,2,15,PIT 44,10,14,"Ben Roethlisberger pass incomplete short left intended for Heath Miller. Penalty on Willie Colon: Offensive Holding, 10 yards (no play)",0.970,-0.380
2,5:22,2,25,PIT 34,10,14,Ben Roethlisberger pass complete short left to Cedrick Wilson for 15 yards (tackle by Randall Gay),-0.380,0.960
2,4:48,3,10,PIT 49,10,14,Ben Roethlisberger left guard for 9 yards (tackle by James Sanders),0.960,0.460
2,4:11,,,,10,14,Timeout #2 by Pittsburgh Steelers,0.000,0.460
2,4:11,4,1,NWE 42,10,14,Ben Roethlisberger pass complete short left to Cedrick Wilson for 8 yards (tackle by Junior Seau),0.460,3.310
2,3:28,1,10,NWE 34,10,14,Ben Roethlisberger pass incomplete short left intended for Willie Parker,3.310,2.770
2,3:23,2,10,NWE 34,10,14,Ben Roethlisberger pass complete short right to Nate Washington for 8 yards (tackle by Adalius Thomas),2.770,3.140
2,2:36,,,,10,14,Timeout #3 by Pittsburgh Steelers,0.000,3.140
2,2:36,3,2,NWE 26,10,14,Ben Roethlisberger pass incomplete short right intended for Hines Ward (defended by Asante Samuel),3.140,1.860
2,2:34,4,2,NWE 26,13,14,Jeff Reed 44 yard field goal good,1.860,3.000
2,,,,PIT 30,13,14,"Jeff Reed kicks off 55 yards, returned by Chad Jackson for no gain",0.000,0.410
2,2:26,1,10,NWE 22,13,14,Tom Brady pass complete short right to Ben Watson for 15 yards (tackle by Tyrone Carter),0.410,1.400
2,2:00,1,10,NWE 37,13,14,Tom Brady pass incomplete short middle intended for Wes Welker,1.400,0.860
