Unnamed: 0,DET,CHI
First Downs,21,19
Rush-Yds-TDs,18-97-0,32-171-0
Cmp-Att-Yd-TD-INT,28-46-263-1-1,17-32-150-1-0
Sacked-Yards,3-20,5-25
Net Pass Yards,243,125
Total Yards,340,296
Fumbles-Lost,6-3,0-0
Turnovers,4,0
Penalties-Yards,5-47,9-49
Third Down Conv.,4-13,6-17
Fourth Down Conv.,0-1,0-0
Time of Possession,25:25,34:35
