Quarter,Time,Tm,Detail,NOR,CAR
1.0,13:50,Saints,Jed Collins 1 yard pass from Drew Brees (John Kasay kick),7,0
,6:15,Saints,John Kasay 23 yard field goal,10,0
,2:52,Panthers,Steve Smith Sr. 54 yard pass from Cam Newton (Olindo Mare kick failed),10,6
2.0,5:27,Saints,Mark Ingram 1 yard rush (John Kasay kick),17,6
,3:47,Panthers,DeAngelo Williams 69 yard rush (Olindo Mare kick),17,13
,0:00,Saints,John Kasay 46 yard field goal,20,13
3.0,10:47,Saints,John Kasay 37 yard field goal,23,13
,3:43,Panthers,Cam Newton 1 yard rush (Olindo Mare kick),23,20
4.0,12:32,Panthers,Greg Olsen 5 yard pass from Cam Newton (Olindo Mare kick),23,27
,0:50,Saints,Pierre Thomas 6 yard pass from Drew Brees (John Kasay kick),30,27
