Unnamed: 0,NOR,CAR
First Downs,27,20
Rush-Yds-TDs,28-101-1,22-162-2
Cmp-Att-Yd-TD-INT,32-45-359-2-1,16-31-224-2-1
Sacked-Yards,2-16,1-5
Net Pass Yards,343,219
Total Yards,444,381
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,9-82,7-65
Third Down Conv.,12-17,7-12
Fourth Down Conv.,0-0,0-0
Time of Possession,34:40,25:20
