Quarter,Time,Tm,Detail,SFO,ARI
1,9:48,49ers,Brandon Lloyd 5 yard pass from Ken Dorsey (Todd Peterson kick),7,0
2,13:36,49ers,Cedrick Wilson 19 yard pass from Ken Dorsey (Todd Peterson kick),14,0
,8:19,49ers,Maurice Hicks 1 yard rush (Todd Peterson kick),21,0
,3:15,Cardinals,Neil Rackers 44 yard field goal,21,3
3,9:57,49ers,Cedrick Wilson 27 yard pass from Ken Dorsey (Todd Peterson kick),28,3
,1:59,Cardinals,Obafemi Ayanbadejo 4 yard rush (Neil Rackers kick),28,10
4,11:53,Cardinals,Obafemi Ayanbadejo 1 yard rush (Neil Rackers kick),28,17
,2:40,Cardinals,Emmitt Smith 8 yard rush (Josh McCown run),28,25
,0:59,Cardinals,Neil Rackers 22 yard field goal,28,28
OT,8:38,49ers,Todd Peterson 31 yard field goal,31,28
