Unnamed: 0,SFO,ARI
First Downs,23,25
Rush-Yds-TDs,41-168-1,25-75-3
Cmp-Att-Yd-TD-INT,18-34-191-3-0,26-44-307-0-1
Sacked-Yards,1-7,1-8
Net Pass Yards,184,299
Total Yards,352,374
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,7-70,9-61
Third Down Conv.,6-17,7-16
Fourth Down Conv.,1-1,0-0
Time of Possession,36:23,29:59
