Quarter,Time,Tm,Detail,ARI,MIN
1.0,14:44,Cardinals,J.J. Arrington 99 yard kickoff return (Neil Rackers kick),7,0
,9:42,Vikings,Chester Taylor 1 yard rush (Ryan Longwell kick),7,7
2.0,13:28,Cardinals,Neil Rackers 21 yard field goal,10,7
,3:48,Cardinals,Neil Rackers 50 yard field goal,13,7
,0:31,Vikings,Marcus Robinson 17 yard pass from Brad Johnson (Ryan Longwell kick),13,14
3.0,10:37,Vikings,Billy McMullen 9 yard pass from Brad Johnson (Ryan Longwell kick),13,21
,6:38,Vikings,Ryan Longwell 40 yard field goal,13,24
4.0,12:00,Vikings,Jeff Dugan 3 yard pass from Brad Johnson (Ryan Longwell kick),13,31
,10:08,Cardinals,Adrian Wilson 99 yard defensive fumble return (pass failed),19,31
,0:39,Cardinals,Anquan Boldin 9 yard pass from Matt Leinart (Neil Rackers kick),26,31
