Quarter,Time,Down,ToGo,Location,ARI,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,MIN 30,6,0,"Ryan Longwell kicks off 69 yards, returned by J.J. Arrington for 99 yards, touchdown",0.000,7.000
1,15:00,,,MIN 2,7,0,Neil Rackers kicks extra point good,0.000,0.000
1,15:00,,,ARI 30,7,0,"Neil Rackers kicks off 65 yards, returned by Bethel Johnson for 25 yards (tackle by Monty Beisel)",0.000,0.940
1,14:38,1,10,MIN 30,7,0,Chester Taylor right tackle for 8 yards (tackle by Adrian Wilson),0.940,1.470
1,14:03,2,2,MIN 38,7,0,Chester Taylor middle for 3 yards (tackle by Antonio Smith and Robert Griffith),1.470,1.660
1,13:26,1,10,MIN 41,7,0,Brad Johnson pass complete short middle to Travis Taylor for 17 yards (tackle by Karlos Dansby),1.660,2.790
1,12:45,1,10,ARI 42,7,0,Chester Taylor right end for 11 yards (tackle by Aaron Francisco),2.790,3.510
1,12:00,1,10,ARI 31,7,0,Chester Taylor right end for 28 yards (tackle by Robert Griffith),3.510,6.510
1,11:14,1,10,ARI 31,7,0,Timeout #1 by Arizona Cardinals,3.510,6.510
1,11:14,1,3,ARI 3,7,0,Brad Johnson pass incomplete short middle intended for Jim Kleinsasser (defended by Chike Okeafor),6.510,5.530
1,11:09,2,3,ARI 3,7,0,Chester Taylor left guard for no gain (tackle by Antonio Smith),5.530,4.720
1,10:29,3,3,ARI 3,7,0,Chester Taylor middle for 2 yards,4.720,3.550
1,9:45,4,1,ARI 1,7,6,"Chester Taylor middle for 1 yard, touchdown",3.550,7.000
1,9:45,,,ARI 2,7,7,Ryan Longwell kicks extra point good,0.000,0.000
1,9:45,,,MIN 30,7,7,"Ryan Longwell kicks off 61 yards, returned by J.J. Arrington for 10 yards (tackle by Billy McMullen)",0.000,0.150
1,9:36,1,10,ARI 19,7,7,Matt Leinart pass complete short middle to Anquan Boldin for 29 yards (tackle by Dwight Smith and E.J. Henderson),0.150,2.130
1,8:55,1,10,ARI 48,7,7,Matt Leinart pass complete short left to Anquan Boldin for 6 yards (tackle by Fred Smoot),2.130,2.390
1,8:17,2,4,MIN 46,7,7,Edgerrin James right end for 14 yards (tackle by E.J. Henderson and Dwight Smith),2.390,3.450
1,7:33,1,10,MIN 32,7,7,Matt Leinart pass complete short left to Larry Fitzgerald for 11 yards (tackle by Cedric Griffin),3.450,4.170
1,6:55,1,10,MIN 21,7,7,"Edgerrin James right guard for -2 yards (tackle by Ben Leber). Edgerrin James fumbles (forced by Ben Leber), recovered by Kenechi Udeze at MIN-23 (tackle by Leonard Pope)",4.170,-0.480
1,6:47,1,10,MIN 23,7,7,"Penalty on Kendrick Clancy: Encroachment, 5 yards (no play)",0.480,1.210
1,6:47,1,5,MIN 28,7,7,Chester Taylor right guard for 1 yard (tackle by Antonio Smith),1.210,0.740
1,6:15,2,4,MIN 29,7,7,Brad Johnson pass complete short right to Jermaine Wiggins for 7 yards (tackle by Orlando Huff and Antrel Rolle),0.740,1.330
1,5:40,1,10,MIN 36,7,7,Chester Taylor right guard for 2 yards (tackle by Gerald Hayes),1.330,1.060
1,4:59,2,8,MIN 38,7,7,Brad Johnson for 10 yards,1.060,2.130
1,4:28,1,10,MIN 48,7,7,Chester Taylor middle for 10 yards (tackle by Antrel Rolle),2.130,2.790
1,3:46,1,10,ARI 42,7,7,Brad Johnson pass complete short right to Ciatrick Fason for 12 yards (tackle by Adrian Wilson),2.790,3.580
1,3:03,1,10,ARI 30,7,7,Ciatrick Fason left end for -4 yards (tackle by Gerald Hayes),3.580,2.490
1,2:23,2,14,ARI 34,7,7,Brad Johnson sacked by Karlos Dansby for -8 yards,2.490,0.760
1,1:44,3,22,ARI 42,7,7,Brad Johnson pass incomplete short middle intended for Jermaine Wiggins,0.760,0.460
1,1:41,4,22,ARI 42,7,7,"Chris Kluwe punts 42 yards, touchback",0.460,-0.280
1,1:32,1,10,ARI 20,7,7,Matt Leinart pass complete short right to Anquan Boldin for 20 yards (tackle by Cedric Griffin),0.280,1.600
1,0:53,1,10,ARI 40,7,7,Matt Leinart pass incomplete deep left intended for Anquan Boldin,1.600,1.050
1,0:47,2,10,ARI 40,7,7,"Matt Leinart pass complete short middle to Larry Fitzgerald for 11 yards (tackle by Antoine Winfield). Penalty on E.J. Henderson: Roughing the Passer, 15 yards",1.050,3.310
1,0:19,1,10,MIN 34,7,7,Matt Leinart pass complete deep right to Adam Bergen for 17 yards (tackle by Antoine Winfield),3.310,4.440
Quarter,Time,Down,ToGo,Location,ARI,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 17,7,7,Matt Leinart pass complete short left to Bryant Johnson for 12 yards,4.440,6.060
