Unnamed: 0,ARI,MIN
First Downs,22,30
Rush-Yds-TDs,6-17-0,33-157-1
Cmp-Att-Yd-TD-INT,31-51-405-1-2,27-41-271-3-0
Sacked-Yards,1-10,2-16
Net Pass Yards,395,255
Total Yards,412,412
Fumbles-Lost,5-3,1-1
Turnovers,5,1
Penalties-Yards,8-64,8-63
Third Down Conv.,2-9,7-15
Fourth Down Conv.,2-3,2-2
Time of Possession,23:28,36:32
