Unnamed: 0,CLE,PIT
First Downs,11,26
Rush-Yds-TDs,11-18-0,52-303-2
Cmp-Att-Yd-TD-INT,21-37-276-1-1,11-21-225-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,276,225
Total Yards,294,528
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,5-60,4-25
Third Down Conv.,3-12,10-16
Fourth Down Conv.,1-1,0-0
Time of Possession,21:13,38:47
