Quarter,Time,Tm,Detail,DEN,LAC
1.0,11:49,Chargers,Austin Ekeler 3 yard rush (Dustin Hopkins kick),0,7
2.0,11:27,Chargers,Dustin Hopkins 19 yard field goal,0,10
,0:14,Chargers,Keenan Allen 8 yard pass from Justin Herbert (Dustin Hopkins kick),0,17
,0:00,Broncos,Brandon McManus 61 yard field goal,3,17
3.0,7:09,Chargers,Dustin Hopkins 23 yard field goal,3,20
4.0,14:53,Broncos,Brandon McManus 23 yard field goal,6,20
,14:40,Chargers,Andre Roberts 101 yard kickoff return (Dustin Hopkins kick),6,27
,10:18,Chargers,Mike Williams 45 yard pass from Justin Herbert (Dustin Hopkins kick),6,34
,6:31,Broncos,Noah Fant 5 yard pass from Drew Lock (Brandon McManus kick),13,34
