Unnamed: 0,DEN,LAC
First Downs,18,21
Rush-Yds-TDs,27-83-0,35-104-1
Cmp-Att-Yd-TD-INT,19-28-246-1-0,22-31-237-2-0
Sacked-Yards,1-10,0-0
Net Pass Yards,236,237
Total Yards,319,341
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,3-23,3-22
Third Down Conv.,3-11,9-15
Fourth Down Conv.,1-4,1-1
Time of Possession,29:44,30:16
