Quarter,Time,Tm,Detail,IND,BUF
1.0,0:00,Bills,Percy Harvin 51 yard pass from Tyrod Taylor (Dan Carpenter kick),0,7
2.0,7:49,Bills,Dan Carpenter 41 yard field goal,0,10
,0:20,Bills,Karlos Williams 26 yard rush (Dan Carpenter kick),0,17
3.0,9:34,Bills,Anthony Dixon 1 yard rush (Dan Carpenter kick),0,24
,0:54,Colts,Donte Moncrief 2 yard pass from Andrew Luck (Coby Fleener pass from Andrew Luck),8,24
4.0,8:14,Bills,Dan Carpenter 45 yard field goal,8,27
,5:56,Colts,Dwayne Allen 6 yard pass from Andrew Luck (pass failed),14,27
