Unnamed: 0,IND,BUF
First Downs,23,15
Rush-Yds-TDs,17-64-0,36-147-2
Cmp-Att-Yd-TD-INT,26-49-243-2-2,14-19-195-1-0
Sacked-Yards,2-3,0-0
Net Pass Yards,240,195
Total Yards,304,342
Fumbles-Lost,2-1,2-0
Turnovers,3,0
Penalties-Yards,5-49,11-113
Third Down Conv.,8-15,5-13
Fourth Down Conv.,1-2,0-0
Time of Possession,29:04,30:56
