Quarter,Time,Down,ToGo,Location,WAS,DEN,Detail,EPB,EPA
1,6:42,2,7,DEN 23,0,7,Peyton Manning pass incomplete deep left intended for Demaryius Thomas (defended by DeAngelo Hall),0.140,-0.560
1,6:36,3,7,DEN 23,0,7,Peyton Manning pass incomplete deep left intended for Andre Caldwell,-0.560,-1.830
1,6:30,4,7,DEN 23,0,7,"Britton Colquitt punts 55 yards, returned by Josh Morgan for 2 yards (tackle by Jacob Tamme)",-1.830,-0.540
1,6:19,1,10,WAS 24,0,7,Alfred Morris right end for 6 yards (tackle by Danny Trevathan),0.540,0.810
1,5:39,2,4,WAS 30,0,7,Robert Griffin pass complete short left to Pierre Garcon for -5 yards (tackle by Dominique Rodgers-Cromartie),0.810,-0.560
1,4:55,3,9,WAS 25,0,7,Robert Griffin pass complete short right to Santana Moss for 10 yards (tackle by Chris Harris),-0.560,1.270
,,,,,,,"DEN challenged the first down ruling, and the play was upheld.",,
1,4:15,1,10,WAS 35,0,7,Alfred Morris left end for 12 yards (tackle by Kayvon Webster),1.270,2.060
1,3:49,1,10,WAS 47,0,7,Alfred Morris right end for 1 yard (tackle by Rahim Moore),2.060,1.650
1,3:22,2,9,WAS 48,0,7,Robert Griffin pass complete short left to Pierre Garcon for 8 yards,1.650,2.020
1,3:10,3,1,DEN 44,0,7,"Robert Griffin for no gain. Robert Griffin fumbles, recovered by Roy Helu at DEN-48",2.020,0.070
1,2:34,4,5,DEN 48,0,7,"Saverio Rocca punts 38 yards, fair catch by Trindon Holliday",0.070,0.380
1,2:31,1,10,DEN 10,0,7,Montee Ball up the middle for 5 yards (tackle by Kedric Golston and Bacarri Rambo),-0.380,-0.350
1,2:07,2,5,DEN 15,0,7,Peyton Manning pass complete short middle to Demaryius Thomas for 5 yards (tackle by DeAngelo Hall),-0.350,0.280
1,1:42,1,10,DEN 20,0,7,Peyton Manning pass complete short right to Andre Caldwell for 14 yards (tackle by David Amerson),0.280,1.200
1,1:10,1,10,DEN 34,0,7,C.J. Anderson right tackle for 3 yards (tackle by Bacarri Rambo),1.200,1.060
1,0:41,2,7,DEN 37,0,7,Peyton Manning sacked by Rob Jackson for -5 yards,1.060,-0.300
1,0:15,3,12,DEN 32,0,7,Peyton Manning pass complete short left to Julius Thomas for 8 yards (tackle by Ryan Kerrigan),-0.300,-0.720
Quarter,Time,Down,ToGo,Location,WAS,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,DEN 40,0,7,"Britton Colquitt punts 54 yards, returned by Josh Morgan for 34 yards (tackle by Nate Irving)",-0.720,-1.600
2,14:44,1,10,WAS 40,0,7,Alfred Morris up the middle for 2 yards (tackle by Terrance Knighton),1.600,1.320
2,14:07,2,8,WAS 42,0,7,Robert Griffin pass incomplete deep middle intended for Leonard Hankerson (defended by Duke Ihenacho),1.320,0.630
2,13:57,3,8,WAS 42,0,7,"Robert Griffin pass incomplete deep right intended for Aldrick Robinson. Penalty on Kayvon Webster: Illegal Contact, 5 yards (no play)",0.630,2.060
2,13:51,1,10,WAS 47,0,7,Roy Helu right tackle for 4 yards (tackle by Dominique Rodgers-Cromartie),2.060,2.060
2,13:15,2,6,DEN 49,0,7,Robert Griffin left end for 1 yard (tackle by Duke Ihenacho),2.060,2.060
2,12:37,2,6,DEN 49,0,7,Timeout #2 by Washington Redskins,2.060,1.490
2,12:37,3,5,DEN 48,0,7,Robert Griffin pass complete short left to Josh Morgan for 3 yards (tackle by Wesley Woodyard),1.490,0.270
2,11:59,4,2,DEN 45,0,7,"Saverio Rocca punts 31 yards, out of bounds. Penalty on David Bruton: Offensive Holding, 7 yards",0.270,0.380
2,11:52,1,10,DEN 7,0,7,Peyton Manning pass complete short left to Demaryius Thomas for 8 yards (tackle by DeAngelo Hall),-0.380,-0.140
2,11:17,2,2,DEN 15,0,7,Knowshon Moreno left tackle for no gain (tackle by Jarvis Jenkins),-0.140,-0.480
2,10:45,3,2,DEN 15,0,7,Knowshon Moreno up the middle for 4 yards (tackle by Perry Riley),-0.480,0.150
2,10:16,1,10,DEN 19,0,7,Peyton Manning pass complete deep left to Wes Welker for 16 yards (tackle by E.J. Biggers),0.150,1.270
2,9:47,1,10,DEN 35,0,7,Trindon Holliday left end for 7 yards (tackle by Bacarri Rambo),1.270,1.670
2,9:08,2,3,DEN 42,0,7,Peyton Manning pass complete short middle to Eric Decker for 8 yards (tackle by Josh Wilson),1.670,2.260
2,8:41,1,10,,0,7,Montee Ball left tackle for 7 yards (tackle by Bacarri Rambo),2.260,2.660
2,8:14,2,3,WAS 43,0,7,Montee Ball left tackle for no gain (tackle by London Fletcher),2.660,1.950
2,7:38,3,3,WAS 43,0,7,Peyton Manning pass incomplete deep right intended for Wes Welker,1.950,0.400
2,7:33,4,3,WAS 43,0,7,Britton Colquitt punts 38 yards,0.400,0.380
2,7:22,1,10,WAS 5,0,7,Alfred Morris left tackle for 27 yards (tackle by Danny Trevathan),-0.380,1.070
2,7:00,1,10,WAS 32,0,7,Roy Helu right guard for -1 yards (tackle by Von Miller),1.070,0.390
2,6:30,2,11,WAS 31,0,7,Robert Griffin pass complete short left to Pierre Garcon for 14 yards (tackle by Kayvon Webster),0.390,1.930
2,6:03,1,10,WAS 45,0,7,Robert Griffin sacked by Terrance Knighton for -8 yards,1.930,0.300
2,5:28,2,18,WAS 37,0,7,Robert Griffin pass complete short middle to Jordan Reed for 17 yards (tackle by Chris Harris),0.300,1.880
2,4:49,3,1,DEN 46,0,7,Roy Helu left guard for 1 yard (tackle by Shaun Phillips and Nate Irving),1.880,2.590
2,4:11,1,10,DEN 45,0,7,Alfred Morris left end for 9 yards (tackle by Malik Jackson and Wesley Woodyard),2.590,3.260
2,3:23,2,1,DEN 36,0,7,Alfred Morris up the middle for no gain (tackle by Wesley Woodyard),3.260,2.540
2,2:39,3,1,DEN 36,0,7,Roy Helu right guard for 4 yards (tackle by Wesley Woodyard),2.540,3.450
2,2:00,1,10,DEN 32,0,7,Robert Griffin pass incomplete short right intended for Jordan Reed (defended by Chris Harris),3.450,3.450
2,1:54,1,10,DEN 32,0,7,Timeout #3 by Washington Redskins,3.450,2.900
2,1:54,2,10,DEN 32,0,7,Robert Griffin right end for 1 yard (tackle by Chris Harris),2.900,2.340
2,1:46,3,9,DEN 31,0,7,Robert Griffin pass complete short middle to Roy Helu for 14 yards (tackle by Duke Ihenacho),2.340,4.440
2,1:08,1,10,DEN 17,0,7,Robert Griffin pass incomplete short middle intended for Pierre Garcon (defended by Dominique Rodgers-Cromartie),4.440,4.440
2,1:01,1,10,DEN 17,0,7,Timeout #2 by Denver Broncos,4.440,3.850
2,1:01,2,10,DEN 17,0,7,Robert Griffin pass complete short left to Jordan Reed for 5 yards (tackle by Rahim Moore),3.850,3.880
2,0:30,3,5,DEN 12,0,7,Robert Griffin pass incomplete short middle intended for Santana Moss (defended by Mike Adams),3.880,2.680
2,0:30,4,5,DEN 12,0,7,"Penalty on DEN: Defensive 12 On-field, 5 yards (no play)",2.680,5.600
2,0:25,1,7,DEN 7,6,7,"Robert Griffin pass complete short right to Leonard Hankerson for 7 yards, touchdown. Penalty on Kevin Vickerson: Defensive Holding (Declined)",5.600,7.000
2,0:25,,,DEN 2,7,7,Kai Forbath kicks extra point good,0.000,0.000
2,0:25,,,WAS 35,7,7,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.280
2,0:19,1,10,DEN 20,7,7,Peyton Manning kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,WAS,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,7,7,"Kai Forbath kicks off no gain, touchback",0.000,0.280
3,15:00,1,10,DEN 20,7,7,Peyton Manning pass complete short right to Knowshon Moreno for 2 yards (tackle by David Amerson),0.280,0.000
3,14:37,2,8,DEN 22,7,7,Peyton Manning pass complete short left to Julius Thomas for 2 yards (tackle by Josh Wilson),0.000,-0.430
3,13:52,3,6,DEN 24,7,7,Peyton Manning pass complete short left to Eric Decker for 7 yards (tackle by Perry Riley),-0.430,1.000
3,13:29,1,10,DEN 31,7,7,Knowshon Moreno left end for -2 yards (tackle by Stephen Bowen),1.000,0.190
3,13:06,2,12,DEN 29,7,7,"Peyton Manning sacked by Ryan Kerrigan for -10 yards. Peyton Manning fumbles (forced by Ryan Kerrigan), recovered by Brian Orakpo at DEN-19 (tackle by Peyton Manning). Penalty on Peyton Manning: Offensive Holding (Declined)",0.190,-4.310
3,12:56,1,10,DEN 19,7,7,Alfred Morris up the middle for 4 yards (tackle by Danny Trevathan and Mike Adams),4.310,4.350
3,12:20,2,6,DEN 15,7,7,Alfred Morris left end for 14 yards (tackle by Rahim Moore),4.350,6.970
3,11:37,1,1,DEN 1,13,7,"Alfred Morris left guard for 1 yard, touchdown",6.970,7.000
3,11:37,,,DEN 2,14,7,Kai Forbath kicks extra point good,0.000,0.000
3,11:37,,,WAS 35,14,7,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.280
3,11:34,1,10,DEN 20,20,7,"Peyton Manning pass incomplete short right intended for Demaryius Thomas is intercepted by DeAngelo Hall at DEN-26 and returned for 26 yards, touchdown",0.280,-7.000
3,11:25,,,DEN 2,21,7,Kai Forbath kicks extra point good,0.000,0.000
3,11:25,,,WAS 35,21,7,"Kai Forbath kicks off 70 yards, returned by Trindon Holliday for 30 yards (tackle by David Amerson)",0.000,-0.610
3,11:19,1,10,DEN 25,21,7,Knowshon Moreno right tackle for 6 yards (tackle by Bacarri Rambo),0.610,0.870
3,10:53,2,4,DEN 31,21,7,Peyton Manning pass complete short right to Wes Welker for 11 yards (tackle by Josh Wilson),0.870,1.730
3,10:25,1,10,DEN 42,21,7,Knowshon Moreno left end for 6 yards (tackle by Rob Jackson),1.730,2.000
3,10:07,2,4,DEN 48,21,7,Peyton Manning pass complete short middle to Wes Welker for 24 yards (tackle by Perry Riley),2.000,3.710
3,9:47,1,10,WAS 28,21,7,Montee Ball left guard for 3 yards (tackle by London Fletcher and E.J. Biggers),3.710,3.570
3,9:16,2,7,WAS 25,21,7,Peyton Manning pass incomplete short right intended for Montee Ball (defended by David Amerson),3.570,2.870
3,9:12,3,7,WAS 25,21,7,"Penalty on Ryan Kerrigan: Neutral Zone Infraction, 5 yards (no play)",2.870,3.530
3,9:12,3,2,WAS 20,21,7,Peyton Manning pass incomplete short middle intended for Virgil Green,3.530,2.250
3,9:07,4,2,WAS 20,21,7,Knowshon Moreno up the middle for 5 yards (tackle by Stephen Bowen),2.250,4.580
3,8:39,1,10,WAS 15,21,7,Peyton Manning pass complete short left to Demaryius Thomas for 11 yards (tackle by Bacarri Rambo),4.580,6.280
3,8:02,1,4,WAS 4,21,7,Peyton Manning pass incomplete short left intended for Wes Welker (defended by Josh Wilson),6.280,5.340
3,7:57,2,4,WAS 4,21,13,"Montee Ball left guard for 4 yards, touchdown",5.340,7.000
3,7:57,,,WAS 2,21,14,Matt Prater kicks extra point good,0.000,0.000
3,7:57,,,DEN 35,21,14,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
3,7:48,1,10,WAS 20,21,14,Alfred Morris up the middle for 3 yards (tackle by Von Miller),0.280,0.140
3,7:13,2,7,WAS 23,21,14,"Robert Griffin pass complete short middle to Pierre Garcon for 11 yards (tackle by Dominique Rodgers-Cromartie and Danny Trevathan). Penalty on Kevin Vickerson: Unnecessary Roughness, 15 yards",0.140,2.190
3,6:26,1,10,WAS 49,21,14,Alfred Morris right tackle for 1 yard (tackle by Mitch Unrein),2.190,1.780
3,5:47,2,9,,21,14,Alfred Morris left end for 2 yards (tackle by Derek Wolfe and Danny Trevathan),1.780,1.360
3,5:14,3,7,DEN 48,21,14,Robert Griffin pass incomplete short right intended for Santana Moss,1.360,0.070
3,5:03,4,7,DEN 48,21,14,"Saverio Rocca punts 31 yards, out of bounds",0.070,0.060
3,4:55,1,10,DEN 17,21,14,Knowshon Moreno left end for 3 yards (tackle by Kedric Golston),-0.060,-0.060
3,4:28,2,7,DEN 20,21,14,Peyton Manning pass complete short left to Joel Dreessen for 8 yards (tackle by Perry Riley),-0.060,0.810
3,4:10,1,10,DEN 28,21,14,Peyton Manning pass incomplete deep left intended for Eric Decker,0.810,0.260
3,4:05,2,10,DEN 28,21,14,Peyton Manning pass incomplete deep left intended for Eric Decker,0.260,-0.430
3,3:59,3,10,DEN 28,21,14,Peyton Manning pass complete short right to Wes Welker for 13 yards (tackle by Josh Wilson),-0.430,1.660
3,3:32,1,10,DEN 41,21,14,Peyton Manning pass complete short left to Eric Decker for 8 yards (tackle by David Amerson),1.660,2.200
3,3:10,2,2,DEN 49,21,14,C.J. Anderson up the middle for 2 yards (tackle by London Fletcher),2.200,2.320
3,2:45,1,10,WAS 49,21,14,Peyton Manning pass complete short right to Eric Decker for 19 yards (tackle by E.J. Biggers),2.320,3.580
3,2:27,1,10,WAS 30,21,14,C.J. Anderson up the middle for 6 yards (tackle by Darryl Tapp),3.580,3.840
3,2:11,2,4,WAS 24,21,14,Peyton Manning pass complete short middle to Knowshon Moreno for 11 yards (tackle by Perry Riley),3.840,4.710
3,1:37,1,10,WAS 13,21,14,Peyton Manning pass complete short middle to Demaryius Thomas for 8 yards (tackle by Perry Riley),4.710,5.540
3,1:08,2,2,WAS 5,21,14,Montee Ball up the middle for 3 yards (tackle by Darryl Tapp),5.540,6.740
3,0:34,1,2,WAS 2,21,14,Peyton Manning pass incomplete short right intended for Eric Decker,6.740,5.720
3,0:30,2,2,WAS 2,21,14,Montee Ball up the middle for 1 yard (tackle by Nick Barnett),5.720,5.170
3,0:00,3,1,WAS 1,21,14,Knowshon Moreno up the middle for no gain (tackle by Bacarri Rambo),5.170,5.170
Quarter,Time,Down,ToGo,Location,WAS,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,WAS 1,21,14,Timeout #1 by Washington Redskins,5.170,3.550
4,15:00,4,1,WAS 1,21,20,"Peyton Manning pass complete short right to Joel Dreessen for 1 yard, touchdown",3.550,7.000
4,15:00,,,WAS 2,21,21,Matt Prater kicks extra point good,0.000,0.000
4,15:00,,,DEN 35,21,21,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
4,14:56,1,10,WAS 20,21,21,Robert Griffin pass incomplete deep middle intended for Josh Morgan,0.280,-0.270
4,14:50,2,10,WAS 20,21,21,Robert Griffin pass incomplete deep middle intended for Pierre Garcon,-0.270,-0.960
4,14:42,3,10,WAS 20,21,21,Robert Griffin pass incomplete deep middle intended for Aldrick Robinson,-0.960,-2.030
4,14:36,4,10,WAS 20,21,21,"Saverio Rocca punts 15 yards, out of bounds",-2.030,-3.250
4,14:29,1,10,WAS 35,21,27,"Peyton Manning pass complete short middle to Knowshon Moreno for 35 yards, touchdown",3.250,7.000
4,14:29,,,WAS 2,21,28,Matt Prater kicks extra point good,0.000,0.000
4,14:29,,,DEN 35,21,28,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
4,14:18,1,10,WAS 20,21,28,Robert Griffin pass complete short left to Jordan Reed for 8 yards (tackle by Dominique Rodgers-Cromartie),0.280,0.810
4,13:49,2,2,WAS 28,21,28,"Alfred Morris up the middle for 6 yards (tackle by Danny Trevathan). Alfred Morris fumbles (forced by Danny Trevathan), recovered by Logan Paulsen at WAS-34",0.810,1.200
4,13:17,1,10,WAS 34,21,28,"Robert Griffin sacked by Von Miller for -10 yards. Robert Griffin fumbles (forced by Von Miller), recovered by Derek Wolfe at WAS-25 and returned for 1 yards (tackle by Trent Williams)",1.200,-3.970
4,13:15,1,10,WAS 24,21,28,Peyton Manning pass complete short left to Knowshon Moreno for 14 yards (tackle by London Fletcher),3.970,4.910
4,12:35,1,10,WAS 10,21,28,Peyton Manning pass complete short right to Demaryius Thomas for 3 yards (tackle by E.J. Biggers),4.910,4.760
4,12:00,2,7,WAS 7,21,28,Montee Ball up the middle for 6 yards (tackle by DeAngelo Hall),4.760,5.170
4,11:22,3,1,WAS 1,21,28,Peyton Manning pass incomplete short left intended for Demaryius Thomas (defended by Brian Orakpo),5.170,3.550
4,11:18,4,1,WAS 1,21,31,Matt Prater 19 yard field goal good,3.550,3.000
4,11:18,,,DEN 35,21,31,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
4,11:14,1,10,WAS 20,21,31,Robert Griffin pass incomplete short right intended for Logan Paulsen. Penalty on Kory Lichtensteiger: Offensive Holding (Declined),0.280,-0.270
4,11:04,2,10,WAS 20,21,31,Robert Griffin sacked by Derek Wolfe for -9 yards,-0.270,-2.470
4,10:29,3,19,WAS 11,21,31,Robert Griffin pass complete short right to Pierre Garcon for 9 yards (tackle by Robert Ayers),-2.470,-2.030
4,9:59,4,10,WAS 20,21,31,"Saverio Rocca punts 47 yards, returned by Trindon Holliday for 10 yards (tackle by Nick Barnett)",-2.030,-1.800
4,9:48,1,10,DEN 43,21,31,Knowshon Moreno left end for 3 yards (tackle by Bacarri Rambo),1.800,1.660
4,9:22,2,7,DEN 46,21,31,Peyton Manning pass complete short left to Wes Welker for 11 yards (tackle by London Fletcher),1.660,2.720
4,8:45,1,10,WAS 43,21,31,C.J. Anderson up the middle for 11 yards (tackle by Jordan Pugh),2.720,3.450
4,8:06,1,10,WAS 32,21,31,Peyton Manning pass incomplete deep middle intended for Wes Welker is intercepted by Jordan Pugh at WAS-6 and returned for 16 yards (tackle by Eric Decker),3.450,-0.410
4,7:54,1,10,WAS 22,21,31,Alfred Morris right end for -4 yards (tackle by Danny Trevathan),0.410,-0.770
4,7:17,2,14,WAS 18,21,31,Robert Griffin pass incomplete short middle intended for Pierre Garcon is intercepted by Chris Harris at WAS-26 and returned for 1 yard (tackle by Pierre Garcon),-0.770,-3.910
4,7:09,1,10,WAS 25,21,31,"Knowshon Moreno up the middle for 9 yards (tackle by Jordan Pugh). Penalty on Manuel Ramirez: Offensive Holding, 10 yards (no play)",3.910,3.250
4,6:47,1,20,WAS 35,21,31,Peyton Manning pass incomplete short left intended for Wes Welker,3.250,2.010
4,6:43,2,20,WAS 35,21,37,"Peyton Manning pass complete short left to Demaryius Thomas for 35 yards, touchdown",2.010,7.000
4,6:43,,,WAS 2,21,38,Matt Prater kicks extra point good,0.000,0.000
4,6:43,,,DEN 35,21,38,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
4,6:35,1,10,WAS 20,21,38,Robert Griffin pass complete short right to Jordan Reed for 10 yards (tackle by Mike Adams),0.280,0.940
4,6:18,1,10,WAS 30,21,38,Robert Griffin pass incomplete short right intended for Jordan Reed,0.940,0.390
4,6:16,2,10,WAS 30,21,38,Robert Griffin pass complete short left to Jordan Reed for 14 yards (tackle by Quentin Jammer),0.390,1.860
4,5:53,1,10,WAS 44,21,38,"Robert Griffin pass incomplete deep middle intended for Jordan Reed is intercepted by Rahim Moore at DEN-36 and returned for 18 yards (tackle by Pierre Garcon). Penalty on Malik Jackson: Unnecessary Roughness, 15 yards",1.860,-1.530
4,5:43,1,10,DEN 39,21,38,Montee Ball up the middle for 1 yard (tackle by Perry Riley),1.530,1.120
4,5:02,2,9,DEN 40,21,38,Montee Ball right end for -1 yards (tackle by Bacarri Rambo),1.120,0.300
4,4:17,3,10,DEN 39,21,38,Peyton Manning pass incomplete deep left intended for Demaryius Thomas is intercepted by DeAngelo Hall at WAS-36,0.300,-1.330
4,4:11,1,10,WAS 36,21,38,Kirk Cousins pass incomplete short left intended for Santana Moss,1.330,0.790
4,4:07,2,10,WAS 36,21,38,Kirk Cousins pass complete deep right to Jordan Reed for 17 yards,0.790,2.460
4,4:02,1,10,DEN 47,21,38,Kirk Cousins pass incomplete short right intended for Leonard Hankerson,2.460,1.910
4,3:57,2,10,DEN 47,21,38,Kirk Cousins pass complete short middle to Jordan Reed for 12 yards (tackle by Danny Trevathan and Mike Adams),1.910,3.250
4,3:29,1,10,DEN 35,21,38,Kirk Cousins pass complete short left to Pierre Garcon for 4 yards (tackle by Rahim Moore),3.250,3.240
4,3:08,2,6,DEN 31,21,38,Kirk Cousins pass complete short left to Pierre Garcon for 5 yards (tackle by Dominique Rodgers-Cromartie),3.240,3.200
4,2:48,3,1,DEN 26,21,38,Kirk Cousins left guard for 1 yard (tackle by Robert Ayers),3.200,3.910
4,2:20,1,10,DEN 25,21,44,"Kirk Cousins pass incomplete short right intended for Pierre Garcon is intercepted by Dominique Rodgers-Cromartie at DEN-25 and returned for 75 yards, touchdown",3.910,-7.000
4,2:07,,,WAS 2,21,45,Matt Prater kicks extra point good,0.000,0.000
4,2:07,,,DEN 35,21,45,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
4,2:07,1,10,WAS 20,21,45,Kirk Cousins pass complete short left to Santana Moss for 10 yards (tackle by Rahim Moore),0.280,0.940
4,2:00,1,10,WAS 30,21,45,Kirk Cousins pass incomplete short middle intended for Jordan Reed is intercepted by Shaun Phillips at WAS-34 and returned for 3 yards (tackle by Tyler Polumbus),0.940,-3.510
4,1:53,1,10,WAS 31,21,45,Peyton Manning kneels for -1 yards,3.510,2.830
4,1:14,2,11,WAS 32,21,45,Peyton Manning kneels for no gain,2.830,2.150
4,0:39,3,11,WAS 32,21,45,Peyton Manning kneels for -1 yards,2.150,1.150
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
