Unnamed: 0,WAS,DEN
First Downs,22,29
Rush-Yds-TDs,28-112-1,34-107-1
Cmp-Att-Yd-TD-INT,20-39-180-1-4,30-44-354-4-3
Sacked-Yards,3-26,2-15
Net Pass Yards,154,339
Total Yards,266,446
Fumbles-Lost,3-1,1-1
Turnovers,5,4
Penalties-Yards,1-5,6-57
Third Down Conv.,6-14,4-12
Fourth Down Conv.,0-0,2-2
Time of Possession,28:00,32:00
