Quarter,Time,Tm,Detail,WAS,DEN
1.0,10:02,Broncos,Wes Welker 6 yard pass from Peyton Manning (Matt Prater kick),0,7
2.0,0:19,Redskins,Leonard Hankerson 7 yard pass from Robert Griffin III (Kai Forbath kick),7,7
3.0,11:34,Redskins,Alfred Morris 1 yard rush (Kai Forbath kick),14,7
,11:25,Redskins,DeAngelo Hall 26 yard interception return (Kai Forbath kick),21,7
,7:48,Broncos,Montee Ball 4 yard rush (Matt Prater kick),21,14
4.0,14:56,Broncos,Joel Dreessen 1 yard pass from Peyton Manning (Matt Prater kick),21,21
,14:19,Broncos,Knowshon Moreno 35 yard pass from Peyton Manning (Matt Prater kick),21,28
,11:14,Broncos,Matt Prater 19 yard field goal,21,31
,6:35,Broncos,Demaryius Thomas 35 yard pass from Peyton Manning (Matt Prater kick),21,38
,2:07,Broncos,Dominique Rodgers-Cromartie 75 yard interception return (Matt Prater kick),21,45
