Unnamed: 0,NOR,TAM
First Downs,19,20
Rush-Yds-TDs,30-100-2,23-105-0
Cmp-Att-Yd-TD-INT,24-31-201-1-1,18-38-213-2-1
Sacked-Yards,1-3,4-39
Net Pass Yards,198,174
Total Yards,298,279
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,6-51,10-84
Third Down Conv.,6-12,6-14
Fourth Down Conv.,1-1,0-0
Time of Possession,31:53,28:07
