Quarter,Time,Down,ToGo,Location,MIA,TAM,Detail,EPB,EPA
1,3:22,1,10,MIA 29,0,10,Lamar Miller left end for 1 yard (tackle by Mason Foster),0.870,0.460
1,2:40,2,9,MIA 30,0,10,Ryan Tannehill pass incomplete deep right intended for Charles Clay,0.460,-0.230
1,2:34,3,9,MIA 30,0,10,Ryan Tannehill pass incomplete deep right intended for Rishard Matthews,-0.230,-1.370
1,2:28,4,9,MIA 30,0,10,"Brandon Fields punts 51 yards, fair catch by Eric Page",-1.370,-0.150
1,2:21,1,10,TAM 19,0,10,Mike Glennon right end for 5 yards,0.150,0.340
1,1:43,2,5,TAM 24,0,10,Brian Leonard left guard for 5 yards (tackle by Jared Odrick and Jason Trusnik),0.340,0.870
1,1:00,1,10,TAM 29,0,10,"Mike Glennon pass incomplete deep right intended for Vincent Jackson. Penalty on Brent Grimes: Defensive Pass Interference, 35 yards (no play)",0.870,3.180
1,0:52,1,10,MIA 36,0,10,Brian Leonard right guard for 1 yard (tackle by Randy Starks),3.180,2.770
1,0:15,2,9,MIA 35,0,10,"Brian Leonard left tackle for 10 yards (tackle by Cameron Wake). Penalty on Jamon Meredith: Offensive Holding, 10 yards (no play)",2.770,1.420
Quarter,Time,Down,ToGo,Location,MIA,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,19,MIA 45,0,10,Mike Glennon pass incomplete deep right intended for Skye Dawson,1.420,0.760
2,14:54,3,19,MIA 45,0,10,Mike Glennon pass incomplete deep right intended for Vincent Jackson,0.760,0.270
2,14:47,4,19,MIA 45,0,10,Michael Koenen punts 43 yards,0.270,0.380
2,14:36,1,10,MIA 2,0,10,Charles Clay up the middle for -1 yards (tackle by Gerald McCoy),-0.380,-0.850
2,14:00,2,11,MIA 1,0,12,"Daniel Thomas for -1 yards, safety",-0.850,-2.000
2,14:00,,,MIA 20,0,12,"Brandon Fields kicks off 53 yards, returned by Bobby Rainey for 15 yards (tackle by Austin Spitler)",0.000,-1.730
2,13:46,1,10,TAM 42,0,12,Mike Glennon pass complete short left to Brian Leonard for 14 yards (tackle by Philip Wheeler),1.730,2.650
2,13:07,1,10,MIA 44,0,12,Brian Leonard right tackle for -1 yards (tackle by Paul Soliai and Chris Clemons),2.650,1.980
2,12:27,2,11,MIA 45,0,12,Brian Leonard right guard for 2 yards (tackle by Jason Trusnik),1.980,1.550
2,11:45,3,9,MIA 43,0,12,Mike Glennon pass complete short left to Tiquan Underwood for 17 yards (tackle by Brent Grimes),1.550,3.840
2,11:12,1,10,MIA 26,0,12,Bobby Rainey right guard for 2 yards (tackle by Dannell Ellerbe and Dion Jordan),3.840,3.570
2,10:38,2,8,MIA 24,0,12,Bobby Rainey right guard for 2 yards (tackle by Jared Odrick and Chris Clemons),3.570,3.140
2,9:51,3,6,MIA 22,0,12,Mike Glennon pass complete short left to Vincent Jackson for 5 yards (tackle by Jimmy Wilson),3.140,2.460
2,9:04,4,1,MIA 17,0,15,Rian Lindell 35 yard field goal good,2.460,3.000
2,9:04,,,TAM 35,0,15,"Michael Koenen kicks off 71 yards, touchback",0.000,-0.280
2,9:01,1,10,MIA 20,0,15,Ryan Tannehill pass incomplete deep right intended for Mike Wallace,0.280,-0.270
2,8:54,2,10,MIA 20,0,15,Ryan Tannehill pass complete short left to Charles Clay for 7 yards (tackle by Johnthan Banks and Lavonte David),-0.270,-0.030
2,8:15,3,3,MIA 27,0,15,Ryan Tannehill pass complete short right to Rishard Matthews for 12 yards (tackle by Michael Adams),-0.030,1.530
2,7:37,1,10,MIA 39,0,15,Daniel Thomas left tackle for no gain (tackle by Akeem Spence and Gerald McCoy),1.530,0.990
2,6:58,2,10,MIA 39,0,15,Ryan Tannehill pass complete short right to Mike Wallace for -5 yards (tackle by Darrelle Revis),0.990,-0.360
2,6:19,3,15,MIA 34,0,15,Ryan Tannehill pass complete short middle to Mike Wallace for 3 yards (tackle by Mark Barron),-0.360,-0.910
2,5:40,4,12,MIA 37,0,15,"Brandon Fields punts 55 yards, returned by Eric Page for 52 yards (tackle by D.J. Campbell)",-0.910,-2.920
2,5:22,1,10,MIA 40,0,15,Mike Glennon sacked by Nolan Carroll for -10 yards,2.920,1.020
2,4:46,2,20,,0,15,Brian Leonard left guard for 5 yards (tackle by Derrick Shelby),1.020,1.030
2,4:10,3,15,MIA 45,0,15,Mike Glennon pass incomplete short middle intended for Tiquan Underwood (defended by Brent Grimes),1.030,0.270
2,4:02,4,15,MIA 45,0,15,"Michael Koenen punts 35 yards, fair catch by Marcus Thigpen",0.270,0.380
2,3:54,1,10,MIA 10,0,15,Ryan Tannehill pass complete short left to Rishard Matthews for 7 yards (tackle by Dashon Goldson),-0.380,-0.090
2,3:18,2,3,MIA 17,0,15,Ryan Tannehill pass complete short left to Rishard Matthews for 11 yards (tackle by Dashon Goldson),-0.090,0.810
2,2:48,1,10,MIA 28,0,15,"Ryan Tannehill pass complete short left to Rishard Matthews for 12 yards (tackle by Dashon Goldson). Penalty on Dashon Goldson: Unnecessary Roughness, 15 yards",0.810,2.590
2,2:17,1,10,TAM 45,0,15,Lamar Miller up the middle for -2 yards (tackle by Lavonte David and Adrian Clayborn),2.590,1.770
2,2:00,2,12,TAM 47,0,15,Ryan Tannehill pass complete short middle to Brian Hartline for 19 yards (tackle by Dashon Goldson),1.770,3.710
2,1:36,1,10,TAM 28,0,15,Ryan Tannehill pass complete short left to Rishard Matthews for 4 yards (tackle by Michael Adams),3.710,3.710
2,1:06,2,6,TAM 24,0,15,Ryan Tannehill pass complete short left to Rishard Matthews for 11 yards (tackle by Johnthan Banks and Michael Adams),3.710,3.710
2,1:00,2,6,TAM 24,0,15,Timeout #1 by Miami Dolphins,3.710,4.710
2,1:00,1,10,TAM 13,0,15,Ryan Tannehill pass complete short right to Michael Egnew for 7 yards (tackle by Lavonte David),4.710,5.340
2,0:32,2,3,TAM 6,6,15,"Ryan Tannehill pass complete short middle to Rishard Matthews for 6 yards, touchdown",5.340,7.000
2,0:32,,,TAM 2,7,15,Caleb Sturgis kicks extra point good,0.000,0.000
2,0:32,,,MIA 35,7,15,"Brandon Fields kicks off 65 yards, touchback",0.000,-0.280
2,0:28,1,10,TAM 20,7,15,Mike Glennon kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,MIA,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,7,15,"Michael Koenen kicks off 72 yards, returned by Marcus Thigpen for 20 yards (tackle by Adam Hayward)",0.000,0.320
3,14:56,1,10,MIA 13,7,15,Ryan Tannehill pass incomplete short right intended for Mike Wallace,-0.320,-0.770
3,14:51,2,10,MIA 13,7,15,Lamar Miller left end for 1 yard (tackle by Jonathan Casillas and Lavonte David),-0.770,-0.770
3,14:11,2,10,MIA 13,7,15,Timeout #1 by Tampa Bay Buccaneers,-0.770,-1.300
3,14:11,3,9,MIA 14,7,15,Ryan Tannehill pass complete short right to Rishard Matthews for 14 yards (tackle by Michael Adams),-1.300,0.810
3,13:25,1,10,MIA 28,7,15,Ryan Tannehill pass incomplete deep right intended for Michael Egnew,0.810,0.260
3,13:20,2,10,MIA 28,7,15,Ryan Tannehill pass complete short left to Brian Hartline for 14 yards (tackle by Johnthan Banks),0.260,1.730
3,12:41,1,10,MIA 42,7,15,Lamar Miller right end for 2 yards (tackle by Mason Foster),1.730,1.460
3,12:03,2,8,MIA 44,7,15,Ryan Tannehill pass incomplete short left intended for Brian Hartline,1.460,0.760
3,11:58,3,8,MIA 44,7,15,Ryan Tannehill pass incomplete short left intended for Charles Clay,0.760,-0.460
3,11:53,4,8,MIA 44,7,15,"Brandon Fields punts 55 yards, out of bounds",-0.460,0.380
3,11:43,1,10,TAM 1,7,15,Brian Leonard right guard for 2 yards (tackle by Philip Wheeler),-0.380,-0.630
3,11:08,2,8,TAM 3,7,15,Brian Leonard up the middle for -2 yards (tackle by Dannell Ellerbe),-0.630,-1.420
3,11:08,3,10,TAM 1,7,15,Penalty on Mike Glennon: Delay of Game (no play),-1.420,-1.420
3,9:53,3,10,TAM 1,7,15,Mike Glennon pass incomplete deep left intended for Tiquan Underwood (defended by Nolan Carroll),-1.420,-2.490
3,9:46,4,10,TAM 1,7,15,"Michael Koenen punts 62 yards, returned by Marcus Thigpen for 34 yards (tackle by Russell Shepard)",-2.490,-3.640
3,9:30,1,10,TAM 29,7,15,Ryan Tannehill pass incomplete short middle intended for Rishard Matthews,3.640,3.100
3,9:25,2,10,TAM 29,7,15,Daniel Thomas left end for 1 yard (tackle by Mason Foster and Gerald McCoy),3.100,2.540
3,8:41,3,9,TAM 28,7,15,Ryan Tannehill pass complete short middle to Lamar Miller for 6 yards (tackle by Mark Barron),2.540,2.090
3,8:02,4,3,TAM 22,10,15,Caleb Sturgis 40 yard field goal good,2.090,3.000
3,8:02,,,MIA 35,10,15,"Caleb Sturgis kicks off 63 yards, returned by Skye Dawson for 17 yards (tackle by Marlon Moore)",0.000,-0.150
3,7:50,1,10,TAM 19,10,15,"Brian Leonard right end for 7 yards (tackle by Chris Clemons and Philip Wheeler). Penalty on Tiquan Underwood: Offensive Holding, 9 yards (no play)",0.150,-0.720
3,7:26,1,19,TAM 10,10,15,Brian Leonard up the middle for no gain (tackle by Randy Starks and Derrick Shelby),-0.720,-1.440
3,6:44,2,19,TAM 10,10,15,Mike Glennon pass complete short middle to Tim Wright for 19 yards (tackle by Dannell Ellerbe),-1.440,0.870
3,6:01,1,10,TAM 29,10,15,"Brian Leonard right tackle for 2 yards (tackle by Derrick Shelby and Randy Starks). Penalty on Jeremy Zuttah: Offensive Holding, 10 yards (no play)",0.870,0.110
3,5:41,1,20,TAM 19,10,15,Mike Glennon up the middle for 4 yards (tackle by Cameron Wake),0.110,-0.480
3,5:04,2,16,TAM 23,10,15,Brian Leonard right end for -3 yards (tackle by Randy Starks),-0.480,-1.550
3,4:20,3,19,TAM 20,10,15,Mike Glennon pass incomplete short middle intended for Skye Dawson,-1.550,-2.030
3,4:15,4,19,TAM 20,10,15,"Michael Koenen punts 21 yards, out of bounds",-2.030,-2.850
3,4:07,1,10,TAM 41,10,15,Ryan Tannehill pass complete short left to Rishard Matthews for 10 yards (tackle by Dashon Goldson),2.850,3.510
3,3:35,1,10,TAM 31,10,15,Charles Clay right end for 1 yard (tackle by Darrelle Revis),3.510,3.100
3,2:53,2,9,TAM 30,10,15,Ryan Tannehill pass complete short right to Brian Hartline for 11 yards (tackle by Johnthan Banks),3.100,4.310
3,2:14,1,10,TAM 19,10,15,Ryan Tannehill pass incomplete short middle intended for Charles Clay (defended by Dashon Goldson),4.310,3.750
3,2:08,2,10,TAM 19,16,15,"Ryan Tannehill pass complete short left to Rishard Matthews for 19 yards, touchdown",3.750,7.000
3,2:08,,,,16,15,"Two Point Attempt: Ryan Tannehill pass incomplete intended for Mike Wallace, conversion fails",0.000,-1.000
3,2:08,,,MIA 35,16,15,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
3,2:01,1,10,TAM 20,16,15,Mike Glennon pass incomplete short right intended for Vincent Jackson (defended by Brent Grimes),0.280,-0.270
3,1:56,2,10,TAM 20,16,15,Mike Glennon pass incomplete deep left intended for Vincent Jackson,-0.270,-0.960
3,1:48,3,10,TAM 20,16,15,Mike Glennon pass incomplete short left intended for Vincent Jackson is intercepted by Jimmy Wilson at TAM-30 and returned for 23 yards (tackle by Brian Leonard),-0.960,-5.600
3,1:34,1,7,TAM 7,16,15,Daniel Thomas left end for -2 yards (tackle by Mason Foster),5.600,4.380
3,0:56,2,9,TAM 9,16,15,Ryan Tannehill pass incomplete short middle intended for Brian Hartline (defended by Leonard Johnson),4.380,3.360
3,0:50,3,9,TAM 9,16,15,Ryan Tannehill pass complete short middle to Charles Clay for -3 yards (tackle by Gerald McCoy),3.360,2.630
3,0:14,4,12,TAM 12,19,15,Caleb Sturgis 30 yard field goal good,2.630,3.000
3,0:14,,,MIA 35,19,15,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
3,0:10,1,10,TAM 20,19,15,Brian Leonard right guard for 8 yards (tackle by Jimmy Wilson),0.280,0.810
Quarter,Time,Down,ToGo,Location,MIA,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,TAM 28,19,15,Brian Leonard right tackle for 11 yards (tackle by Chris Clemons),0.810,1.530
4,14:30,1,10,TAM 39,19,15,Brian Leonard right tackle for 3 yards (tackle by Philip Wheeler and Derrick Shelby),1.530,1.390
4,13:51,2,7,TAM 42,19,15,Brian Leonard left tackle for 6 yards (tackle by Jared Odrick),1.390,1.490
4,13:07,3,1,TAM 48,19,15,Brian Leonard left guard for 2 yards (tackle by Dannell Ellerbe),1.490,2.260
4,12:29,1,10,,19,15,Mike Glennon pass complete deep left to Tiquan Underwood for 17 yards (tackle by Nolan Carroll),2.260,3.380
4,11:51,1,10,MIA 33,19,15,Bobby Rainey left tackle for 1 yard (tackle by Jared Odrick),3.380,2.970
4,11:11,2,9,MIA 32,19,15,Bobby Rainey right guard for 31 yards (tackle by Chris Clemons),2.970,6.970
4,10:26,1,1,MIA 1,19,21,"Bobby Rainey left end for 1 yard, touchdown",6.970,7.000
4,10:26,,,MIA 2,19,22,Rian Lindell kicks extra point good,0.000,0.000
4,10:26,,,TAM 35,19,22,"Michael Koenen kicks off 65 yards, touchback",0.000,-0.280
4,10:19,1,10,MIA 20,19,22,Ryan Tannehill pass complete short middle to Lamar Miller for 3 yards (tackle by Lavonte David),0.280,0.140
4,9:42,2,7,MIA 23,19,22,Ryan Tannehill pass complete short right to Mike Wallace for 6 yards (tackle by Darrelle Revis),0.140,0.230
4,8:54,3,1,MIA 29,19,22,Ryan Tannehill up the middle for 2 yards (tackle by Dashon Goldson),0.230,1.000
4,8:19,1,10,MIA 31,19,22,Lamar Miller left end for -3 yards (tackle by Mark Barron),1.000,0.060
4,7:37,2,13,MIA 28,19,22,Ryan Tannehill pass incomplete short right intended for Charles Clay,0.060,-0.630
4,7:32,3,13,MIA 28,19,22,Ryan Tannehill pass incomplete short left intended for Brian Hartline,-0.630,-1.500
4,7:26,4,13,MIA 28,19,22,"Penalty on TAM: Defensive Offside, 5 yards (no play)",-1.500,-1.180
4,7:26,4,8,MIA 33,19,22,"Brandon Fields punts 45 yards, out of bounds. Penalty on Eric Page: Unnecessary Roughness, 11 yards",-1.180,0.370
4,7:17,1,10,TAM 11,19,22,Brian Leonard left guard for 2 yards (tackle by Cameron Wake),-0.370,-0.630
4,6:42,2,8,TAM 13,19,22,Mike Glennon pass complete short left to Brian Leonard for 2 yards (tackle by Olivier Vernon),-0.630,-0.950
4,6:02,3,6,TAM 15,19,22,"Mike Glennon pass incomplete deep right intended for Tiquan Underwood. Penalty on Philip Wheeler: Roughing the Passer, 15 yards (no play)",-0.950,0.940
4,5:53,1,10,TAM 30,19,22,Bobby Rainey up the middle for -1 yards (tackle by Randy Starks),0.940,0.260
4,5:19,2,11,TAM 29,19,22,Mike Glennon pass complete short left to Bobby Rainey for 11 yards (tackle by Dannell Ellerbe),0.260,1.600
4,4:41,1,10,TAM 40,19,22,Bobby Rainey left end for 8 yards (tackle by Dannell Ellerbe),1.600,2.130
4,3:59,2,2,TAM 48,19,22,Bobby Rainey right guard for 1 yard (tackle by Reshad Jones),2.130,1.550
4,3:15,3,1,TAM 49,19,22,Mike Glennon sacked by Dannell Ellerbe for -5 yards,1.550,-0.460
4,3:08,4,6,TAM 44,19,22,"Michael Koenen punts 51 yards, fair catch by Marcus Thigpen",-0.460,0.380
4,3:00,1,10,MIA 5,19,22,Ryan Tannehill pass complete short right to Charles Clay for 3 yards (tackle by Mark Barron),-0.380,-0.560
4,2:54,2,7,MIA 8,19,22,Ryan Tannehill pass complete short middle to Charles Clay for 14 yards (tackle by Mason Foster and Dashon Goldson),-0.560,0.410
4,2:23,1,10,MIA 22,19,22,Ryan Tannehill pass complete short right to Mike Wallace for 11 yards (tackle by Darrelle Revis),0.410,1.140
4,2:00,1,10,MIA 33,19,22,Ryan Tannehill sacked by William Gholston and Da'Quan Bowers for -8 yards,1.140,1.140
4,1:54,1,10,MIA 33,19,22,Timeout #1 by Miami Dolphins,1.140,-0.490
4,1:54,2,18,MIA 25,19,22,Ryan Tannehill sacked by Gerald McCoy for -10 yards,-0.490,-0.490
4,1:49,2,18,MIA 25,19,22,Timeout #2 by Miami Dolphins,-0.490,-3.130
4,1:49,3,28,MIA 15,19,22,Ryan Tannehill pass incomplete short middle intended for Rishard Matthews (defended by Michael Adams),-3.130,-2.440
4,1:44,4,28,MIA 15,19,22,Ryan Tannehill pass incomplete deep right intended for Mike Wallace is intercepted by Darrelle Revis at TAM-33,-2.440,-2.440
4,1:35,4,28,MIA 15,19,22,Timeout #2 by Tampa Bay Buccaneers,-2.440,-1.140
4,1:35,1,10,TAM 33,19,22,Brian Leonard right end for -5 yards (tackle by Reshad Jones and Jonathan Freeny),1.140,1.140
4,1:30,1,10,TAM 33,19,22,Timeout #3 by Miami Dolphins,1.140,-0.080
4,1:30,2,15,TAM 28,19,22,Brian Leonard left end for 1 yard (tackle by Dannell Ellerbe),-0.080,-0.620
4,1:30,3,14,TAM 29,19,22,"Penalty on TAM: Delay of Game, 5 yards (no play)",-0.620,-0.620
4,0:42,3,14,TAM 29,19,22,Timeout #3 by Tampa Bay Buccaneers,-0.620,-1.290
4,0:42,3,19,TAM 24,19,22,Mike Glennon kneels for -11 yards,-1.290,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
