Unnamed: 0,MIA,CIN
First Downs,17,17
Rush-Yds-TDs,22-128-0,26-103-0
Cmp-Att-Yd-TD-INT,20-35-185-1-2,20-30-248-1-1
Sacked-Yards,3-16,2-19
Net Pass Yards,169,229
Total Yards,297,332
Fumbles-Lost,1-1,0-0
Turnovers,3,1
Penalties-Yards,9-85,6-47
Third Down Conv.,4-13,2-11
Fourth Down Conv.,1-1,0-0
Time of Possession,29:25,30:35
