Quarter,Time,Tm,Detail,MIA,CIN
2.0,7:22,Dolphins,Kenyan Drake 22 yard pass from Ryan Tannehill (Jason Sanders kick),7,0
,0:23,Dolphins,Jakeem Grant 71 yard punt return (Jason Sanders kick),14,0
3.0,9:25,Dolphins,Jason Sanders 42 yard field goal,17,0
,5:07,Bengals,Randy Bullock 51 yard field goal,17,3
4.0,14:54,Bengals,Joe Mixon 18 yard pass from Andy Dalton (Randy Bullock kick),17,10
,11:43,Bengals,Michael Johnson 22 yard interception return (Randy Bullock kick),17,17
,3:30,Bengals,Randy Bullock 20 yard field goal,17,20
,2:37,Bengals,Sam Hubbard 19 yard fumble return (Randy Bullock kick),17,27
