Quarter,Time,Tm,Detail,CIN,MIA
1.0,3:20,Bengals,Tyler Boyd 72 yard pass from Brandon Allen (Randy Bullock kick),7,0
2.0,11:42,Dolphins,Jason Sanders 25 yard field goal,7,3
,0:00,Dolphins,Jason Sanders 48 yard field goal,7,6
3.0,11:35,Dolphins,Mike Gesicki 5 yard pass from Tua Tagovailoa (Jason Sanders kick),7,13
,5:33,Dolphins,Jason Sanders 23 yard field goal,7,16
4.0,13:21,Dolphins,Jason Sanders 19 yard field goal,7,19
