Quarter,Time,Down,ToGo,Location,NYJ,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 71 yards, returned by Brad Smith for 38 yards (tackle by Rian Lindell)",0.000,1.400
1,14:53,1,10,NYJ 37,0,0,LaDainian Tomlinson middle for 8 yards (tackle by Akin Ayodele and Donte Whitner),1.400,1.940
1,14:15,2,2,NYJ 45,0,0,Shonn Greene left tackle for 3 yards (tackle by Paul Posluszny),1.940,2.130
1,13:30,1,10,NYJ 48,0,0,LaDainian Tomlinson middle for 5 yards (tackle by Reggie Torbor),2.130,2.260
1,12:52,2,5,BUF 47,0,0,Mark Sanchez pass incomplete deep left intended for Braylon Edwards,2.260,1.550
1,12:46,3,5,BUF 47,0,0,Mark Sanchez pass complete short right to Dustin Keller for 8 yards (tackle by Reggie Corner),1.550,2.980
1,12:07,1,10,BUF 39,0,0,LaDainian Tomlinson left end for 13 yards (tackle by Paul Posluszny and Jairus Byrd),2.980,3.840
1,11:24,1,10,BUF 26,0,0,LaDainian Tomlinson right tackle for 15 yards (tackle by Donte Whitner),3.840,4.840
1,10:51,1,10,BUF 11,0,0,Mark Sanchez pass complete short right to LaDainian Tomlinson for 10 yards (tackle by Jairus Byrd),4.840,6.970
1,10:45,1,1,BUF 1,6,0,"LaDainian Tomlinson middle for 1 yard, touchdown",6.970,7.000
1,,,,BUF 2,7,0,Nick Folk kicks extra point good,0.000,0.000
1,,,,NYJ 30,7,0,--,0.000,-2.980
1,10:37,1,10,BUF 39,7,0,Shonn Greene middle for 5 yards (tackle by Spencer Johnson and Drayton Florence),2.980,3.120
1,9:57,2,5,BUF 34,7,0,Mark Sanchez pass complete short right to Dustin Keller for 15 yards (tackle by Paul Posluszny),3.120,4.310
1,9:29,1,10,BUF 19,7,0,Shonn Greene middle for 2 yards (tackle by Kyle Williams),4.310,4.030
1,8:47,2,8,BUF 17,7,0,Mark Sanchez pass complete short right to LaDainian Tomlinson for 2 yards (tackle by Dwan Edwards),4.030,3.580
1,8:13,3,6,BUF 15,7,0,LaDainian Tomlinson middle for 3 yards (tackle by Dwan Edwards and Spencer Johnson),3.580,2.730
1,7:28,4,3,BUF 12,7,0,Nick Folk 30 yard field goal no good,2.730,-0.340
1,7:24,1,10,BUF 21,7,0,Marshawn Lynch right guard for 3 yards (tackle by Bart Scott and Mike DeVito),0.340,0.210
1,6:41,2,7,BUF 24,7,0,Ryan Fitzpatrick middle for 2 yards (tackle by Jason Taylor and Bart Scott),0.210,-0.230
1,6:00,3,5,BUF 26,7,0,Ryan Fitzpatrick pass incomplete deep right intended for Lee Evans,-0.230,-1.630
1,5:53,4,5,BUF 26,7,0,"Brian Moorman punts 41 yards, fair catch by Jim Leonhard",-1.630,-1.140
1,5:46,1,10,NYJ 33,7,0,Mark Sanchez pass incomplete short middle intended for Dustin Keller (defended by Spencer Johnson),1.140,0.590
1,5:41,2,10,NYJ 33,7,0,"Mark Sanchez for no gain. Mark Sanchez fumbles, ball out of bounds at NYJ-36",0.590,0.300
1,5:10,3,7,NYJ 36,7,0,Mark Sanchez pass incomplete short middle intended for Braylon Edwards (defended by Leodis McKelvin),0.300,-0.980
1,5:05,4,7,NYJ 36,7,0,"Steve Weatherford punts 51 yards, returned by Roscoe Parrish for 13 yards (tackle by Marquice Cole)",-0.980,-0.670
1,4:52,1,10,BUF 26,7,0,Fred Jackson right tackle for 12 yards (tackle by Jim Leonhard),0.670,1.470
1,4:29,1,10,BUF 38,7,0,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson,1.470,0.920
1,4:25,2,10,BUF 38,7,0,Ryan Fitzpatrick pass incomplete short right intended for Fred Jackson,0.920,0.230
1,4:20,3,10,BUF 38,7,0,Ryan Fitzpatrick middle for 8 yards (tackle by Jim Leonhard),0.230,-0.320
1,3:39,4,2,BUF 46,7,0,"Brian Moorman punts 32 yards, fair catch by Jim Leonhard",-0.320,-0.410
1,3:31,1,10,NYJ 22,7,0,Mark Sanchez pass incomplete deep right intended for Braylon Edwards (defended by Leodis McKelvin),0.410,-0.130
1,3:23,2,10,NYJ 22,7,0,Shonn Greene middle for 9 yards (tackle by Leodis McKelvin and Paul Posluszny),-0.130,0.370
1,2:45,3,1,NYJ 31,7,0,Shonn Greene middle for no gain (tackle by Akin Ayodele and Dwan Edwards),0.370,-1.310
1,2:28,4,1,NYJ 31,7,0,"Steve Weatherford punts 44 yards, returned by Roscoe Parrish for 26 yards (tackle by Eric Smith)",-1.310,-2.320
