Quarter,Time,Tm,Detail,OAK,NYG
1.0,6:57,Giants,Ahmad Bradshaw 1 yard rush (Lawrence Tynes kick),0,7
,3:15,Giants,Ahmad Bradshaw 19 yard rush (Lawrence Tynes kick),0,14
2.0,14:53,Giants,Mario Manningham 30 yard pass from Eli Manning (Lawrence Tynes kick),0,21
,12:37,Giants,Hakeem Nicks 9 yard pass from Eli Manning (Lawrence Tynes kick),0,28
,2:19,Raiders,Michael Bush 5 yard rush (Sebastian Janikowski kick),7,28
,0:02,Giants,Lawrence Tynes 25 yard field goal,7,31
3.0,10:01,Giants,David Carr 12 yard rush (Lawrence Tynes kick),7,38
,6:52,Giants,Lawrence Tynes 33 yard field goal,7,41
4.0,11:38,Giants,Lawrence Tynes 37 yard field goal,7,44
