Quarter,Time,Down,ToGo,Location,OAK,NYG,Detail,EPB,EPA
1,1:44,4,1,OAK 29,0,14,"Shane Lechler punts 59 yards, returned by Sinorice Moss for 2 yards (tackle by Hiram Eugene). Penalty on Kevin Dockery: Illegal Block Above the , 6 yards",-1.440,0.380
1,1:27,1,10,NYG 6,0,14,Ahmad Bradshaw left end for 23 yards (tackle by Greg Ellis),-0.380,0.870
1,0:46,1,10,NYG 29,0,14,"Ahmad Bradshaw right tackle for 1 yard (tackle by Kirk Morrison). Penalty on Kareem McKenzie: Personal Foul, 15 yards",0.870,-1.710
1,0:14,2,24,NYG 15,0,14,Eli Manning pass incomplete short middle intended for Darcy Johnson (defended by Tyvon Branch),-1.710,-2.740
1,0:10,3,24,NYG 15,0,14,Eli Manning pass complete short left to Ahmad Bradshaw for 55 yards (tackle by Stanford Routt),-2.740,3.580
Quarter,Time,Down,ToGo,Location,OAK,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 30,0,20,"Eli Manning pass complete deep right to Mario Manningham for 30 yards, touchdown",3.580,7.000
2,,,,OAK 2,0,21,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 30,0,21,"Lawrence Tynes kicks off 64 yards, returned by Jonathan Holland for 16 yards (tackle by Gerris Wilkinson)",0.000,0.410
2,14:47,1,10,OAK 22,0,21,JaMarcus Russell pass incomplete short right intended for Darrius Heyward-Bey,0.410,-0.130
2,14:43,2,10,OAK 22,0,21,Justin Fargas left tackle for no gain (tackle by Justin Tuck and Antonio Pierce),-0.130,-0.820
2,14:20,3,10,OAK 22,0,21,"JaMarcus Russell sacked by Terrell Thomas for -9 yards. JaMarcus Russell fumbles (forced by Terrell Thomas), recovered by Justin Tuck at OAK-13 (tackle by Khalif Barnes)",-0.820,-4.710
2,14:06,1,10,OAK 13,0,21,Brandon Jacobs right tackle for 2 yards (tackle by Greg Ellis and Tyvon Branch),4.710,4.390
2,13:30,2,8,OAK 11,0,21,Ahmad Bradshaw middle for 2 yards (tackle by Tyvon Branch and Tommy Kelly),4.390,3.880
2,12:48,3,6,OAK 9,0,27,"Eli Manning pass complete short middle to Hakeem Nicks for 9 yards, touchdown",3.880,7.000
2,,,,OAK 2,0,28,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 30,0,28,"Lawrence Tynes kicks off 72 yards, returned by Jonathan Holland for 20 yards (tackle by Derek Hagan)",0.000,0.040
2,12:32,1,10,OAK 18,0,28,Justin Fargas middle for 4 yards (tackle by Rocky Bernard and Osi Umenyiora),0.040,0.140
2,12:00,2,6,OAK 22,0,28,Justin Fargas right guard for 3 yards (tackle by Fred Robbins),0.140,-0.270
2,11:27,3,3,OAK 25,0,28,JaMarcus Russell right end for 2 yards (tackle by Antonio Pierce and Michael Johnson),-0.270,-1.570
2,10:29,4,1,OAK 27,0,28,"Shane Lechler punts 54 yards, returned by Sinorice Moss for 15 yards (tackle by Jonathan Holland)",-1.570,-1.200
2,10:10,1,10,NYG 34,0,28,Brandon Jacobs left tackle for 12 yards (tackle by Tyvon Branch and Tommy Kelly),1.200,1.990
2,9:35,1,10,NYG 46,0,28,Brandon Jacobs right end for 1 yard (tackle by Tommy Kelly),1.990,1.590
2,8:52,2,9,NYG 47,0,28,Brandon Jacobs left end for -1 yards (tackle by Jon Alston),1.590,0.760
2,8:05,3,10,NYG 46,0,28,Brandon Jacobs right guard for 5 yards (tackle by Kirk Morrison and Greg Ellis),0.760,0.000
2,7:34,4,5,OAK 49,0,28,Jeff Feagles punts 30 yards,0.000,-0.150
2,7:18,1,10,OAK 19,0,28,JaMarcus Russell pass complete deep middle to Zach Miller for 21 yards (tackle by Michael Johnson and Antonio Pierce),0.150,1.600
2,6:46,1,10,OAK 40,0,28,JaMarcus Russell pass incomplete deep middle intended for Louis Murphy (defended by Terrell Thomas),1.600,1.050
2,6:33,2,10,OAK 40,0,28,Michael Bush left tackle for 8 yards (tackle by Justin Tuck and C.C. Brown),1.050,1.420
2,6:00,3,2,OAK 48,0,28,Michael Bush left guard for no gain (tackle by Chase Blackburn). Penalty on Samson Satele: Offensive Holding (Declined),1.420,-0.190
2,5:41,4,2,OAK 48,0,28,JaMarcus Russell right tackle for 3 yards (tackle by Chase Blackburn),-0.190,2.320
2,5:05,1,10,NYG 49,0,28,Michael Bush left guard for 3 yards (tackle by Justin Tuck and Antonio Pierce),2.320,2.190
2,4:33,2,7,NYG 46,0,28,Michael Bush left guard for 1 yard (tackle by Justin Tuck and Rocky Bernard),2.190,1.620
2,3:47,3,6,NYG 45,0,28,JaMarcus Russell sacked by Michael Johnson for -6 yards,1.620,-0.130
2,3:38,4,12,OAK 49,0,28,"Shane Lechler punts 36 yards, muffed catch by Sinorice Moss, recovered by Jonathan Holland and returned for no gain",-0.130,4.580
2,3:25,1,10,NYG 15,0,28,Justin Fargas right tackle for 1 yard (tackle by Barry Cofield),4.580,4.110
2,2:51,2,9,NYG 14,0,28,"JaMarcus Russell pass incomplete short right intended for Louis Murphy. Penalty on C.C. Brown: Defensive Pass Interfere, 9 yards (no play)",4.110,6.060
2,2:43,1,5,NYG 5,0,28,Justin Fargas left end for no gain (tackle by Osi Umenyiora and C.C. Brown),6.060,5.150
2,2:23,,,,0,28,Timeout #1 by New York Giants,0.000,5.150
2,2:23,2,5,NYG 5,6,28,"Michael Bush middle for 5 yards, touchdown",5.150,7.000
2,,,,NYG 2,7,28,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 30,7,28,"Sebastian Janikowski kicks off 56 yards, returned by Sinorice Moss for no gain. Penalty on Dave Tollefson: Personal Foul, 7 yards",0.000,-0.380
2,2:18,1,10,NYG 7,7,28,David Carr pass complete short right to Mario Manningham for 6 yards (tackle by Kirk Morrison and Tommy Kelly),-0.380,-0.340
2,2:00,2,4,NYG 13,7,28,Ahmad Bradshaw right tackle for 19 yards (tackle by Michael Huff and Chris Johnson),-0.340,1.070
2,1:38,1,10,NYG 32,7,28,David Carr pass complete short right to Steve Smith for 19 yards (tackle by Chris Johnson),1.070,2.320
2,1:27,1,10,OAK 49,7,28,David Carr middle for 4 yards (tackle by Trevor Scott),2.320,2.320
2,1:03,2,6,OAK 45,7,28,David Carr pass incomplete deep left intended for Hakeem Nicks,2.320,1.620
2,0:56,,,,7,28,Timeout #2 by New York Giants,0.000,1.620
2,0:56,3,6,OAK 45,7,28,David Carr pass incomplete short right intended for Mario Manningham,1.620,0.270
2,0:51,4,6,OAK 45,7,28,"Jeff Feagles punts 29 yards, fair catch by Johnnie Lee Higgins",0.270,0.140
2,0:43,1,10,OAK 16,7,28,JaMarcus Russell pass complete short right to Luke Lawton for 14 yards (tackle by Barry Cofield and Chase Blackburn),-0.140,0.940
2,0:33,,,,7,28,Timeout #1 by Oakland Raiders,0.000,0.940
2,0:33,1,10,OAK 30,7,28,"JaMarcus Russell sacked by Justin Tuck for -5 yards. JaMarcus Russell fumbles (forced by Justin Tuck), recovered by Osi Umenyiora at OAK-28 (tackle by Justin Fargas)",0.940,-3.710
2,0:27,1,10,OAK 28,7,28,David Carr pass complete short middle to Darcy Johnson for 13 yards (tackle by Thomas Howard),3.710,4.580
2,0:15,1,10,OAK 15,7,28,David Carr spiked the ball,4.580,3.950
2,0:14,2,10,OAK 15,7,28,"David Carr pass incomplete. Penalty on Tommy Kelly: Personal Foul, 8 yards (no play)",3.950,5.600
2,0:06,1,7,OAK 7,7,31,Lawrence Tynes 25 yard field goal good,5.600,3.000
2,,,,NYG 30,7,31,"Lawrence Tynes kicks off 72 yards, touchback",0.000,0.280
2,0:02,1,10,OAK 20,7,31,Michael Bush right guard for 2 yards (tackle by Danny Clark),0.280,0.000
Quarter,Time,Down,ToGo,Location,OAK,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 30,7,31,"Lawrence Tynes kicks off 56 yards, returned by Gary Russell for 15 yards (tackle by Clint Sintim)",0.000,0.870
3,14:53,1,10,OAK 29,7,31,JaMarcus Russell pass incomplete deep left intended for Louis Murphy,0.870,0.330
3,14:47,2,10,OAK 29,7,31,Justin Fargas right tackle for no gain (tackle by Chase Blackburn and Antonio Pierce),0.330,-0.360
3,14:09,3,10,OAK 29,7,31,JaMarcus Russell pass complete short left to Michael Bush for 6 yards (tackle by Antonio Pierce and Chase Blackburn),-0.360,-1.040
3,13:32,4,4,OAK 35,7,31,"Shane Lechler punts 48 yards, returned by Sinorice Moss for 16 yards (tackle by Trevor Scott). Penalty on Trevor Scott: Horse Collar, 15 yards",-1.040,-2.130
3,13:19,1,10,NYG 48,7,31,Ahmad Bradshaw left end for 24 yards (tackle by Hiram Eugene and Jon Alston),2.130,3.710
3,12:41,1,10,OAK 28,7,31,David Carr pass incomplete (defended by Tommy Kelly),3.710,3.170
3,12:29,2,10,OAK 28,7,31,Ahmad Bradshaw right guard for no gain (tackle by Kirk Morrison and Tyvon Branch),3.170,2.480
3,11:45,,,,7,31,Timeout #1 by New York Giants,0.000,2.480
3,11:45,3,10,OAK 28,7,31,"David Carr pass incomplete deep middle intended for Darcy Johnson (defended by Thomas Howard). Penalty on Trevor Scott: Roughing the Passer, 13 yards (no play)",2.480,4.580
3,11:39,1,10,OAK 15,7,31,Ahmad Bradshaw right end for no gain (tackle by Kirk Morrison and Richard Seymour),4.580,3.950
3,11:01,2,10,OAK 15,7,31,"Ahmad Bradshaw right tackle for 4 yards (tackle by Kirk Morrison). Ahmad Bradshaw fumbles (forced by Kirk Morrison), recovered by Chris Snee at OAK-11",3.950,3.580
3,10:06,3,7,OAK 12,7,37,"David Carr left end for 12 yards, touchdown",3.580,7.000
3,,,,OAK 2,7,38,Lawrence Tynes kicks extra point good,0.000,0.000
3,,,,NYG 30,7,38,"Lawrence Tynes kicks off 66 yards, returned by Jonathan Holland for 18 yards (tackle by Dave Tollefson)",0.000,0.410
3,9:55,1,10,OAK 22,7,38,Justin Fargas middle for 2 yards (tackle by Chase Blackburn and Mathias Kiwanuka),0.410,0.140
3,9:20,2,8,OAK 24,7,38,"JaMarcus Russell sacked by Mathias Kiwanuka for -6 yards. JaMarcus Russell fumbles (forced by Mathias Kiwanuka), recovered by Antonio Pierce at OAK-22 and returned for 3 yards (tackle by Samson Satele)",0.140,-4.310
,,,,,,,"OAK challenged the fumble ruling, and the play was upheld.",,
3,9:08,1,10,OAK 19,7,38,David Carr pass complete short middle to Darcy Johnson for 4 yards (tackle by Chris Johnson and Tommy Kelly),4.310,4.350
3,8:27,2,6,OAK 15,7,38,Brandon Jacobs right end for -1 yards (tackle by Kirk Morrison),4.350,3.410
3,7:42,3,7,OAK 16,7,38,David Carr pass complete short middle to Travis Beckum for 1 yard (tackle by Chris Johnson and Gerard Warren),3.410,2.470
3,7:07,4,6,OAK 15,7,41,Lawrence Tynes 33 yard field goal good,2.470,3.000
3,,,,NYG 30,7,41,"Lawrence Tynes kicks off 70 yards, returned by Gary Russell for 13 yards (tackle by Gerris Wilkinson)",0.000,-0.320
3,6:48,1,10,OAK 13,7,41,Michael Bush right guard for 6 yards (tackle by Fred Robbins and Danny Clark),-0.320,0.030
3,6:19,2,4,OAK 19,7,41,Michael Bush right end for 3 yards (tackle by Terrell Thomas),0.030,-0.350
3,5:39,3,1,OAK 22,7,41,Michael Bush right guard for 3 yards (tackle by Antonio Pierce),-0.350,0.610
3,5:05,1,10,OAK 25,7,41,JaMarcus Russell sacked by Justin Tuck for -8 yards,0.610,-1.150
3,4:32,2,18,OAK 17,7,41,Justin Fargas left end for 4 yards (tackle by Fred Robbins and Chase Blackburn),-1.150,-1.150
3,3:50,3,14,OAK 21,7,41,JaMarcus Russell pass complete short middle to Justin Fargas for 9 yards (tackle by Corey Webster and Chase Blackburn),-1.150,-1.370
3,3:12,4,5,OAK 30,7,41,"Shane Lechler punts 59 yards, returned by Sinorice Moss for 14 yards (tackle by Jon Condo)",-1.370,-0.610
3,2:56,1,10,NYG 25,7,41,Brandon Jacobs left end for no gain (tackle by Kirk Morrison and Nnamdi Asomugha),0.610,0.060
3,2:17,2,10,NYG 25,7,41,Brandon Jacobs left guard for 9 yards (tackle by Jon Alston),0.060,0.560
3,1:26,3,1,NYG 34,7,41,Brandon Jacobs middle for 3 yards (tackle by Kirk Morrison and Tommy Kelly),0.560,1.400
3,0:36,1,10,NYG 37,7,41,Brandon Jacobs right tackle for 3 yards (tackle by Gerard Warren and Kirk Morrison),1.400,1.260
Quarter,Time,Down,ToGo,Location,OAK,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,NYG 40,7,41,David Carr pass complete short right to Hakeem Nicks for 17 yards (tackle by Chris Johnson),1.260,2.720
4,14:23,1,10,OAK 43,7,41,Brandon Jacobs left end for 5 yards (tackle by Kirk Morrison),2.720,2.850
4,13:50,2,5,OAK 38,7,41,David Carr pass complete short left to Hakeem Nicks for 14 yards (tackle by Thomas Howard),2.850,3.970
4,13:19,1,10,OAK 24,7,41,Brandon Jacobs left tackle for 2 yards (tackle by Jon Alston),3.970,3.700
4,12:36,2,8,OAK 22,7,41,Brandon Jacobs left guard for 3 yards (tackle by Tyvon Branch and Desmond Bryant),3.700,3.410
4,11:51,3,5,OAK 19,7,41,David Carr pass incomplete short right intended for Hakeem Nicks,3.410,2.240
4,11:43,4,5,OAK 19,7,44,Lawrence Tynes 37 yard field goal good,2.240,3.000
4,,,,NYG 30,7,44,"Lawrence Tynes kicks off 68 yards, returned by Jonathan Holland for 25 yards (tackle by Jonathan Goff)",0.000,0.740
4,11:29,1,10,OAK 27,7,44,JaMarcus Russell pass complete short middle to Zach Miller for 29 yards (tackle by Gerris Wilkinson),0.740,2.650
4,10:54,1,10,NYG 44,7,44,"Michael Bush left end for 6 yards (tackle by Bruce Johnson). Penalty on Zach Miller: Offensive Holding, 10 yards (no play)",2.650,1.990
4,10:34,1,20,OAK 46,7,44,JaMarcus Russell pass complete short right to Zach Miller for 14 yards (tackle by Jonathan Goff),1.990,2.650
4,9:53,2,6,NYG 40,7,44,Michael Bush left guard for -5 yards (tackle by Mathias Kiwanuka),2.650,1.290
4,9:17,3,11,NYG 45,7,44,JaMarcus Russell sacked by Dave Tollefson for -9 yards,1.290,-0.320
4,8:44,4,20,OAK 46,7,44,"Shane Lechler punts 46 yards, returned by Sinorice Moss for 1 yard (tackle by Isaiah Ekejiuba)",-0.320,0.380
4,8:29,1,10,NYG 9,7,44,"David Carr for no gain. David Carr fumbles, recovered by Gartrell Johnson at NYG-8",-0.380,-0.850
4,7:51,2,11,NYG 8,7,44,Gartrell Johnson left tackle for 1 yard (tackle by Richard Seymour and Jon Alston),-0.850,-1.420
4,7:06,3,10,NYG 9,7,44,David Carr middle for 11 yards (tackle by Chris Johnson),-1.420,0.280
4,6:23,1,10,NYG 20,7,44,Gartrell Johnson left end for 11 yards (tackle by Tyvon Branch and Kirk Morrison),0.280,1.000
4,5:39,1,10,NYG 31,7,44,Gartrell Johnson right tackle for 3 yards (tackle by Desmond Bryant),1.000,0.870
4,5:02,2,7,NYG 34,7,44,David Carr pass complete short right to Hakeem Nicks for 9 yards (tackle by Chris Johnson),0.870,1.800
4,4:16,1,10,NYG 43,7,44,Gartrell Johnson left tackle for no gain (tackle by Jay Richardson),1.800,1.250
4,3:39,2,10,NYG 43,7,44,David Carr pass complete short right to Derek Hagan for 7 yards (tackle by Chris Johnson),1.250,1.490
4,2:57,3,3,,7,44,Gartrell Johnson right guard for 1 yard (tackle by Kirk Morrison and Gerard Warren),1.490,0.000
4,2:07,4,2,OAK 49,7,44,"Jeff Feagles punts 33 yards, returned by Johnnie Lee Higgins for -2 yards (tackle by Sinorice Moss)",0.000,0.280
4,1:53,1,10,OAK 14,7,44,Justin Fargas left guard for 2 yards (tackle by Clint Sintim and Rocky Bernard),-0.280,-0.510
4,1:23,2,8,OAK 16,7,44,Justin Fargas right tackle for 4 yards (tackle by Clint Sintim and Barry Cofield),-0.510,-0.680
4,0:47,3,4,OAK 20,7,44,Justin Fargas right tackle for -2 yards (tackle by Mathias Kiwanuka),-0.680,-2.240
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
