Unnamed: 0,OAK,NYG
First Downs,7,27
Rush-Yds-TDs,25-60-1,41-220-3
Cmp-Att-Yd-TD-INT,8-13-100-0-0,17-24-263-2-0
Sacked-Yards,6-36,0-0
Net Pass Yards,64,263
Total Yards,124,483
Fumbles-Lost,3-3,3-1
Turnovers,3,1
Penalties-Yards,7-67,4-37
Third Down Conv.,1-11,6-12
Fourth Down Conv.,1-1,1-1
Time of Possession,23:56,36:04
