Unnamed: 0,SDG,IND
First Downs,20,29
Rush-Yds-TDs,30-99-1,18-44-0
Cmp-Att-Yd-TD-INT,17-23-312-3-1,33-48-402-3-2
Sacked-Yards,0-0,0-0
Net Pass Yards,312,402
Total Yards,411,446
Fumbles-Lost,1-0,1-1
Turnovers,1,3
Penalties-Yards,10-79,5-54
Third Down Conv.,6-10,3-11
Fourth Down Conv.,0-0,2-4
Time of Possession,29:39,30:21
