Quarter,Time,Tm,Detail,SDG,IND
1.0,9:13,Colts,Dallas Clark 25 yard pass from Peyton Manning (Adam Vinatieri kick),0,7
2.0,8:38,Chargers,Vincent Jackson 14 yard pass from Philip Rivers (Nate Kaeding kick),7,7
,5:10,Colts,Adam Vinatieri 46 yard field goal,7,10
3.0,11:33,Chargers,Chris Chambers 30 yard pass from Philip Rivers (Nate Kaeding kick),14,10
,2:53,Colts,Reggie Wayne 9 yard pass from Peyton Manning (Adam Vinatieri kick),14,17
,0:00,Chargers,Darren Sproles 56 yard pass from Philip Rivers (Nate Kaeding kick),21,17
4.0,10:07,Colts,Anthony Gonzalez 55 yard pass from Peyton Manning (Adam Vinatieri kick),21,24
,4:50,Chargers,Billy Volek 1 yard rush (Nate Kaeding kick),28,24
