Quarter,Time,Down,ToGo,Location,MIA,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIA 25,0,0,"Tua Tagovailoa aborted snap, recovered by Tua Tagovailoa at MIA-22 Tua Tagovailoa for no gain. Penalty on Joey Bosa: Defensive Offside, 5 yards (accepted) (no play)",0.610,1.340
1,14:44,1,5,MIA 30,0,0,Tua Tagovailoa pass complete short left to Tyreek Hill for 16 yards (tackle by Alohi Gilman),1.340,1.990
1,14:07,1,10,MIA 46,0,0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 35 yards (tackle by JT Woods),1.990,4.310
1,13:32,1,10,LAC 19,0,0,Salvon Ahmed left end for 5 yards (tackle by Michael Davis),4.310,4.530
1,12:53,2,5,LAC 14,0,0,Erik Ezukanma right end for 12 yards (tackle by Joey Bosa),4.530,6.740
1,12:13,1,2,LAC 2,0,0,"Tua Tagovailoa aborted snap, recovered by Nick Williams at LAC-6",6.740,0.380
1,12:02,1,10,LAC 6,0,0,Austin Ekeler left tackle for 6 yards (tackle by DeShon Elliott and Jaelan Phillips),-0.380,-0.340
1,11:25,2,4,LAC 12,0,0,Justin Herbert pass incomplete short left intended for Keenan Allen,-0.340,-0.720
1,11:20,3,4,LAC 12,0,0,Justin Herbert up the middle for 5 yards (tackle by DeShon Elliott),-0.720,-0.060
1,10:39,1,10,LAC 17,0,0,Joshua Kelley left guard for 4 yards (tackle by Jaelan Phillips),-0.060,0.080
1,10:00,2,6,LAC 21,0,0,Justin Herbert pass complete deep left to Keenan Allen for 36 yards (tackle by DeShon Elliott),0.080,2.720
1,9:25,1,10,MIA 43,0,0,Austin Ekeler left tackle for 6 yards (tackle by Andrew Van Ginkel and Jerome Baker),2.720,2.990
1,8:54,2,4,MIA 37,0,0,Gerald Everett right end for 2 yards (tackle by Eli Apple and Jevon Holland),2.990,2.540
1,8:16,3,2,MIA 35,0,0,Justin Herbert right end for 5 yards (tackle by Andrew Van Ginkel),2.540,3.580
1,7:38,1,10,MIA 30,0,0,Austin Ekeler up the middle for 6 yards (tackle by Jevon Holland and Jerome Baker),3.580,3.840
1,7:01,2,4,MIA 24,0,0,Joshua Kelley left tackle for 6 yards (tackle by Jerome Baker),3.840,4.370
1,6:19,1,10,MIA 18,0,0,Joshua Kelley up the middle for 10 yards (tackle by DeShon Elliott),4.370,5.370
1,5:34,1,8,MIA 8,0,0,Keenan Allen right end for 4 yards (tackle by Jevon Holland),5.370,5.340
1,5:15,2,4,MIA 4,0,0,Austin Ekeler right guard for 3 yards (tackle by Zach Sieler),5.340,5.170
1,4:42,3,1,MIA 1,0,6,"Austin Ekeler right tackle for 1 yard, touchdown",5.170,7.000
1,4:39,,,MIA 15,0,7,Cameron Dicker kicks extra point good,0.000,0.000
1,4:39,,,LAC 35,0,7,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
1,4:39,1,10,MIA 25,0,7,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill (defended by J.C. Jackson),0.610,0.060
1,4:33,2,10,MIA 25,0,7,Tua Tagovailoa pass complete short middle to River Cracraft for 24 yards (tackle by JT Woods),0.060,2.190
1,3:59,1,10,MIA 49,0,7,Raheem Mostert left tackle for 10 yards (tackle by JT Woods and Alohi Gilman),2.190,2.850
1,3:19,1,10,LAC 41,0,7,Raheem Mostert right end for 7 yards (tackle by Michael Davis),2.850,3.250
1,2:39,2,3,LAC 34,0,7,Tua Tagovailoa pass incomplete deep left intended for Durham Smythe,3.250,2.540
1,2:31,3,3,LAC 34,0,7,"Erik Ezukanma left end for 5 yards (tackle by Alohi Gilman). Penalty on Connor Williams: Offensive Holding, 10 yards (accepted)",2.540,1.880
1,2:20,3,8,LAC 39,0,7,"Tua Tagovailoa pass complete short left to Braxton Berrios for 11 yards (tackle by Asante Samuel and Michael Davis). Penalty on Joey Bosa: Face Mask (15 Yards), 14 yards (accepted)",1.880,4.650
1,1:48,1,10,LAC 14,0,7,Raheem Mostert right guard for 12 yards (tackle by Alohi Gilman),4.650,6.740
1,1:19,1,2,LAC 2,6,7,"Raheem Mostert left guard for 2 yards, touchdown",6.740,7.000
1,1:15,,,LAC 15,7,7,Jason Sanders kicks extra point good,0.000,0.000
1,1:15,,,MIA 35,7,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,1:15,1,10,LAC 25,7,7,Justin Herbert pass complete short right to Mike Williams for 3 yards (tackle by Jevon Holland and Kader Kohou),0.610,0.470
1,0:40,2,7,LAC 28,7,7,Justin Herbert pass complete short middle to Derius Davis for 5 yards (tackle by Jaelan Phillips),0.470,0.430
Quarter,Time,Down,ToGo,Location,MIA,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,LAC 33,7,7,"Penalty on Zion Johnson: False Start, 5 yards (accepted) (no play)",0.430,-0.230
2,15:00,3,7,LAC 28,7,7,Justin Herbert pass incomplete short right intended for Joshua Kelley,-0.230,-1.500
2,14:54,4,7,LAC 28,7,7,"JK Scott punts 49 yards, fair catch by Braxton Berrios at MIA-23",-1.500,-0.480
2,14:46,1,10,MIA 23,7,7,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 29 yards (tackle by Alohi Gilman),0.480,2.390
2,14:04,1,10,LAC 48,7,7,Tua Tagovailoa pass complete deep left to Tyreek Hill for 28 yards (tackle by Michael Davis),2.390,4.240
2,13:21,1,10,LAC 20,7,7,Raheem Mostert up the middle for no gain (tackle by Eric Kendricks),4.240,3.690
2,12:39,2,10,LAC 20,7,7,Tua Tagovailoa pass complete short left to Alec Ingold for 15 yards (tackle by JT Woods),3.690,6.060
2,11:58,1,5,LAC 5,7,7,Tua Tagovailoa pass incomplete short left,6.060,5.150
