Quarter,Time,Tm,Detail,MIA,LAC
1.0,4:39,Chargers,Austin Ekeler 1 yard rush (Cameron Dicker kick),0,7
,1:15,Dolphins,Raheem Mostert 2 yard rush (Jason Sanders kick),7,7
2.0,11:43,Dolphins,Jason Sanders 23 yard field goal,10,7
,9:07,Chargers,Donald Parham 1 yard pass from Justin Herbert (Cameron Dicker kick),10,14
,1:42,Dolphins,River Cracraft 1 yard pass from Tua Tagovailoa (Jason Sanders kick),17,14
,0:09,Chargers,Cameron Dicker 50 yard field goal,17,17
,0:00,Dolphins,Jason Sanders 41 yard field goal,20,17
3.0,9:19,Chargers,Justin Herbert 1 yard rush (Cameron Dicker kick),20,24
,2:12,Dolphins,Tyreek Hill 35 yard pass from Tua Tagovailoa (Jason Sanders kick),27,24
4.0,14:00,Chargers,Joshua Kelley 2 yard rush (Cameron Dicker kick),27,31
,10:03,Dolphins,Jason Sanders 45 yard field goal,30,31
,3:53,Chargers,Cameron Dicker 25 yard field goal,30,34
,1:45,Dolphins,Tyreek Hill 4 yard pass from Tua Tagovailoa (Jason Sanders kick failed),36,34
