Unnamed: 0,CAR,LAC
First Downs,14,26
Rush-Yds-TDs,21-81-0,23-117-1
Cmp-Att-Yd-TD-INT,22-28-235-1-0,35-49-330-1-1
Sacked-Yards,2-14,2-11
Net Pass Yards,221,319
Total Yards,302,436
Fumbles-Lost,0-0,4-3
Turnovers,0,4
Penalties-Yards,3-30,8-60
Third Down Conv.,3-12,10-15
Fourth Down Conv.,0-0,0-0
Time of Possession,28:49,31:11
