Quarter,Time,Down,ToGo,Location,CAR,LAC,Detail,EPB,EPA
1,7:43,1,10,LAC 35,3,0,Teddy Bridgewater sacked by Rayshawn Jenkins for -6 yards,3.250,1.890
1,7:04,2,16,LAC 41,3,0,Teddy Bridgewater pass complete short left to Mike Davis for 9 yards (tackle by Kyzir White),1.890,2.410
1,6:32,3,7,LAC 32,3,0,Teddy Bridgewater pass complete short middle to Curtis Samuel for 24 yards (tackle by Kyzir White),2.410,5.370
1,5:48,1,8,LAC 8,3,0,Mike Davis left end for no gain (tackle by Nasir Adderley),5.370,4.570
1,5:06,2,8,LAC 8,3,0,Teddy Bridgewater pass complete short left to Mike Davis for 2 yards (tackle by Michael Davis),4.570,4.040
1,4:35,3,6,LAC 6,3,0,Teddy Bridgewater pass incomplete short left intended for Mike Davis,4.040,2.990
1,4:31,4,6,LAC 6,6,0,Joey Slye 24 yard field goal good,2.990,3.000
1,4:28,,,CAR 35,6,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,4:28,1,10,LAC 25,6,0,Joshua Kelley left tackle for 4 yards (tackle by Bravvion Roy),0.610,0.600
1,3:56,2,6,LAC 29,6,0,Justin Herbert pass complete short left to Keenan Allen for 4 yards (tackle by Tre Boston),0.600,0.430
1,3:22,3,2,LAC 33,6,0,Justin Herbert pass complete deep left to Hunter Henry for 16 yards (tackle by Juston Burris),0.430,2.190
1,2:44,1,10,LAC 49,6,0,"Austin Ekeler right end for 1 yard (tackle by Shaq Thompson). Penalty on Virgil Green: Offensive Holding, 10 yards",2.190,1.600
1,2:22,1,19,LAC 40,6,0,Austin Ekeler up the middle for 9 yards (tackle by Tre Boston and Shaq Thompson),1.600,1.650
1,1:46,2,10,LAC 49,6,0,Justin Herbert pass complete short left to Austin Ekeler for 28 yards (tackle by Juston Burris),1.650,4.040
1,1:13,1,10,CAR 23,6,0,Joshua Kelley right guard for 6 yards (tackle by Jeremy Chinn),4.040,4.380
1,0:39,2,4,CAR 17,6,0,Joshua Kelley right tackle for -1 yards (tackle by Derrick Brown and Brian Burns),4.380,3.490
Quarter,Time,Down,ToGo,Location,CAR,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,CAR 18,6,0,Justin Herbert pass complete short right to Keenan Allen for 6 yards (tackle by Donte Jackson),3.490,4.780
2,14:22,1,10,CAR 12,6,6,"Austin Ekeler right end for 12 yards, touchdown",4.780,7.000
2,14:14,,,CAR 15,6,7,Michael Badgley kicks extra point good,0.000,0.000
2,14:14,,,LAC 35,6,7,"Ty Long kicks off 71 yards, returned by Pharoh Cooper for 35 yards (tackle by Brandon Facyson)",0.000,0.870
2,14:07,1,10,CAR 29,6,7,Mike Davis left guard for 25 yards (tackle by Nasir Adderley),0.870,2.520
2,13:28,1,10,LAC 46,6,7,"Mike Davis up the middle for 7 yards (tackle by Rayshawn Jenkins). Penalty on Ian Thomas: Offensive Holding, 10 yards",2.520,2.320
2,13:01,1,13,LAC 49,6,7,Curtis Samuel up the middle for 4 yards (tackle by Michael Davis and Rayshawn Jenkins),2.320,2.110
2,12:19,2,9,LAC 45,6,7,"Penalty on Joey Bosa: Neutral Zone Infraction, 5 yards (no play)",2.110,2.790
2,11:55,2,4,LAC 40,6,7,Mike Davis right end for no gain (tackle by Kenneth Murray and Casey Hayward),2.790,2.080
2,11:14,3,4,LAC 40,6,7,Teddy Bridgewater pass complete short left to Ian Thomas for 9 yards (tackle by Nasir Adderley),2.080,3.510
2,10:42,1,10,LAC 31,6,7,Reggie Bonnafon up the middle for 13 yards (tackle by Rayshawn Jenkins and Nasir Adderley),3.510,4.370
2,10:08,1,10,LAC 18,6,7,Reggie Bonnafon right guard for 3 yards (tackle by Nasir Adderley),4.370,4.250
2,9:37,2,7,LAC 15,6,7,Curtis Samuel up the middle for 5 yards (tackle by Kyzir White and Rayshawn Jenkins),4.250,4.510
2,8:54,3,2,LAC 10,6,7,Mike Davis left guard for -2 yards (tackle by Joey Bosa),4.510,2.710
2,8:15,4,4,LAC 12,9,7,Joey Slye 30 yard field goal good,2.710,3.000
2,8:11,,,CAR 35,9,7,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,8:11,1,10,LAC 25,9,7,Austin Ekeler right tackle for 3 yards (tackle by Shaq Thompson and Tre Boston),0.610,0.470
2,7:39,2,7,LAC 28,9,7,Justin Herbert pass complete short middle to Keenan Allen for 11 yards (tackle by Juston Burris and Tahir Whitehead),0.470,1.530
2,7:05,1,10,LAC 39,9,7,"Joshua Kelley left tackle for 16 yards (tackle by Shaq Thompson and Tre Boston). Joshua Kelley fumbles (forced by Shaq Thompson), recovered by Shaq Thompson at CAR-43",1.530,-1.800
2,6:56,1,10,CAR 43,9,7,Teddy Bridgewater pass complete short left to Robby Anderson for 14 yards (tackle by Nasir Adderley),1.800,2.720
2,6:24,1,10,LAC 43,9,7,Teddy Bridgewater pass incomplete deep middle intended for Seth Roberts (defended by Casey Hayward),2.720,2.180
2,6:19,2,10,LAC 43,9,7,Mike Davis up the middle for 6 yards (tackle by Denzel Perryman),2.180,2.280
2,5:44,3,4,LAC 37,9,7,Teddy Bridgewater pass complete short middle to Robby Anderson for 13 yards (tackle by Chris Harris),2.280,3.970
2,5:06,1,10,LAC 24,9,7,Curtis Samuel right end for no gain (tackle by Kyzir White),3.970,3.430
2,4:25,2,10,LAC 24,9,7,Teddy Bridgewater pass complete short right to Mike Davis for 8 yards (tackle by Kyzir White),3.430,3.950
2,3:49,3,2,LAC 16,9,7,Curtis Samuel right end for -2 yards (tackle by Kenneth Murray),3.950,2.320
2,3:09,4,4,LAC 18,9,7,"Joey Slye yard field goal good. Penalty on Jerry Tillery: Illegal Formation, 5 yards (no play)",2.320,4.710
2,3:06,1,10,LAC 13,15,7,"Teddy Bridgewater pass complete short left to Mike Davis for 13 yards, touchdown",4.710,7.000
2,2:58,,,LAC 15,15,7,"Joey Slye kicks extra point blocked by Isaac Rochell, recovered by Nasir Adderley",0.000,-1.000
2,2:58,,,CAR 35,15,7,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,2:58,1,10,LAC 25,15,7,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Juston Burris),0.610,1.280
2,2:24,2,1,LAC 34,15,7,Austin Ekeler left tackle for 2 yards (tackle by Stephen Weatherly and Jeremy Chinn),1.280,1.330
2,2:00,1,10,LAC 36,15,7,"Justin Herbert pass complete deep middle to Mike Williams for 45 yards (tackle by Rasul Douglas). Penalty on Mike Williams: Offensive Pass Interference, 10 yards (no play)",1.330,0.670
2,1:52,,,,,,Timeout #2 by Los Angeles Chargers,,
2,1:52,1,20,LAC 26,15,7,Justin Herbert pass complete short left to Austin Ekeler for 9 yards (tackle by Jeremy Chinn),0.670,0.660
2,1:28,2,11,LAC 35,15,7,Justin Herbert pass complete short middle to Hunter Henry for 10 yards (tackle by Corn Elder and Shaq Thompson),0.660,1.290
2,1:01,3,1,LAC 45,15,7,Joshua Kelley left tackle for 7 yards (tackle by Bravvion Roy),1.290,2.390
2,0:37,1,10,CAR 48,15,7,Justin Herbert pass complete short right to Austin Ekeler for 6 yards (tackle by Rasul Douglas and Jeremy Chinn),2.390,2.660
2,0:29,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:29,2,4,CAR 42,15,7,Justin Herbert left end for 4 yards (tackle by Corn Elder),2.660,3.050
2,0:22,1,10,CAR 38,15,7,Justin Herbert pass short left intended for Keenan Allen is intercepted by Donte Jackson at CAR-26 and returned for 66 yards,3.050,-5.370
2,0:08,1,8,LAC 8,15,7,Teddy Bridgewater pass complete short left to Robby Anderson for 4 yards (tackle by Kyzir White),5.370,5.340
2,0:03,,,,,,Timeout #1 by Carolina Panthers,,
2,0:03,2,4,LAC 4,18,7,Joey Slye 22 yard field goal good,5.340,3.000
Quarter,Time,Down,ToGo,Location,CAR,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,18,7,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAC 25,18,7,Austin Ekeler right tackle for 3 yards (tackle by Zach Kerr and Jeremy Chinn),0.610,0.470
3,14:35,2,7,LAC 28,18,7,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Rasul Douglas and Tahir Whitehead),0.470,1.400
3,14:07,1,10,LAC 37,18,7,Joshua Kelley left tackle for 1 yard (tackle by Derrick Brown and Zach Kerr),1.400,0.990
3,13:43,2,9,LAC 38,18,7,Justin Herbert pass complete short right to Joshua Kelley for 3 yards (tackle by Shaq Thompson),0.990,0.700
3,13:02,3,6,LAC 41,18,7,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Brian Burns),0.700,-0.650
3,12:52,4,6,LAC 41,18,7,Ty Long punts 47 yards downed by Brandon Facyson,-0.650,0.350
3,12:40,1,10,CAR 12,18,7,Teddy Bridgewater pass incomplete short right intended for D.J. Moore,-0.350,-0.780
3,12:35,2,10,CAR 12,18,7,Mike Davis up the middle for -1 yards (tackle by Kyzir White and Rayshawn Jenkins),-0.780,-1.540
3,11:52,3,11,CAR 11,18,7,Teddy Bridgewater pass complete short right to Curtis Samuel for 10 yards (tackle by Isaac Rochell and Kyzir White),-1.540,-1.960
3,10:52,4,1,CAR 21,18,7,"Joseph Charlton punts 50 yards, returned by K.J. Hill for no gain (tackle by Troy Pride)",-1.960,-0.870
3,10:44,1,10,LAC 29,18,7,Justin Herbert pass complete short right to Mike Williams for 17 yards (tackle by Juston Burris and Rasul Douglas). Penalty on Donte Jackson: Defensive Holding (Declined),0.870,1.990
3,10:26,1,10,LAC 46,18,7,Justin Herbert pass incomplete deep right intended for Jalen Guyton,1.990,1.450
3,10:20,2,10,LAC 46,18,7,Justin Herbert pass complete short left to Keenan Allen for 5 yards (tackle by Brian Burns),1.450,1.420
3,9:44,3,5,CAR 49,18,7,Justin Herbert pass complete short left to Hunter Henry for 11 yards (tackle by Juston Burris),1.420,3.050
3,9:13,1,10,CAR 38,18,7,"Justin Herbert aborted snap, recovered by Mike Williams at LAC-44 (tackle by Derrick Brown)",3.050,0.080
3,8:31,2,28,LAC 44,18,7,Austin Ekeler right tackle for 8 yards (tackle by Stephen Weatherly and Shaq Thompson),0.080,0.500
3,7:57,3,20,CAR 48,18,7,Justin Herbert pass complete short right to Austin Ekeler for 8 yards (tackle by Jeremy Chinn),0.500,0.590
3,7:17,4,12,CAR 40,18,7,"Ty Long punts 30 yards, fair catch by Pharoh Cooper at CAR-10",0.590,0.380
3,7:08,1,10,CAR 10,18,7,Mike Davis up the middle for 4 yards (tackle by Linval Joseph and Chris Harris),-0.380,-0.460
3,6:43,2,6,CAR 14,18,7,Teddy Bridgewater pass complete short left to Seth Roberts for 4 yards (tackle by Michael Davis),-0.460,-0.480
3,6:04,3,2,CAR 18,18,7,Teddy Bridgewater pass incomplete short right,-0.480,-2.240
3,5:59,4,2,CAR 18,18,7,"Joseph Charlton punts 52 yards, returned by K.J. Hill for 10 yards (tackle by Reggie Bonnafon)",-2.240,-1.600
3,5:46,1,10,LAC 40,18,7,Justin Herbert pass complete short left to Keenan Allen for 12 yards (tackle by Jeremy Chinn and Yetur Gross-Matos),1.600,2.390
3,5:07,1,10,CAR 48,18,7,Justin Herbert pass complete short right to Austin Ekeler for 1 yard (tackle by Yetur Gross-Matos),2.390,1.980
3,4:24,2,9,CAR 47,18,7,Justin Herbert pass incomplete deep left intended for Virgil Green (defended by Shaq Thompson),1.980,1.290
3,4:18,3,9,CAR 47,18,7,Justin Herbert pass complete short middle to Keenan Allen for 22 yards (tackle by Juston Burris),1.290,3.910
3,3:38,1,10,CAR 25,18,7,Justin Herbert pass complete short left to Keenan Allen for -1 yards (tackle by Juston Burris),3.910,3.230
3,2:58,2,11,CAR 26,18,7,Justin Herbert pass complete deep right to Jalen Guyton for 16 yards (tackle by Jeremy Chinn),3.230,4.910
3,2:22,1,10,CAR 10,18,7,Justin Herbert pass incomplete short left intended for Keenan Allen,4.910,4.190
3,2:17,2,10,CAR 10,18,7,"Justin Herbert pass complete short right to Joshua Kelley for 5 yards (tackle by Shaq Thompson). Penalty on Dan Feeney: Illegal Use of Hands, 10 yards (no play)",4.190,3.000
3,2:04,2,20,CAR 20,18,7,Justin Herbert pass incomplete short left intended for K.J. Hill (defended by Tre Boston),3.000,2.340
3,1:59,3,20,CAR 20,18,7,Justin Herbert pass complete short right to Austin Ekeler for -3 yards (tackle by Jeremy Chinn),2.340,1.930
3,1:18,4,23,CAR 23,18,10,Michael Badgley 41 yard field goal good,1.930,3.000
3,1:12,,,LAC 35,18,10,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
3,1:12,1,10,CAR 25,18,10,Teddy Bridgewater pass complete short middle to Mike Davis for 4 yards (tackle by Jerry Tillery),0.610,0.600
3,0:31,2,6,CAR 29,18,10,Teddy Bridgewater pass complete deep left to D.J. Moore for 38 yards (tackle by Michael Davis),0.600,3.380
Quarter,Time,Down,ToGo,Location,CAR,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,LAC 33,18,10,Teddy Bridgewater pass complete short left to Mike Davis for 1 yard (tackle by Kyzir White),3.380,2.970
4,14:23,2,9,LAC 32,18,10,Teddy Bridgewater pass complete short left to Robby Anderson for 6 yards (tackle by Michael Davis),2.970,3.070
4,13:53,3,3,LAC 26,18,10,"Penalty on Joey Bosa: Neutral Zone Infraction, 5 yards (no play)",3.070,4.170
4,13:33,1,10,LAC 21,18,10,Mike Davis up the middle for 2 yards (tackle by Linval Joseph and Kenneth Murray),4.170,3.900
4,12:51,2,8,LAC 19,18,10,Teddy Bridgewater pass complete short left to Curtis Samuel for 5 yards (tackle by Denzel Perryman),3.900,4.020
4,12:12,3,3,LAC 14,18,10,"Penalty on Taylor Moton: False Start, 5 yards (no play)",4.020,3.180
4,11:46,3,8,LAC 19,18,10,Teddy Bridgewater pass complete short middle to Curtis Samuel for 6 yards (tackle by Denzel Perryman),3.180,2.690
4,11:03,4,2,LAC 13,21,10,Joey Slye 31 yard field goal good,2.690,3.000
4,10:58,,,CAR 35,21,10,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,10:58,1,10,LAC 25,21,10,Austin Ekeler left tackle for -1 yards (tackle by Derrick Brown),0.610,-0.070
4,10:26,2,11,LAC 24,21,10,Justin Herbert pass complete short middle to Austin Ekeler for 7 yards (tackle by Shaq Thompson and Tahir Whitehead),-0.070,0.170
4,9:57,,,,,,Timeout #1 by Los Angeles Chargers,,
4,9:57,3,4,LAC 31,21,10,Justin Herbert pass complete short right to Hunter Henry for 6 yards (tackle by Corn Elder and Jeremy Chinn),0.170,1.400
4,9:32,1,10,LAC 37,21,10,Justin Herbert pass complete short left to Hunter Henry for 7 yards (tackle by Shaq Thompson),1.400,1.800
4,9:00,2,3,LAC 44,21,10,Austin Ekeler up the middle for 4 yards (tackle by Rasul Douglas and Efe Obada),1.800,2.130
4,8:32,1,10,LAC 48,21,10,Justin Herbert pass incomplete short left intended for Hunter Henry,2.130,1.580
4,8:28,2,10,LAC 48,21,10,Justin Herbert pass complete short middle to Joshua Kelley for 6 yards (tackle by Tahir Whitehead),1.580,1.680
4,7:58,3,4,CAR 46,21,10,Justin Herbert pass complete short right to Austin Ekeler for 10 yards (tackle by Troy Pride and Tahir Whitehead),1.680,3.180
4,7:28,1,10,CAR 36,21,10,Joshua Kelley left guard for 4 yards (tackle by Zach Kerr),3.180,3.180
4,6:57,2,6,CAR 32,21,10,Justin Herbert pass incomplete short left intended for Keenan Allen,3.180,2.480
4,6:51,3,6,CAR 32,21,10,Justin Herbert right end for 11 yards (tackle by Corn Elder),2.480,4.170
4,6:09,1,10,CAR 21,21,10,Justin Herbert pass incomplete short left intended for K.J. Hill,4.170,3.630
4,6:04,2,10,CAR 21,21,10,Justin Herbert pass complete short right to Keenan Allen for 11 yards (tackle by Tre Boston),3.630,4.910
4,5:29,1,10,CAR 10,21,10,"Justin Herbert pass complete short right to Hunter Henry for 5 yards. Penalty on Ryan Groy: Illegal Use of Hands, 10 yards (no play)",4.910,4.240
4,5:16,1,20,CAR 20,21,10,Joshua Kelley right tackle for 6 yards (tackle by Troy Pride),4.240,3.580
4,4:45,2,14,CAR 14,21,10,Justin Herbert pass incomplete short middle intended for K.J. Hill (defended by Shaq Thompson),3.580,3.000
4,4:39,3,14,CAR 14,21,16,"Justin Herbert pass complete short middle to Keenan Allen for 14 yards, touchdown. Penalty on Marquis Haynes: Defensive Offside (Declined)",3.000,7.000
4,4:33,,,CAR 2,21,16,"Two Point Attempt: Justin Herbert pass incomplete intended for Keenan Allen, conversion fails",1.000,-1.000
4,4:33,,,LAC 35,21,16,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
4,4:33,1,10,CAR 25,21,16,Teddy Bridgewater pass complete deep left to D.J. Moore for 27 yards (tackle by Nasir Adderley),0.610,2.390
4,3:43,1,10,LAC 48,21,16,Mike Davis up the middle for 2 yards (tackle by Rayshawn Jenkins and Uchenna Nwosu),2.390,2.120
4,3:00,2,8,LAC 46,21,16,Teddy Bridgewater pass complete short left to Mike Davis for 9 yards (tackle by Denzel Perryman),2.120,3.120
4,2:54,,,,,,Timeout #2 by Los Angeles Chargers,,
4,2:54,1,10,LAC 37,21,16,Teddy Bridgewater left end for 6 yards (tackle by Michael Davis),3.120,3.380
4,2:07,2,4,LAC 31,21,16,Mike Davis up the middle for -1 yards (tackle by Rayshawn Jenkins),3.380,2.540
4,2:00,3,5,LAC 32,21,16,Teddy Bridgewater sacked by Joey Bosa for -8 yards,2.540,0.590
4,1:55,,,,,,Timeout #3 by Los Angeles Chargers,,
4,1:55,4,13,LAC 40,21,16,"Joseph Charlton punts 40 yards, touchback.",0.590,0.380
4,1:46,1,10,LAC 1,21,16,Justin Herbert pass incomplete short right intended for Hunter Henry,-0.380,-0.780
4,1:41,2,10,LAC 1,21,16,Justin Herbert pass complete short right to Jalen Guyton for 7 yards (tackle by Tre Boston),-0.780,-0.600
4,1:24,3,3,LAC 8,21,16,Justin Herbert pass complete short middle to Austin Ekeler for 5 yards (tackle by Shaq Thompson),-0.600,-0.320
4,1:08,1,10,LAC 13,21,16,Justin Herbert pass complete short left to K.J. Hill for 15 yards (tackle by Rasul Douglas),-0.320,0.810
4,0:50,1,10,LAC 28,21,16,Justin Herbert pass complete short middle to Austin Ekeler for 2 yards (tackle by Shaq Thompson),0.810,0.530
4,0:37,,,,,,Timeout #1 by Carolina Panthers,,
4,0:36,2,8,LAC 30,21,16,"Justin Herbert pass complete short left to Austin Ekeler for 11 yards (tackle by Jeremy Chinn). Penalty on Yetur Gross-Matos: Face Mask (15 Yards), 15 yards",0.530,2.650
4,0:29,1,10,CAR 44,21,16,Justin Herbert pass complete deep right to Keenan Allen for 21 yards (tackle by Tahir Whitehead),2.650,4.040
4,0:13,1,10,CAR 23,21,16,Justin Herbert spiked the ball,4.040,3.500
4,0:12,2,10,CAR 23,21,16,"Penalty on Trey Pipkins: False Start, 5 yards (no play)",3.500,2.820
4,0:12,2,15,CAR 28,21,16,Justin Herbert pass incomplete deep right intended for Keenan Allen (defended by Tre Boston),2.820,2.150
4,0:06,3,15,CAR 28,21,16,"Justin Herbert pass complete short left to Keenan Allen for 9 yards. Keenan Allen fumbles, recovered by Efe Obada at CAR-19 (tackle by Austin Ekeler)",2.150,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
