Quarter,Time,Tm,Detail,CAR,LAC
1.0,9:20,Panthers,Joey Slye 29 yard field goal,3,0
,4:28,Panthers,Joey Slye 24 yard field goal,6,0
2.0,14:14,Chargers,Austin Ekeler 12 yard rush (Michael Badgley kick),6,7
,8:11,Panthers,Joey Slye 30 yard field goal,9,7
,2:58,Panthers,Mike Davis 13 yard pass from Teddy Bridgewater (Joey Slye kick failed),15,7
,0:00,Panthers,Joey Slye 22 yard field goal,18,7
3.0,1:12,Chargers,Michael Badgley 41 yard field goal,18,10
4.0,10:58,Panthers,Joey Slye 31 yard field goal,21,10
,4:33,Chargers,Keenan Allen 14 yard pass from Justin Herbert (pass failed),21,16
