Quarter,Time,Down,ToGo,Location,ATL,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"David Buehler kicks off 76 yards, touchback",0.000,0.280
1,15:00,1,10,ATL 20,0,0,Matt Ryan pass complete short right to Tony Gonzalez for 6 yards (tackle by Gerald Sensabaugh),0.280,0.540
1,14:20,2,4,ATL 26,0,0,Matt Ryan pass complete short left to Tony Gonzalez for 5 yards (tackle by Gerald Sensabaugh),0.540,1.000
1,13:42,1,10,ATL 31,0,0,Michael Turner left tackle for 1 yard (tackle by Jay Ratliff),1.000,0.600
1,13:03,2,9,ATL 32,0,0,Michael Turner right end for 1 yard (tackle by Mike Jenkins),0.600,0.040
1,12:29,3,8,ATL 33,0,0,Matt Ryan pass complete short left to Verron Haynes for 10 yards (tackle by Gerald Sensabaugh and Orlando Scandrick),0.040,1.800
1,11:43,1,10,ATL 43,0,0,Matt Ryan for 6 yards,1.800,2.060
1,11:14,2,4,ATL 49,0,0,Michael Turner left tackle for 2 yards (tackle by Junior Siavii),2.060,1.620
1,10:32,3,2,DAL 49,0,0,Jason Snelling middle for 3 yards (tackle by Bobby Carpenter),1.620,2.520
1,9:54,1,10,DAL 46,0,0,Matt Ryan pass incomplete,2.520,1.980
1,9:47,2,10,DAL 46,0,0,Matt Ryan pass complete short right to Roddy White for 7 yards (tackle by Terence Newman),1.980,2.210
1,9:14,3,3,DAL 39,0,0,Matt Ryan pass complete short middle to Brian Finneran for 17 yards (tackle by Terence Newman and Gerald Sensabaugh),2.210,4.110
1,8:29,1,10,DAL 22,0,0,Michael Turner middle for 3 yards (tackle by Keith Brooking),4.110,3.970
1,7:51,2,7,DAL 19,0,0,Jason Snelling left guard for 15 yards (tackle by Ken Hamlin),3.970,6.280
1,7:13,1,4,DAL 4,0,0,Matt Ryan pass incomplete,6.280,5.340
1,7:08,2,4,DAL 4,0,0,Michael Turner middle for no gain (tackle by Gerald Sensabaugh),5.340,4.490
1,6:32,3,4,DAL 4,6,0,"Matt Ryan pass complete short right to Roddy White for 4 yards, touchdown",4.490,7.000
1,,,,DAL 2,7,0,Jason Elam kicks extra point good,0.000,0.000
1,,,,ATL 30,7,0,"Michael Koenen kicks off 71 yards, returned by Allen Rossum for 16 yards (tackle by Coy Wire)",0.000,-0.220
1,6:21,1,10,DAL 15,7,0,Tony Romo pass incomplete short right intended for Miles Austin,-0.220,-0.710
1,6:15,2,10,DAL 15,7,0,Marion Barber middle for -1 yards (tackle by Kroy Biermann and John Abraham),-0.710,-1.510
1,5:32,3,11,DAL 14,7,0,Tony Romo pass incomplete deep middle intended for Roy Williams,-1.510,-2.470
1,5:25,4,11,DAL 14,7,0,"Mat McBriar punts 53 yards, returned by Eric Weems for 10 yards (tackle by Pat Watkins)",-2.470,-1.800
1,5:13,1,10,ATL 43,7,0,Matt Ryan pass incomplete short right intended for Brian Finneran (defended by Orlando Scandrick),1.800,1.250
1,5:07,2,10,ATL 43,7,0,"Matt Ryan pass incomplete short middle intended for Brian Finneran. Penalty on Todd McClure: Chop Block, 15 yards (no play)",1.250,-0.770
1,5:02,2,25,ATL 28,7,0,Matt Ryan sacked by Marcus Spears for -9 yards,-0.770,-2.810
1,4:31,3,34,ATL 19,7,0,Matt Ryan sacked by DeMarcus Ware for 0 yards,-2.810,-2.140
1,4:06,4,34,ATL 19,7,0,"Michael Koenen punts 51 yards, returned by Patrick Crayton for 12 yards (tackle by Mike Schneck)",-2.140,-1.730
1,3:54,1,10,DAL 42,7,0,Felix Jones left end for 3 yards (tackle by Chris Houston),1.730,1.590
1,3:28,2,7,DAL 45,7,0,Marion Barber middle for -1 yards (tackle by Jamaal Anderson),1.590,0.760
1,3:28,3,8,DAL 44,7,0,"Penalty on Leonard Davis: False Start, 5 yards (no play)",0.760,0.100
1,2:32,3,13,DAL 39,7,0,"Penalty on Jason Witten: False Start, 5 yards (no play)",0.100,-0.560
1,2:13,3,18,DAL 34,7,0,Tony Romo middle for 17 yards (tackle by Thomas DeCoud and Erik Coleman),-0.560,0.000
,,,,,,,"DAL challenged the fumble ruling, and the original play was overturned.",,
1,2:13,4,1,ATL 49,7,0,"Mat McBriar punts 33 yards, fair catch by Eric Weems",0.000,0.140
1,1:30,1,10,ATL 16,7,0,Jason Snelling left guard for 2 yards (tackle by Bradie James),-0.140,-0.350
1,0:50,2,8,ATL 18,7,0,Michael Turner left end for 2 yards (tackle by Jason Hatcher),-0.350,-0.820
1,0:06,3,6,ATL 20,7,0,Matt Ryan pass incomplete short middle intended for Tony Gonzalez,-0.820,-2.030
Quarter,Time,Down,ToGo,Location,ATL,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,6,ATL 20,7,0,Michael Koenen punts 41 yards,-2.030,-1.530
2,14:50,1,10,DAL 39,7,0,Tony Romo pass complete short middle to Jason Witten for 6 yards (tackle by Thomas DeCoud),1.530,1.800
2,14:21,2,4,DAL 45,7,0,Tony Romo pass complete short middle to Roy Williams for 16 yards (tackle by Brent Grimes),1.800,2.980
2,13:42,1,10,ATL 39,7,0,Tony Romo pass complete short middle to Jason Witten for 22 yards (tackle by Thomas DeCoud),2.980,4.440
2,13:42,1,10,ATL 17,7,0,Felix Jones middle for no gain (tackle by Jonathan Babineaux and Curtis Lofton),4.440,3.850
2,12:21,2,10,ATL 17,7,0,Tony Romo pass complete short right to Felix Jones for 2 yards (tackle by Brent Grimes),3.850,3.340
2,12:21,3,8,ATL 15,7,0,"Penalty on Marc Colombo: False Start, 5 yards (no play)",3.340,2.810
2,11:13,3,13,ATL 20,7,0,Tony Romo pass incomplete short right intended for Roy Williams (defended by Brent Grimes),2.810,2.120
2,11:08,4,13,ATL 20,7,3,Nick Folk 38 yard field goal good,2.120,3.000
2,,,,DAL 30,7,3,"David Buehler kicks off 73 yards, returned by Eric Weems for 24 yards (tackle by Victor Butler)",0.000,0.340
2,10:57,1,10,ATL 21,7,3,Matt Ryan pass incomplete short left intended for Roddy White,0.340,-0.200
2,10:52,2,10,ATL 21,7,3,Matt Ryan pass complete short right to Roddy White for 11 yards (tackle by Anthony Spencer),-0.200,1.070
