Quarter,Time,Tm,Detail,ATL,DAL
1.0,6:26,Falcons,Roddy White 4 yard pass from Matt Ryan (Jason Elam kick),7,0
2.0,11:03,Cowboys,Nick Folk 38 yard field goal,7,3
,5:50,Cowboys,Miles Austin 59 yard pass from Tony Romo (Nick Folk kick),7,10
,0:06,Cowboys,Patrick Crayton 5 yard pass from Tony Romo (Nick Folk kick),7,17
3.0,5:26,Falcons,Michael Turner 2 yard rush (Jason Elam kick),14,17
,2:32,Cowboys,Miles Austin 22 yard pass from Tony Romo (Nick Folk kick),14,24
4.0,10:10,Cowboys,Nick Folk 46 yard field goal,14,27
,8:38,Cowboys,Patrick Crayton 73 yard punt return (Nick Folk kick),14,34
,5:07,Falcons,Eric Weems 30 yard pass from Matt Ryan (Jason Elam kick),21,34
,2:21,Cowboys,Nick Folk 34 yard field goal,21,37
