Unnamed: 0,ATL,DAL
First Downs,21,18
Rush-Yds-TDs,26-124-1,28-115-0
Cmp-Att-Yd-TD-INT,19-35-198-2-2,21-29-311-3-0
Sacked-Yards,4-24,2-12
Net Pass Yards,174,299
Total Yards,298,414
Fumbles-Lost,3-1,2-1
Turnovers,3,1
Penalties-Yards,3-30,8-50
Third Down Conv.,6-12,6-13
Fourth Down Conv.,1-1,0-0
Time of Possession,31:08,28:52
