Quarter,Time,Tm,Detail,DEN,BUF
1.0,10:10,Bills,Willis McGahee 1 yard rush (Rian Lindell kick),0,7
2.0,0:43,Broncos,Rod Smith 3 yard pass from Jake Plummer (Jason Elam kick),7,7
3.0,10:53,Broncos,Wesley Duke 1 yard pass from Jake Plummer (Jason Elam kick),14,7
,5:11,Bills,Rian Lindell 31 yard field goal,14,10
,0:19,Broncos,Mike Anderson 11 yard rush (Jason Elam kick),21,10
4.0,5:49,Broncos,Mike Anderson 6 yard rush (Jason Elam kick),28,10
,3:49,Bills,Joe Burns 19 yard pass from Kelly Holcomb (Rian Lindell kick),28,17
