Unnamed: 0,CIN,DET
First Downs,29,13
Rush-Yds-TDs,32-155-2,17-59-0
Cmp-Att-Yd-TD-INT,30-42-280-3-2,19-28-215-2-3
Sacked-Yards,2-9,1-4
Net Pass Yards,271,211
Total Yards,426,270
Fumbles-Lost,2-0,1-1
Turnovers,2,4
Penalties-Yards,4-40,4-30
Third Down Conv.,10-14,5-9
Fourth Down Conv.,0-0,0-0
Time of Possession,36:11,23:49
