Unnamed: 0,IND,PIT
First Downs,17,18
Rush-Yds-TDs,19-62-0,26-59-2
Cmp-Att-Yd-TD-INT,21-40-240-3-0,29-41-280-0-3
Sacked-Yards,2-12,2-13
Net Pass Yards,228,267
Total Yards,290,326
Fumbles-Lost,0-0,1-0
Turnovers,0,3
Penalties-Yards,6-45,3-20
Third Down Conv.,9-16,10-18
Fourth Down Conv.,0-0,0-1
Time of Possession,25:55,34:05
