Quarter,Time,Tm,Detail,IND,PIT
1.0,9:07,Steelers,Mewelde Moore 1 yard rush (Jeff Reed kick),0,7
,7:41,Colts,Reggie Wayne 65 yard pass from Peyton Manning (Adam Vinatieri kick),7,7
2.0,13:21,Steelers,Mewelde Moore 1 yard rush (Jeff Reed kick),7,14
,4:18,Steelers,Jeff Reed 42 yard field goal,7,17
,0:06,Colts,Dallas Clark 2 yard pass from Peyton Manning (Adam Vinatieri kick),14,17
3.0,8:14,Colts,Adam Vinatieri 36 yard field goal,17,17
4.0,7:57,Steelers,Jeff Reed 24 yard field goal,17,20
,3:04,Colts,Dominic Rhodes 17 yard pass from Peyton Manning (Adam Vinatieri kick),24,20
