Quarter,Time,Tm,Detail,DEN,NYJ
1.0,6:59,Broncos,Jason Elam 22 yard field goal,3,0
2.0,14:57,Jets,Curtis Martin 1 yard rush (John Hall kick failed),3,6
,8:34,Broncos,Jason Elam 23 yard field goal,6,6
,0:11,Broncos,Ashley Lelie 10 yard pass from Brian Griese (Jason Elam kick),13,6
3.0,10:21,Jets,John Hall 43 yard field goal,13,9
4.0,14:43,Jets,Laveranues Coles 28 yard pass from Chad Pennington (John Hall kick),13,16
,5:56,Jets,John Hall 21 yard field goal,13,19
