Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"John Hall kicks off 66 yards, returned by Reuben Droughns for 23 yards (tackle by Chad Morton)",0.000,0.740
1,14:54,1,10,DEN 27,0,0,Clinton Portis left tackle for 5 yards (tackle by Sam Cowart),0.740,0.870
1,14:22,2,5,DEN 32,0,0,Clinton Portis left tackle for 10 yards (tackle by Jason Ferguson and Damien Robinson),0.870,1.730
1,13:46,1,10,DEN 42,0,0,"Brian Griese pass incomplete intended for Clinton Portis. Penalty on Steve Herndon: Offensive Holding, 10 yards (no play)",1.730,1.070
1,13:40,1,20,DEN 32,0,0,Brian Griese sacked by Josh Evans for -2 yards,1.070,-0.430
1,13:11,2,22,DEN 30,0,0,Brian Griese pass complete to Shannon Sharpe for 12 yards (tackle by Mo Lewis and Marvin Jones),-0.430,0.500
1,12:35,3,10,DEN 42,0,0,Brian Griese pass complete to Shannon Sharpe for 11 yards (tackle by Sam Garnes),0.500,2.460
1,11:58,1,10,NYJ 47,0,0,Brian Griese pass complete to Rod Smith for 6 yards (tackle by Donnie Abraham),2.460,2.720
1,11:22,2,4,NYJ 41,0,0,Clinton Portis left end for 3 yards (tackle by Donnie Abraham),2.720,2.410
1,10:44,3,1,NYJ 38,0,0,Mike Anderson left guard for 3 yards (tackle by Shaun Ellis and Marvin Jones),2.410,3.250
1,10:07,1,10,NYJ 35,0,0,Clinton Portis left guard for 1 yard (tackle by Marvin Jones),3.250,2.840
1,9:27,2,9,NYJ 34,0,0,Brian Griese pass complete to Shannon Sharpe for 22 yards (tackle by Marvin Jones),2.840,4.780
1,8:49,1,10,NYJ 12,0,0,Clinton Portis right guard for 5 yards (tackle by Mo Lewis and James Reed),4.780,5.020
1,8:14,2,5,NYJ 7,0,0,Clinton Portis left tackle for 2 yards (tackle by Damien Robinson and Marvin Jones),5.020,4.610
1,7:36,3,3,NYJ 5,0,0,Olandis Gary right guard for no gain (tackle by Josh Evans and Marvin Jones),4.610,3.020
1,7:36,4,3,NYJ 5,3,0,Jason Elam 22 yard field goal good,3.020,3.000
1,7:36,,,DEN 30,3,0,"Micah Knorr kicks off 65 yards, returned by Chad Morton for 19 yards (tackle by Sam Brandon)",0.000,0.540
1,6:59,1,10,NYJ 24,3,0,Chad Pennington pass complete to Richie Anderson for 6 yards (tackle by Denard Walker),0.540,0.810
1,6:17,2,4,NYJ 30,3,0,Curtis Martin left end for -1 yards (tackle by Al Wilson),0.810,-0.030
1,5:38,3,5,NYJ 29,3,0,Chad Pennington pass complete to Laveranues Coles for 13 yards (tackle by Denard Walker),-0.030,1.730
1,5:02,1,10,NYJ 42,3,0,Chad Pennington pass incomplete intended for Anthony Becht (defended by Chester McGlockton),1.730,1.190
1,4:58,2,10,NYJ 42,3,0,Chad Pennington pass complete to Anthony Becht for 8 yards (tackle by John Mobley and Kenoy Kennedy),1.190,1.550
1,4:18,3,2,,3,0,Chad Pennington pass complete to Jerald Sowell for 3 yards (tackle by Al Wilson and Deltha O'Neal),1.550,2.460
1,3:36,1,10,DEN 47,3,0,Chad Pennington sacked by Al Wilson for -5 yards,2.460,1.240
1,3:05,2,15,NYJ 48,3,0,Curtis Martin right guard for 6 yards (tackle by Al Wilson),1.240,1.350
1,2:22,3,9,DEN 46,3,0,Chad Pennington pass complete to Wayne Chrebet for 11 yards (tackle by Tyrone Poole),1.350,3.250
1,1:37,1,10,DEN 35,3,0,Chad Pennington pass complete to Curtis Martin for no gain,3.250,2.700
1,0:58,2,10,DEN 35,3,0,Chad Pennington pass complete to Laveranues Coles for 26 yards (tackle by Izell Reese),2.700,5.140
1,0:10,1,9,DEN 9,3,0,Curtis Martin right tackle for 8 yards (tackle by Deltha O'Neal),5.140,5.910
Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,DEN 1,3,6,"Curtis Martin middle for 1 yard, touchdown",5.910,7.000
2,15:00,,,DEN 1,3,6,"John Hall kicks extra point no good, blocked by Kavika Pittman",0.000,-1.000
2,15:00,,,NYJ 30,3,6,"John Hall kicks off 58 yards, returned by Mike Anderson for 23 yards (tackle by Jerald Sowell)",0.000,1.270
2,14:51,1,10,DEN 35,3,6,Clinton Portis right tackle for 5 yards (tackle by Sam Cowart),1.270,1.400
2,14:19,2,5,DEN 40,3,6,Clinton Portis right tackle for 4 yards (tackle by Jason Ferguson and Sam Cowart),1.400,1.220
2,13:36,3,1,DEN 44,3,6,Clinton Portis left guard for 6 yards (tackle by Mo Lewis),1.220,2.260
2,13:07,1,10,,3,6,Clinton Portis left guard for 3 yards (tackle by Marvin Jones),2.260,2.120
2,12:30,2,7,NYJ 47,3,6,Brian Griese pass incomplete,2.120,1.420
2,12:22,3,7,NYJ 47,3,6,Brian Griese pass complete to Shannon Sharpe for 13 yards (tackle by Sam Garnes),1.420,3.310
2,11:40,1,10,NYJ 34,3,6,"Brian Griese pass incomplete intended for Patrick Hape. Penalty on Ben Hamilton: Offensive Holding, 10 yards (no play)",3.310,2.650
2,11:34,1,20,NYJ 44,3,6,Brian Griese pass complete to Ashley Lelie for 16 yards (tackle by Donnie Abraham),2.650,3.580
2,10:53,2,4,NYJ 28,3,6,Clinton Portis left end for 6 yards (tackle by Marvin Jones),3.580,4.110
2,10:10,1,10,NYJ 22,3,6,Brian Griese pass complete to Ed McCaffrey for 12 yards (tackle by Ray Mickens),4.110,4.910
2,9:31,1,10,NYJ 10,3,6,Brian Griese pass incomplete intended for Shannon Sharpe,4.910,4.190
2,9:27,2,10,NYJ 10,3,6,Brian Griese pass complete to Ed McCaffrey for 5 yards (tackle by Mo Lewis and John Abraham),4.190,4.260
2,8:44,3,5,NYJ 5,3,6,Brian Griese pass incomplete intended for Olandis Gary (defended by John Abraham),4.260,3.010
2,8:44,4,5,NYJ 5,6,6,Jason Elam 23 yard field goal good,3.010,3.000
2,8:44,,,DEN 30,6,6,"Micah Knorr kicks off 55 yards, returned by Chad Morton for 25 yards (tackle by Tyrone Poole)",0.000,1.600
2,8:28,1,10,NYJ 40,6,6,Laveranues Coles left end for 3 yards (tackle by Al Wilson and Izell Reese),1.600,1.460
2,7:48,2,7,NYJ 43,6,6,Chad Pennington pass incomplete intended for Wayne Chrebet,1.460,0.760
2,7:43,3,7,NYJ 43,6,6,Chad Pennington pass incomplete intended for Santana Moss,0.760,-0.520
2,7:43,4,7,NYJ 43,6,6,"Matt Turk punts 35 yards, returned by Deltha O'Neal for 9 yards (tackle by Jerald Sowell)",-0.520,-1.000
2,7:26,1,10,DEN 31,6,6,Brian Griese pass complete to Rod Smith for 9 yards (tackle by Ray Mickens and Sam Cowart),1.000,1.680
2,6:52,2,1,DEN 40,6,6,Clinton Portis right tackle for 7 yards (tackle by John Abraham and Marvin Jones),1.680,2.060
2,6:18,1,10,DEN 47,6,6,Clinton Portis left tackle for 7 yards (tackle by Marvin Jones),2.060,2.460
2,5:39,2,3,NYJ 46,6,6,Clinton Portis right guard for 7 yards (tackle by John Abraham),2.460,2.980
2,5:00,1,10,NYJ 39,6,6,Brian Griese pass complete to Rod Smith for 5 yards (tackle by Sam Cowart),2.980,3.120
2,4:26,2,5,NYJ 34,6,6,Clinton Portis left guard for 4 yards (tackle by Marvin Jones),3.120,2.940
2,3:52,3,1,NYJ 30,6,6,Clinton Portis middle for no gain (tackle by Josh Evans),2.940,1.520
2,3:12,4,1,NYJ 30,6,6,Brian Griese middle for no gain (tackle by Josh Evans and Jason Ferguson),1.520,-0.940
2,3:02,1,10,NYJ 30,6,6,Curtis Martin left end for 3 yards (tackle by Chester McGlockton),0.940,0.800
2,3:02,2,7,NYJ 33,6,6,Curtis Martin left guard for 5 yards (tackle by Trevor Pryce),0.800,0.760
2,2:00,3,2,NYJ 38,6,6,Chad Pennington pass incomplete intended for Laveranues Coles,0.760,-0.850
2,2:00,4,2,NYJ 38,6,6,Matt Turk punts 29 yards,-0.850,-1.140
2,1:47,1,10,DEN 33,6,6,Brian Griese pass complete to Shannon Sharpe for 13 yards (tackle by Marvin Jones),1.140,1.990
2,1:19,1,10,DEN 46,6,6,Brian Griese pass complete to Shannon Sharpe for 7 yards (tackle by Marvin Jones),1.990,2.400
2,1:11,1,10,DEN 46,,,Timeout #1 by Denver Broncos,1.990,2.400
2,1:11,2,3,NYJ 47,6,6,Brian Griese pass complete to Shannon Sharpe for 9 yards (tackle by James Darling),2.400,3.050
2,0:44,1,10,NYJ 38,6,6,Brian Griese pass complete to Olandis Gary for 7 yards (tackle by James Darling),3.050,3.450
2,0:37,2,3,NYJ 31,6,6,Brian Griese pass complete to Olandis Gary for 13 yards (tackle by Jon McGraw),3.450,4.370
2,0:29,1,10,NYJ 18,6,6,Brian Griese pass incomplete intended for Clinton Portis,4.370,3.800
2,0:24,2,10,NYJ 18,6,6,Clinton Portis left guard for 8 yards (tackle by Sam Garnes),3.800,4.510
2,0:17,2,10,NYJ 18,,,Timeout #2 by Denver Broncos,3.800,4.510
2,0:17,3,2,NYJ 10,12,6,"Brian Griese pass complete to Ashley Lelie for 10 yards, touchdown",4.510,7.000
2,0:17,,,NYJ 10,13,6,Jason Elam kicks extra point good,0.000,0.000
2,0:17,,,DEN 30,13,6,"Micah Knorr kicks off 37 yards, returned by Chris Baker for 8 yards (tackle by Tyrone Poole)",0.000,1.660
2,0:05,1,10,NYJ 41,13,6,Chad Pennington pass complete to Laveranues Coles for 34 yards (tackle by Denard Walker),1.660,3.910
Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,13,6,"Micah Knorr kicks off 65 yards, returned by Chad Morton for 25 yards (tackle by Willie Middlebrooks). Penalty on Willie Middlebrooks: Face Mask (15 Yards), 15 yards",0.000,1.930
3,14:52,1,10,NYJ 45,13,6,Curtis Martin right guard for 6 yards (tackle by Trevor Pryce and Al Wilson),1.930,2.190
3,14:17,2,4,DEN 49,13,6,Curtis Martin right guard for 5 yards (tackle by Ian Gold),2.190,2.650
3,13:41,1,10,DEN 44,13,6,Chad Pennington pass complete to Anthony Becht for 14 yards (tackle by Deltha O'Neal),2.650,3.580
