Quarter,Time,Tm,Detail,MIA,NYG
2.0,14:47,Dolphins,Olindo Mare 43 yard field goal,3,0
,9:16,Giants,Tiki Barber 2 yard rush (Matt Bryant kick),3,7
,7:39,Dolphins,James McKnight 68 yard rush (Olindo Mare kick),10,7
,1:29,Dolphins,Olindo Mare 23 yard field goal,13,7
,0:00,Giants,Matt Bryant 43 yard field goal,13,10
4.0,12:46,Dolphins,Olindo Mare 48 yard field goal,16,10
,4:16,Dolphins,Ricky Williams 1 yard rush (Olindo Mare kick),23,10
