Quarter,Time,Down,ToGo,Location,CAR,IND,Detail,EPB,EPA
1,7:00,1,10,CAR 46,0,0,"Peyton Manning pass complete to Ricky Williams for 3 yards (tackle by Greg Favors). Ricky Williams fumbles (forced by Greg Favors), recovered by Dan Morgan at CAR-42 (tackle by Jeff Saturday)",2.520,-1.730
1,6:49,1,10,CAR 42,0,0,Stephen Davis left tackle for 3 yards (tackle by Rob Morris and Marcus Washington),1.730,1.590
1,6:11,2,7,CAR 45,0,0,Stephen Davis right end for no gain (tackle by David Thornton),1.590,0.890
1,5:23,3,7,CAR 45,0,0,"Penalty on Jake Delhomme: Delay of Game, 5 yards (no play)",0.890,0.230
1,4:59,3,12,CAR 40,0,0,Jake Delhomme pass complete to DeShaun Foster for 47 yards (tackle by Mike Doss),0.230,4.710
1,4:05,1,10,IND 13,0,0,Stephen Davis up the middle for 3 yards (tackle by Raheem Brock and Larry Tripplett),4.710,4.580
1,3:24,2,7,IND 10,0,0,Stephen Davis up the middle for -1 yards (tackle by Walt Harris and Raheem Brock),4.580,3.450
1,2:40,3,8,IND 11,0,0,Jake Delhomme pass incomplete intended for Ricky Proehl,3.450,2.700
1,2:35,4,8,IND 11,3,0,John Kasay 29 yard field goal good,2.700,3.000
1,,,,CAR 30,3,0,"John Kasay kicks off 69 yards, returned by Brad Pyatt for 18 yards (tackle by Lester Towns)",0.000,0.150
1,2:27,1,10,IND 19,3,0,Ricky Williams right guard for 4 yards (tackle by Greg Favors and Kindal Moorehead),0.150,0.210
1,1:52,2,6,IND 23,3,0,Peyton Manning pass complete to Dallas Clark for 22 yards (tackle by Will Witherspoon),0.210,1.930
1,1:08,1,10,IND 45,3,0,Ricky Williams right tackle for 4 yards (tackle by Will Witherspoon and Dan Morgan),1.930,1.920
1,0:28,2,6,IND 49,3,0,Peyton Manning pass complete to Marvin Harrison for 17 yards (tackle by Terry Cousin),1.920,3.310
Quarter,Time,Down,ToGo,Location,CAR,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CAR 34,3,0,Peyton Manning pass complete to Marvin Harrison for 33 yards (tackle by Mike Minter),3.310,6.970
2,14:21,1,1,CAR 1,3,0,Ricky Williams up the middle for no gain (tackle by Mike Rucker),6.970,5.910
2,13:39,2,1,CAR 1,3,0,Peyton Manning pass incomplete intended for Marcus Pollard,5.910,5.170
2,13:35,3,1,CAR 1,3,6,"James Mungro up the middle for 1 yard, touchdown",5.170,7.000
2,,,,CAR 2,3,7,Mike Vanderjagt kicks extra point good,0.000,0.000
2,,,,IND 30,3,7,"Mike Vanderjagt kicks off 68 yards, returned by Rod Smart for 21 yards (tackle by Gary Brackett). Penalty on Robert Mathis: Offside on Free Kick, 5 yards (no play)",0.000,0.000
2,,,,IND 25,3,7,"Mike Vanderjagt kicks off 70 yards, returned by Rod Smart for 84 yards (tackle by Mike Vanderjagt). Penalty on Mike Caldwell: Offensive Holding, 10 yards",0.000,-0.140
2,13:14,1,10,CAR 16,3,7,Steve Smith right end for 10 yards (tackle by Walt Harris),-0.140,0.670
2,12:46,1,10,CAR 26,3,7,Stephen Davis up the middle for 3 yards (tackle by Dwight Freeney and Larry Tripplett),0.670,0.540
2,12:05,2,7,CAR 29,3,7,Jake Delhomme pass complete to Kris Mangum for 5 yards (tackle by Marcus Washington),0.540,0.500
2,11:19,3,2,CAR 34,3,7,"Penalty on Todd Steussie: False Start, 5 yards (no play)",0.500,-0.160
2,10:57,3,7,CAR 29,3,7,Jake Delhomme pass incomplete intended for Muhsin Muhammad is intercepted by Idrees Bashir at CAR-45 and returned for 9 yards (tackle by Jordan Gross),-0.160,-3.180
2,10:50,1,10,CAR 36,3,7,James Mungro up the middle for 3 yards (tackle by Greg Favors),3.180,3.040
2,10:13,2,7,CAR 33,3,7,Marvin Harrison left end for 3 yards (tackle by Dan Morgan),3.040,2.740
2,9:24,3,4,CAR 30,3,7,"Peyton Manning pass incomplete intended for James Mungro. Penalty on Dan Morgan: Defensive Pass Interference, 10 yards (no play)",2.740,4.240
2,9:17,1,10,CAR 20,3,7,James Mungro left tackle for -1 yards (tackle by Dan Morgan),4.240,3.560
2,8:33,2,11,CAR 21,3,7,Peyton Manning pass incomplete intended for Troy Walters,3.560,2.870
2,8:29,3,11,CAR 21,3,7,Peyton Manning pass incomplete intended for Marvin Harrison,2.870,2.060
2,8:24,4,11,CAR 21,3,10,Mike Vanderjagt 39 yard field goal good,2.060,3.000
2,,,,IND 30,3,10,"Mike Vanderjagt kicks off 66 yards, returned by Rod Smart for 22 yards (tackle by Mike Doss)",0.000,0.670
2,8:14,1,10,CAR 26,3,10,Jake Delhomme pass complete to Steve Smith for 20 yards (tackle by David Thornton),0.670,1.990
2,7:36,1,10,CAR 46,3,10,Stephen Davis up the middle for no gain (tackle by Rob Morris),1.990,1.450
2,7:00,2,10,CAR 46,3,10,Jake Delhomme pass incomplete intended for Ricky Proehl,1.450,0.760
2,6:55,3,10,CAR 46,3,10,Jake Delhomme sacked by Dwight Freeney for -10 yards,0.760,-0.980
2,6:46,4,20,CAR 36,3,10,"Todd Sauerbrun punts 51 yards, returned by Brad Pyatt for 12 yards (tackle by Karl Hankton). Penalty on Robert Mathis: Running Into the Kicker (Offsetting), Penalty on Karl Hankton: Taunting (Offsetting) (no play)",-0.980,-0.980
2,6:35,4,20,CAR 36,3,10,"Todd Sauerbrun punts 64 yards, touchback",-0.980,-0.280
2,6:25,1,10,IND 20,3,10,Ricky Williams up the middle for 8 yards (tackle by Terry Cousin and Dan Morgan),0.280,0.810
2,5:55,2,2,IND 28,3,10,Peyton Manning pass complete to Marvin Harrison for 8 yards (tackle by Will Witherspoon),0.810,1.330
2,5:16,1,10,IND 36,3,10,Ricky Williams left end for 4 yards (tackle by Terry Cousin),1.330,1.330
2,4:40,2,6,IND 40,3,10,Peyton Manning pass complete to Reggie Wayne for 7 yards (tackle by Will Witherspoon),1.330,2.060
2,4:05,1,10,IND 47,3,10,Peyton Manning pass complete to Troy Walters for 23 yards (tackle by Deon Grant),2.060,3.580
2,3:27,1,10,CAR 30,3,10,Ricky Williams right end for 2 yards (tackle by Kindal Moorehead),3.580,3.300
2,2:45,2,8,CAR 28,3,10,Ricky Williams right tackle for 1 yard (tackle by Kris Jenkins),3.300,2.740
2,2:00,3,7,CAR 27,3,10,Peyton Manning pass complete to Marvin Harrison for 16 yards (tackle by Deon Grant),2.740,4.840
2,1:23,1,10,CAR 11,3,10,Ricky Williams right guard for 2 yards (tackle by Al Wallace and Dan Morgan),4.840,4.510
2,0:51,2,8,CAR 9,3,10,Peyton Manning pass incomplete intended for Ricky Williams,4.510,3.530
2,0:46,3,8,CAR 9,3,10,Peyton Manning pass complete to Troy Walters for 5 yards (tackle by Dan Morgan),3.530,3.030
2,0:19,,,,3,10,Timeout #1 by Carolina Panthers,0.000,3.030
2,0:19,4,3,CAR 4,3,13,Mike Vanderjagt 22 yard field goal good,3.030,3.000
2,,,,IND 30,3,13,"Mike Vanderjagt kicks off 43 yards, returned by Mike Seidman for 17 yards (tackle by Cato June)",0.000,1.860
2,0:09,1,10,CAR 44,3,13,"Jake Delhomme sacked by Dwight Freeney for -8 yards. Jake Delhomme fumbles (forced by Dwight Freeney), recovered by Jake Delhomme at CAR-31",1.860,0.240
Quarter,Time,Down,ToGo,Location,CAR,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 30,3,13,"John Kasay kicks off 63 yards, returned by Brad Pyatt for 24 yards (tackle by Karl Hankton)",0.000,1.000
3,14:54,1,10,IND 31,3,13,Ricky Williams right end for 7 yards (tackle by Ricky Manning),1.000,1.410
3,14:18,2,3,IND 38,3,13,Peyton Manning pass incomplete intended for Ricky Williams,1.410,0.700
3,14:14,3,3,IND 38,3,13,Peyton Manning pass incomplete intended for Marvin Harrison is intercepted by Ricky Manning at IND-30 and returned for 2 yards (tackle by Steve Sciullo),0.700,-3.710
3,14:07,1,10,IND 28,9,13,"Stephen Davis up the middle for 28 yards, touchdown",3.710,7.000
3,,,,IND 2,10,13,John Kasay kicks extra point good,0.000,0.000
3,,,,CAR 30,10,13,"John Kasay kicks off 60 yards, returned by Brad Pyatt for 23 yards (tackle by Ricky Manning)",0.000,1.140
3,13:54,1,10,IND 33,10,13,Peyton Manning pass complete to Marvin Harrison for 7 yards (tackle by Ricky Manning),1.140,1.540
3,13:28,2,3,IND 40,10,13,James Mungro up the middle for 4 yards (tackle by Will Witherspoon),1.540,1.860
3,12:53,1,10,IND 44,10,13,Peyton Manning pass incomplete intended for Troy Walters,1.860,1.320
3,12:48,2,10,IND 44,10,13,James Mungro up the middle for 3 yards (tackle by Mike Rucker),1.320,1.030
3,12:48,3,7,IND 47,10,13,Peyton Manning pass incomplete intended for James Mungro,1.030,-0.260
3,12:47,4,7,IND 47,10,13,"Hunter Smith punts 38 yards, fair catch by Steve Smith",-0.260,0.220
3,12:39,1,10,CAR 15,10,13,Stephen Davis left end for 14 yards (tackle by Idrees Bashir and Mike Doss),-0.220,0.870
3,12:01,1,10,CAR 29,10,13,Jake Delhomme pass complete to Steve Smith for 9 yards (tackle by Rob Morris),0.870,1.540
3,11:38,2,1,CAR 38,10,13,Stephen Davis right end for 7 yards (tackle by Rob Morris),1.540,1.930
3,11:12,1,10,CAR 45,10,13,Stephen Davis up the middle for 3 yards (tackle by David Thornton),1.930,1.790
3,10:32,2,7,CAR 48,16,13,"Jake Delhomme pass complete to Steve Smith for 52 yards, touchdown",1.790,7.000
3,,,,,17,13,"Penalty on Matt Willig: False Start, 5 yards (no play)",0.000,0.000
3,,,,IND 2,17,13,John Kasay kicks extra point good,0.000,0.000
3,,,,CAR 30,17,13,"John Kasay kicks off 67 yards, returned by Brad Pyatt for 21 yards (tackle by Brian L. Allen)",0.000,0.540
3,10:16,1,10,IND 24,17,13,Ricky Williams left end for 3 yards (tackle by Dan Morgan),0.540,0.400
3,9:30,2,7,IND 27,17,13,Ricky Williams up the middle for 4 yards (tackle by Al Wallace),0.400,0.230
3,9:09,3,3,IND 31,17,13,"Ricky Williams up the middle for 5 yards (tackle by Greg Favors). Penalty on Greg Favors: Personal Foul, 15 yards, Penalty on Julius Peppers: Defensive 12 On-field (Declined)",0.230,2.320
3,8:52,1,10,CAR 49,17,13,"Ricky Williams up the middle for 10 yards (tackle by Ricky Manning). Ricky Williams fumbles (forced by Ricky Manning), recovered by Deon Grant at CAR-34 (tackle by Steve Sciullo)",2.320,-1.200
3,8:42,1,10,CAR 34,17,13,Jake Delhomme pass complete to DeShaun Foster for 7 yards (tackle by Marcus Washington),1.200,1.600
3,8:20,2,3,CAR 41,17,13,DeShaun Foster left tackle for 1 yard (tackle by Nick Harper and Rob Morris),1.600,1.030
3,7:35,3,2,CAR 42,17,13,"Penalty on Jordan Gross: False Start, 5 yards (no play)",1.030,0.370
3,7:13,3,7,CAR 37,17,13,"Jake Delhomme pass incomplete intended for Steve Smith. Penalty on Dwight Freeney: Defensive Offside, 5 yards (no play)",0.370,1.030
3,7:07,3,2,CAR 42,17,13,DeShaun Foster right end for 5 yards (tackle by Mike Doss and Rob Morris),1.030,2.060
3,6:22,1,10,CAR 47,17,13,Jake Delhomme pass incomplete intended for Steve Smith,2.060,1.520
3,6:16,,,,17,13,Timeout #1 by Carolina Panthers,0.000,1.520
3,6:16,2,10,CAR 47,17,13,Jake Delhomme sacked by Marcus Washington for -6 yards,1.520,0.040
3,5:42,3,16,CAR 41,17,13,Jake Delhomme pass incomplete intended for Steve Smith (defended by Walt Harris),0.040,-0.650
3,5:35,4,16,CAR 41,17,13,Todd Sauerbrun punts 54 yards,-0.650,0.380
3,5:25,1,10,IND 5,17,13,Peyton Manning pass incomplete intended for Ricky Williams (defended by Julius Peppers),-0.380,-0.780
3,5:21,2,10,IND 5,17,13,Ricky Williams up the middle for 2 yards (tackle by Reggie Howard),-0.780,-1.190
3,4:39,3,8,IND 7,17,13,Peyton Manning pass complete to Ricky Williams for 4 yards (tackle by Greg Favors),-1.190,-2.490
3,3:56,4,4,IND 11,17,13,"Hunter Smith punts 54 yards, returned by Steve Smith for 14 yards (tackle by Gary Brackett)",-2.490,-2.190
3,3:43,1,10,CAR 49,17,13,Stephen Davis up the middle for 6 yards (tackle by Larry Tripplett and Walt Harris),2.190,2.460
3,3:02,2,4,IND 45,17,13,Stephen Davis left end for 4 yards (tackle by Montae Reagor),2.460,2.850
3,2:17,1,10,IND 41,17,13,DeShaun Foster left end for 3 yards (tackle by Marcus Washington and Nick Harper),2.850,2.710
3,1:53,2,7,IND 38,17,13,DeShaun Foster left tackle for 6 yards (tackle by Nick Harper and David Thornton),2.710,2.810
3,1:13,3,1,IND 32,17,13,DeShaun Foster right end for 16 yards (tackle by Nick Harper),2.810,4.510
3,0:43,1,10,IND 16,17,13,"Stephen Davis right tackle for 4 yards (tackle by Idrees Bashir). Stephen Davis fumbles (forced by Idrees Bashir), recovered by Walt Harris at IND-12 (tackle by Todd Steussie)",4.510,0.350
3,0:37,1,10,IND 12,17,13,James Mungro right end for no gain (tackle by Kris Jenkins and Dan Morgan),-0.350,-0.780
3,0:03,2,10,IND 12,17,13,Peyton Manning pass complete to Dallas Clark for 9 yards (tackle by Will Witherspoon),-0.780,-0.370
Quarter,Time,Down,ToGo,Location,CAR,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,IND 21,17,13,James Mungro up the middle for no gain (tackle by Dan Morgan and Shane Burton),-0.370,-1.960
4,14:18,4,1,IND 21,17,13,"Hunter Smith punts 41 yards, returned by Steve Smith for 36 yards (tackle by Mike Doss)",-1.960,-3.840
4,14:05,1,10,IND 26,17,13,DeShaun Foster up the middle for 12 yards (tackle by Idrees Bashir),3.840,4.650
4,13:23,1,10,IND 14,17,13,Rod Smart up the middle for 2 yards (tackle by Walt Harris and Rob Morris),4.650,4.330
4,12:44,2,8,IND 12,17,13,Rod Smart left end for 6 yards (tackle by Mike Doss),4.330,4.730
4,12:01,3,2,IND 6,17,13,DeShaun Foster up the middle for 1 yard (tackle by David Thornton),4.730,3.030
4,11:21,4,1,IND 5,20,13,John Kasay 23 yard field goal good,3.030,3.000
4,,,,CAR 30,20,13,"John Kasay kicks off 67 yards, returned by Brad Pyatt for 28 yards (tackle by Colin Branch)",,
4,11:11,1,10,IND 31,20,13,Ricky Williams left end for 2 yards (tackle by Greg Favors),1.000,0.730
4,10:28,2,8,IND 33,20,13,Peyton Manning pass complete to Reggie Wayne for 6 yards (tackle by Reggie Howard),0.730,0.830
4,9:55,3,2,IND 39,20,13,James Mungro up the middle for no gain (tackle by Dan Morgan),0.830,-0.780
4,9:19,4,2,IND 39,20,13,"Hunter Smith punts 40 yards. Penalty on Mike Caldwell: Offensive Holding, 10 yards",-0.780,0.370
4,9:07,1,10,CAR 11,20,13,DeShaun Foster left end for 2 yards (tackle by Marcus Washington and Rob Morris),-0.370,-0.630
4,8:20,2,8,CAR 13,20,13,Jake Delhomme pass incomplete intended for Kris Mangum (defended by Chad Bratzke),-0.630,-1.190
,,,,,,,"CAR challenged the ruling, and the original play was overturned.",,
4,8:14,3,8,CAR 13,20,13,DeShaun Foster up the middle for 9 yards (tackle by Nick Harper and David Thornton),-1.190,0.410
4,7:32,1,10,CAR 22,20,13,DeShaun Foster up the middle for 9 yards (tackle by David Thornton),0.410,1.080
4,6:49,2,1,CAR 31,20,13,Rod Smart up the middle for 2 yards (tackle by Montae Reagor),1.080,1.140
4,6:09,1,10,CAR 33,20,13,Rod Smart left guard for 3 yards (tackle by Chad Bratzke and Rob Morris),1.140,1.000
4,5:26,2,7,CAR 36,20,13,Rod Smart left end for 2 yards (tackle by David Thornton),1.000,0.560
4,4:40,3,5,CAR 38,20,13,"Jake Delhomme pass incomplete intended for Mike Seidman. Penalty on David Thornton: Roughing the Passer, 15 yards",0.560,2.460
4,4:32,1,10,IND 47,20,13,Rod Smart right end for 4 yards (tackle by Marcus Washington),2.460,2.450
4,3:45,2,6,IND 43,20,13,DeShaun Foster up the middle for -5 yards (tackle by Walt Harris),2.450,1.090
4,3:33,,,,20,13,Timeout #1 by Indianapolis Colts,0.000,1.090
4,3:33,3,11,IND 48,20,13,Jake Delhomme pass complete to Brad Hoover for 9 yards (tackle by Robert Mathis),1.090,0.660
4,3:19,,,,20,13,Timeout #2 by Indianapolis Colts,0.000,0.660
4,3:19,4,2,IND 39,20,13,Todd Sauerbrun punts 30 yards,0.660,0.380
4,3:08,1,10,IND 9,20,13,Peyton Manning pass complete to James Mungro for -4 yards (tackle by Reggie Howard),-0.380,-1.070
4,3:08,2,14,IND 5,20,13,Peyton Manning pass complete to Marcus Pollard for 10 yards (tackle by Will Witherspoon),-1.070,-0.720
4,3:08,3,4,IND 15,20,13,Peyton Manning pass incomplete intended for Reggie Wayne,-0.720,-2.440
4,2:27,4,4,IND 15,20,13,Peyton Manning pass complete to Marcus Pollard for 6 yards (tackle by Will Witherspoon),-2.440,0.340
4,2:27,1,10,IND 21,20,13,Peyton Manning pass complete to Marcus Pollard for 11 yards (tackle by Will Witherspoon),0.340,1.070
4,1:58,1,10,IND 32,20,13,Peyton Manning pass complete to Marvin Harrison for 17 yards (tackle by Deon Grant),1.070,2.190
4,1:37,1,10,IND 49,20,13,Peyton Manning pass complete to Troy Walters for 14 yards (tackle by Terry Cousin),2.190,3.120
4,1:14,1,10,CAR 37,20,13,Peyton Manning pass complete to Marvin Harrison for 12 yards (tackle by Mike Minter),3.120,3.910
4,0:51,1,10,CAR 25,20,19,"Peyton Manning pass complete to Reggie Wayne for 25 yards, touchdown",3.910,7.000
4,,,,CAR 2,20,20,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,IND 30,20,20,"Mike Vanderjagt kicks off 63 yards, returned by Rod Smart for 17 yards (tackle by Cory Bird)",0.000,0.540
4,0:38,1,10,CAR 24,20,20,DeShaun Foster up the middle for no gain (tackle by David Thornton),0.540,0.940
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,CAR,IND,Detail,EPB,EPA
,,,,,,,"Panthers won the coin toss, Panthers to receive the overtime kickoff.",,
OT,15:00,1,10,IND 30,20,20,"Mike Vanderjagt kicks off 67 yards, returned by Rod Smart for 26 yards (tackle by Donald Strickland). Rod Smart fumbles, recovered by Brian L. Allen at CAR-27 (tackle by Robert Mathis)",0.940,0.740
OT,14:53,1,10,CAR 27,20,20,DeShaun Foster right tackle for 3 yards (tackle by Marcus Washington and Rob Morris),0.740,0.600
OT,14:10,2,7,CAR 30,20,20,Jake Delhomme pass complete to Muhsin Muhammad for 6 yards (tackle by Walt Harris),0.600,0.700
OT,13:22,3,1,CAR 36,20,20,DeShaun Foster right end for 8 yards (tackle by Rob Morris and Chad Bratzke),0.700,1.860
OT,12:36,1,10,CAR 44,20,20,Jake Delhomme pass incomplete intended for Steve Smith,1.860,1.320
OT,12:32,2,10,CAR 44,20,20,Jake Delhomme pass complete to Steve Smith for 7 yards (tackle by Nick Harper),1.320,1.550
OT,11:48,3,3,IND 49,20,20,"Jake Delhomme pass complete to Steve Smith for 18 yards (tackle by Nick Harper). Penalty on Jeno James: Illegal Shift (Offsetting), Penalty on Nick Harper: Illegal Use of Hands (Offsetting), Penalty on Muhsin Muhammad: Illegal Shift (Offsetting) (no play)",1.550,1.550
OT,11:41,3,3,IND 49,20,20,"Jake Delhomme pass incomplete intended for Muhsin Muhammad (defended by Walt Harris). Penalty on Donald Strickland: Defensive Holding, 5 yards (no play)",1.550,2.650
OT,11:35,1,10,IND 44,20,20,DeShaun Foster right end for 12 yards (tackle by Idrees Bashir),2.650,3.450
OT,11:06,1,10,IND 32,20,20,Rod Smart right tackle for -2 yards (tackle by Raheem Brock),3.450,2.630
OT,10:47,1,10,IND 32,20,20,Timeout #1 by Indianapolis Colts,3.450,2.630
OT,10:47,2,12,IND 34,20,20,DeShaun Foster right end for 3 yards (tackle by Marcus Washington and Rob Morris),2.630,2.340
OT,10:07,2,12,IND 34,20,20,Timeout #1 by Carolina Panthers,2.630,2.340
OT,10:07,3,9,IND 31,20,20,Jake Delhomme up the middle for 1 yard (tackle by Josh Williams and Larry Tripplett),2.340,1.410
OT,9:26,4,8,IND 30,23,20,John Kasay 47 yard field goal good,1.410,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
