Quarter,Time,Tm,Detail,CAR,IND
1,2:32,Panthers,John Kasay 29 yard field goal,3,0
2,13:33,Colts,James Mungro 1 yard rush (Mike Vanderjagt kick),3,7
,8:19,Colts,Mike Vanderjagt 39 yard field goal,3,10
,0:15,Colts,Mike Vanderjagt 22 yard field goal,3,13
3,13:59,Panthers,Stephen Davis 28 yard rush (John Kasay kick),10,13
,10:22,Panthers,Steve Smith Sr. 52 yard pass from Jake Delhomme (John Kasay kick),17,13
4,11:17,Panthers,John Kasay 23 yard field goal,20,13
,0:45,Colts,Reggie Wayne 25 yard pass from Peyton Manning (Mike Vanderjagt kick),20,20
OT,9:21,Panthers,John Kasay 47 yard field goal,23,20
