Quarter,Time,Down,ToGo,Location,BUF,CIN,Detail,EPB,EPA
2,9:14,4,2,BUF 48,7,14,"Brad Robbins punts 36 yards, fair catch by Deonte Harty at BUF-12",0.070,0.350
2,9:07,1,10,BUF 12,7,14,Josh Allen pass incomplete deep middle intended for Deonte Harty,-0.350,-0.780
2,9:01,2,10,BUF 12,7,14,Josh Allen pass deep left intended for Gabriel Davis is intercepted by Cam Taylor-Britt at BUF-32 and returned for no gain (tackle by Gabriel Davis),-0.780,-3.450
2,8:54,1,10,BUF 32,7,14,Joe Burrow pass complete short left to Tanner Hudson for 9 yards (tackle by Jordan Poyer),3.450,4.120
2,8:17,,,,,,Timeout #1 by Buffalo Bills,,
2,8:17,2,1,BUF 23,7,14,Joe Burrow up the middle for no gain (tackle by Linval Joseph),4.120,3.400
2,7:31,3,1,BUF 23,7,14,"Penalty on CIN: Delay of Game, 4 yards (accepted) (no play)",3.400,2.870
2,7:11,3,5,BUF 27,7,14,"Joe Burrow scrambles left end for no gain (tackle by Taylor Rapp). Penalty on Alex Cappa: Offensive Holding, 10 yards (accepted) (no play)",2.870,1.550
2,6:45,3,15,BUF 37,7,14,"Joe Burrow pass complete short right to Trenton Irwin for no gain (tackle by Taron Johnson and Micah Hyde). Penalty on Leonard Floyd: Defensive Offside, 5 yards (accepted) (no play)",1.550,2.210
2,6:15,3,10,BUF 32,7,14,"Joe Burrow sacked by and Leonard Floyd for -5 yards and Jordan Phillips for -5 yards. Penalty on Cordell Volson: Offensive Holding, 10 yards (declined)",2.210,0.790
2,6:08,4,15,BUF 37,7,14,"Penalty on Orlando Brown: False Start, 5 yards (accepted) (no play)",0.790,0.460
2,5:42,4,20,BUF 42,7,14,"Brad Robbins punts 33 yards, fair catch by Deonte Harty at BUF-9",0.460,0.380
2,5:38,1,10,BUF 9,7,14,James Cook right guard for 6 yards (tackle by Germaine Pratt and Logan Wilson),-0.380,-0.280
2,4:58,2,4,BUF 15,7,14,James Cook right tackle for 2 yards (tackle by Germaine Pratt and D.J. Reader),-0.280,-0.480
2,4:18,3,2,BUF 17,7,14,Josh Allen sacked by B.J. Hill for -9 yards,-0.480,-2.490
2,3:40,4,11,BUF 8,7,14,"Sam Martin punts 45 yards, returned by Trenton Irwin for 8 yards (tackle by Tyler Matakevich)",-2.490,-2.590
2,3:29,1,10,BUF 45,7,14,Joe Burrow pass incomplete short right intended for Tanner Hudson,2.590,2.040
2,3:26,2,10,BUF 45,7,14,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Dane Jackson) (defended by Micah Hyde),2.040,1.360
2,3:21,3,10,BUF 45,7,14,Joe Burrow pass complete short middle to Tyler Boyd for 9 yards (tackle by Cameron Lewis),1.360,0.890
2,2:40,4,1,BUF 36,7,14,Joe Burrow pass complete short right to Ja'Marr Chase for 11 yards (tackle by Jordan Poyer),0.890,3.910
2,2:00,1,10,BUF 25,7,14,Joe Mixon left tackle for 3 yards (tackle by Tyrel Dodson),3.910,3.770
2,1:54,,,,,,Timeout #2 by Buffalo Bills,,
2,1:54,2,7,BUF 22,7,14,Joe Burrow pass incomplete deep right intended for Tyler Boyd (defended by Dane Jackson),3.770,3.070
2,1:46,,,,,,Timeout #1 by Cincinnati Bengals,,
2,1:46,3,7,BUF 22,7,20,"Joe Burrow pass complete short right to Drew Sample for 22 yards, touchdown",3.070,7.000
2,1:37,,,BUF 15,7,21,Evan McPherson kicks extra point good,0.000,0.000
2,1:37,,,CIN 35,7,21,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
2,1:37,1,10,BUF 25,7,21,Josh Allen pass complete deep middle to Khalil Shakir for 23 yards (tackle by Daxton Hill and Nick Scott),0.610,2.130
2,1:15,1,10,BUF 48,7,21,Josh Allen pass complete short middle to Dalton Kincaid for 10 yards (tackle by Germaine Pratt),2.130,2.790
2,0:53,1,10,CIN 42,7,21,Josh Allen pass complete short left to Dalton Kincaid for 4 yards (tackle by Cam Taylor-Britt),2.790,2.780
2,0:35,2,6,CIN 38,7,21,Josh Allen pass complete short left to Dalton Kincaid for no gain,2.780,2.080
2,0:24,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:24,3,6,CIN 38,7,21,"Josh Allen pass incomplete deep left. Penalty on Josh Allen: Intentional Grounding, 9 yards (accepted)",2.080,0.720
Quarter,Time,Down,ToGo,Location,BUF,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,7,21,"Evan McPherson kicks off 66 yards, returned by Khalil Shakir for 27 yards (tackle by Joe Bachie and Jalen Davis)",0.000,0.670
3,14:54,1,10,BUF 26,7,21,Josh Allen pass complete short right to Stefon Diggs for 5 yards (tackle by Germaine Pratt),0.670,0.810
3,14:21,2,5,BUF 31,7,21,"Josh Allen pass incomplete short right. Penalty on Connor McGovern: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.810,0.130
3,14:21,2,10,BUF 26,7,21,Josh Allen pass complete short right to Stefon Diggs for 6 yards (tackle by Mike Hilton),0.130,0.230
3,13:36,3,4,BUF 32,7,21,Josh Allen pass complete short right to Dalton Kincaid for 9 yards (tackle by Nick Scott),0.230,1.660
3,13:19,1,10,BUF 41,7,21,Josh Allen pass complete short right to Dalton Kincaid for 11 yards (tackle by Mike Hilton),1.660,2.390
3,12:54,1,10,CIN 48,7,21,Josh Allen pass complete short right to Stefon Diggs for 15 yards,2.390,3.380
3,12:20,1,10,CIN 33,7,21,Josh Allen pass complete short left to James Cook for 8 yards (tackle by Cam Taylor-Britt and Logan Wilson),3.380,3.920
3,11:40,2,2,CIN 25,7,21,James Cook left end for 8 yards (tackle by DJ Turner),3.920,4.440
3,11:10,1,10,CIN 17,7,21,Josh Allen pass incomplete short right,4.440,3.850
3,11:05,2,10,CIN 17,7,21,Josh Allen pass complete short right to James Cook for 1 yard (tackle by Mike Hilton),3.850,3.190
3,10:29,3,9,CIN 16,7,21,Josh Allen pass incomplete deep right intended for Gabriel Davis,3.190,2.380
3,10:25,4,9,CIN 16,10,21,Tyler Bass 34 yard field goal good,2.380,3.000
3,10:21,,,BUF 35,10,21,"Tyler Bass kicks off 63 yards, returned by Trayveon Williams for 14 yards (tackle by Taylor Rapp). Penalty on Stanley Morgan: Offensive Illegal Block Above the Waist, 8 yards (accepted)",0.000,-0.380
3,10:15,1,10,CIN 8,10,21,Joe Mixon left guard for 3 yards (tackle by Jordan Phillips and Ed Oliver),-0.380,-0.560
3,9:38,2,7,CIN 11,10,21,Joe Burrow pass complete short left to Joe Mixon for 4 yards (tackle by Dorian Williams),-0.560,-0.600
3,8:52,3,3,CIN 15,10,21,Joe Burrow scrambles right tackle for 7 yards (tackle by Taylor Rapp),-0.600,0.410
3,8:09,1,10,CIN 22,10,21,Joe Burrow pass complete short right to Tee Higgins for 21 yards (tackle by Tyrel Dodson),0.410,1.800
3,7:31,1,10,CIN 43,10,21,Joe Burrow pass incomplete deep middle intended for Ja'Marr Chase (defended by Dane Jackson),1.800,1.250
3,7:22,2,10,CIN 43,10,21,Joe Burrow pass complete short left to Joe Mixon for -1 yards (tackle by Taron Johnson),1.250,0.430
3,6:34,3,11,CIN 42,10,21,Joe Burrow pass incomplete short left intended for Ja'Marr Chase (defended by Micah Hyde),0.430,-0.590
3,6:32,4,11,CIN 42,10,21,Brad Robbins punts 49 yards out of bounds,-0.590,0.380
3,6:24,1,10,BUF 9,10,21,Josh Allen pass complete short middle to James Cook for 4 yards (tackle by Logan Wilson),-0.380,-0.480
3,5:58,2,6,BUF 13,10,21,Josh Allen pass incomplete short left intended for Stefon Diggs,-0.480,-0.950
3,5:54,,,,,,Timeout #1 by Buffalo Bills,,
3,5:54,3,6,BUF 13,10,21,Josh Allen scrambles left end for 1 yard (tackle by Trey Hendrickson),-0.950,-2.470
3,5:14,4,5,BUF 14,10,21,"Sam Martin punts 44 yards, fair catch by Trenton Irwin at CIN-42",-2.470,-1.730
3,5:06,1,10,CIN 42,10,21,Joe Burrow pass complete short right to Joe Mixon for 5 yards (tackle by Tyrel Dodson),1.730,1.860
3,4:31,2,5,CIN 47,10,21,Joe Burrow pass complete short right to Tee Higgins for 11 yards (tackle by Rasul Douglas),1.860,2.790
3,3:56,1,10,BUF 42,10,21,Joe Mixon right end for -4 yards (tackle by Jordan Poyer),2.790,1.700
3,3:12,2,14,BUF 46,10,21,Joe Burrow pass complete short left to Tee Higgins for 9 yards (tackle by Jordan Poyer),1.700,2.210
3,2:26,3,5,BUF 37,10,21,Joe Burrow pass incomplete short right intended for Tyler Boyd,2.210,0.790
3,2:21,,,,,,Timeout #1 by Cincinnati Bengals,,
3,2:21,4,5,BUF 37,10,21,Joe Burrow pass complete short middle to Drew Sample for 2 yards (tackle by Tyrel Dodson and Micah Hyde),0.790,-1.270
3,2:13,1,10,BUF 35,10,21,Josh Allen right end for 10 yards (tackle by Logan Wilson and Jordan Battle),1.270,1.930
3,1:45,1,10,BUF 45,10,21,Josh Allen pass complete short right to Dalton Kincaid for 11 yards (tackle by Logan Wilson and Germaine Pratt),1.930,2.650
3,1:17,1,10,CIN 44,10,21,James Cook right tackle for 3 yards (tackle by Cameron Sample),2.650,2.520
3,0:49,2,7,CIN 41,10,21,Josh Allen pass complete short middle to James Cook for 6 yards (tackle by Mike Hilton),2.520,2.610
3,0:10,3,1,CIN 35,10,21,Josh Allen left guard for 3 yards (tackle by Germaine Pratt),2.610,3.450
Quarter,Time,Down,ToGo,Location,BUF,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CIN 32,10,21,Josh Allen pass incomplete deep right,3.450,2.900
4,14:53,2,10,CIN 32,10,21,Josh Allen scrambles left end for 9 yards (tackle by Mike Hilton),2.900,3.400
4,14:13,3,1,CIN 23,10,21,Josh Allen left guard for 1 yard (tackle by B.J. Hill and Germaine Pratt),3.400,4.110
4,13:27,1,10,CIN 22,10,21,"Josh Allen pass complete short middle to Dalton Kincaid for 9 yards. Dalton Kincaid fumbles (forced by Germaine Pratt) (tackle by Nick Scott), recovered by Nick Scott at CIN-13 (tackle by Mitch Morse)",4.110,0.320
4,13:18,1,10,CIN 13,10,21,Joe Burrow pass incomplete short right intended for Irv Smith (defended by Rasul Douglas),-0.320,-0.770
4,13:15,2,10,CIN 13,10,21,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Rasul Douglas),-0.770,-0.350
4,12:33,,,,,,Timeout #2 by Cincinnati Bengals,,
4,12:33,3,1,CIN 22,10,21,Joe Burrow pass complete short left to Tanner Hudson for 17 yards (tackle by Micah Hyde),-0.350,1.530
4,11:50,1,10,CIN 39,10,21,Joe Burrow pass incomplete short right intended for Drew Sample,1.530,0.990
4,11:47,2,10,CIN 39,10,21,Joe Burrow pass complete deep right to Ja'Marr Chase for 32 yards (tackle by Taron Johnson),0.990,3.640
4,11:08,1,10,BUF 29,10,21,Joe Mixon left guard for 4 yards (tackle by Kingsley Jonathan and Jordan Poyer),3.640,3.640
4,10:24,2,6,BUF 25,10,21,Joe Burrow pass incomplete short right,3.640,2.940
4,10:19,,,,,,Timeout #3 by Cincinnati Bengals,,
4,10:19,3,6,BUF 25,10,21,Joe Burrow pass complete short middle to Tee Higgins for 18 yards (tackle by Dane Jackson),2.940,5.600
4,9:38,1,7,BUF 7,10,21,Joe Mixon left end for -3 yards (tackle by Tyrel Dodson),5.600,4.190
4,8:53,2,10,BUF 10,10,21,Joe Burrow pass complete short left to Irv Smith for 8 yards (tackle by Dorian Williams),4.190,4.950
4,8:14,3,2,BUF 2,10,21,Joe Burrow pass incomplete short right intended for Joe Mixon (defended by Gregory Rousseau),4.950,3.250
4,8:11,4,2,BUF 2,10,24,Evan McPherson 20 yard field goal good,3.250,3.000
4,8:08,,,CIN 35,10,24,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,8:08,1,10,BUF 25,10,24,Josh Allen pass complete short left to Dalton Kincaid for 9 yards (tackle by Chidobe Awuzie),0.610,1.280
4,7:47,2,1,BUF 34,10,24,Josh Allen scrambles right end for 7 yards (tackle by Mike Hilton),1.280,1.660
4,7:09,1,10,BUF 41,10,24,Josh Allen pass complete short left to Khalil Shakir for 9 yards (tackle by Chidobe Awuzie and Logan Wilson),1.660,2.340
4,6:44,2,1,CIN 50,10,24,Josh Allen pass incomplete short right,2.340,1.620
4,6:39,3,1,CIN 50,10,24,Latavius Murray right guard for 2 yards (tackle by D.J. Reader),1.620,2.390
4,6:13,1,10,CIN 48,10,24,Josh Allen scrambles right tackle for 11 yards (tackle by Logan Wilson),2.390,3.120
4,5:40,1,10,CIN 37,10,24,"Josh Allen pass incomplete short left intended for Trent Sherfield BUF challenged the pass completion ruling, and the play was upheld.",3.120,2.570
4,5:33,2,10,CIN 37,10,24,Josh Allen pass complete short right to Trent Sherfield for 9 yards (tackle by DJ Turner),2.570,3.070
4,5:06,3,1,CIN 28,10,24,Latavius Murray left guard for 2 yards (tackle by Mike Hilton and Germaine Pratt),3.070,3.840
4,4:43,1,10,CIN 26,10,24,Josh Allen pass complete short right to Khalil Shakir for 3 yards (tackle by Mike Hilton),3.840,3.700
4,4:12,2,7,CIN 23,10,24,Josh Allen pass complete short right to Latavius Murray for 6 yards (tackle by Germaine Pratt),3.700,3.950
4,3:38,3,1,CIN 17,16,24,"Josh Allen pass complete deep right to Stefon Diggs for 17 yards, touchdown",3.950,7.000
4,3:32,,,CIN 2,18,24,Two Point Attempt: Josh Allen pass complete to to Stefon Diggs for no gain,1.000,1.000
4,3:32,,,BUF 35,18,24,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
4,3:32,1,10,CIN 25,18,24,Joe Burrow pass complete deep left to Tyler Boyd for 32 yards (tackle by Taylor Rapp),0.610,2.720
4,2:47,1,10,BUF 43,18,24,Joe Mixon right tackle for 2 yards (tackle by Gregory Rousseau and Jordan Phillips),2.720,2.450
4,2:47,,,,,,Timeout #3 by Buffalo Bills,,
4,2:37,2,8,BUF 41,18,24,Joe Mixon left tackle for 5 yards (tackle by Josh Norman),2.450,2.410
4,2:00,3,3,BUF 36,18,24,Joe Mixon right end for 5 yards (tackle by Taron Johnson),2.410,3.510
4,1:53,1,10,BUF 31,18,24,Joe Burrow kneels for -1 yards,3.510,2.830
4,1:12,2,11,BUF 32,18,24,Joe Burrow kneels for -1 yards,2.830,2.020
4,0:39,3,12,BUF 33,18,24,Joe Burrow kneels for -1 yards,2.020,1.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
