Quarter,Time,Tm,Detail,BUF,CIN
1.0,9:18,Bengals,Irv Smith Jr. 7 yard pass from Joe Burrow (Evan McPherson kick),0,7
,6:03,Bills,Josh Allen 2 yard rush (Tyler Bass kick),7,7
,0:35,Bengals,Joe Mixon 2 yard rush (Evan McPherson kick),7,14
2.0,1:37,Bengals,Drew Sample 22 yard pass from Joe Burrow (Evan McPherson kick),7,21
3.0,10:21,Bills,Tyler Bass 34 yard field goal,10,21
4.0,8:08,Bengals,Evan McPherson 20 yard field goal,10,24
,3:32,Bills,Stefon Diggs 17 yard pass from Josh Allen (Stefon Diggs pass from Josh Allen),18,24
