Unnamed: 0,BUF,CIN
First Downs,21,23
Rush-Yds-TDs,16-68-1,22-54-1
Cmp-Att-Yd-TD-INT,26-38-258-1-1,31-44-348-2-0
Sacked-Yards,1-9,1-5
Net Pass Yards,249,343
Total Yards,317,397
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,5-49,6-49
Third Down Conv.,7-12,8-15
Fourth Down Conv.,0-0,1-2
Time of Possession,23:22,36:38
