Quarter,Time,Tm,Detail,MIA,NWE
1.0,3:59,Dolphins,Ricky Williams 2 yard rush (Olindo Mare kick),7,0
,0:58,Patriots,Deion Branch 11 yard pass from Tom Brady (Adam Vinatieri kick),7,7
2.0,5:51,Dolphins,Olindo Mare 36 yard field goal,10,7
,0:38,Dolphins,Olindo Mare 38 yard field goal,13,7
,0:00,Patriots,Adam Vinatieri 49 yard field goal,13,10
3.0,8:57,Dolphins,Olindo Mare 41 yard field goal,16,10
,4:41,Patriots,Adam Vinatieri 33 yard field goal,16,13
,1:24,Dolphins,"Safety,",18,13
4.0,9:07,Dolphins,Marty Booker 15 yard pass from Gus Frerotte (Olindo Mare kick),25,13
,6:10,Patriots,Tim Dwight 9 yard pass from Matt Cassel (Doug Flutie kick),25,20
,1:55,Dolphins,Olindo Mare 42 yard field goal,28,20
,0:00,Patriots,Ben Watson 9 yard pass from Matt Cassel (pass failed),28,26
