Quarter,Time,Down,ToGo,Location,MIA,PHI,Detail,EPB,EPA
2,12:10,2,10,MIA 35,3,3,"Jalen Hurts pass incomplete intended for D'Andre Swift. Penalty on Christian Wilkins: Roughing the Passer, 15 yards (accepted) (no play)",2.700,4.240
2,12:07,1,10,MIA 20,3,3,D'Andre Swift left guard for 1 yard (tackle by Andrew Van Ginkel and Christian Wilkins),4.240,3.820
2,11:31,2,9,MIA 19,3,9,"Jalen Hurts pass complete short left to Dallas Goedert for 19 yards, touchdown",3.820,7.000
2,11:25,,,MIA 15,3,10,Jake Elliott kicks extra point good,0.000,0.000
2,11:25,,,PHI 35,3,10,"Jake Elliott kicks off 64 yards, returned by Braxton Berrios for 33 yards (tackle by Christian Elliss and Kelee Ringo)",0.000,1.200
2,11:20,1,10,MIA 34,3,10,Salvon Ahmed up the middle for 1 yard (tackle by Milton Williams and Jordan Davis),1.200,0.790
2,10:45,2,9,MIA 35,3,10,Tua Tagovailoa pass complete short left to Tyreek Hill for 6 yards,0.790,0.890
2,10:12,3,3,MIA 41,3,10,Tua Tagovailoa pass incomplete short right intended for Braxton Berrios (defended by Darius Slay),0.890,-0.650
2,10:07,4,3,MIA 41,3,10,"Jake Bailey punts 59 yards, touchback.",-0.650,-0.280
2,9:59,1,10,PHI 20,3,10,D'Andre Swift up the middle for no gain (tackle by Andrew Van Ginkel and Jerome Baker),0.280,-0.270
2,9:24,2,10,PHI 20,3,10,Jalen Hurts pass complete short left to A.J. Brown for 10 yards (tackle by DeShon Elliott),-0.270,0.940
2,8:41,1,10,PHI 30,3,10,D'Andre Swift right guard for 3 yards (tackle by David Long),0.940,0.800
2,7:59,2,7,PHI 33,3,10,Jalen Hurts pass complete short left to Julio Jones for 3 yards (tackle by Eli Apple),0.800,0.500
2,7:20,3,4,PHI 36,3,10,Jalen Hurts scrambles left end for 5 yards (tackle by Andrew Van Ginkel),0.500,1.660
2,7:20,1,10,PHI 41,3,10,"Penalty on Eli Apple: Defensive Holding, 5 yards (accepted) (no play)",1.660,1.990
2,6:51,1,10,PHI 46,3,10,Kenneth Gainwell right guard for 1 yard (tackle by Jerome Baker and Jaelan Phillips),1.990,1.590
2,6:22,2,9,PHI 47,3,10,Jalen Hurts pass complete short right to DeVonta Smith for 13 yards (tackle by Kader Kohou),1.590,2.920
2,5:42,1,10,MIA 40,3,10,Kenneth Gainwell right tackle for 1 yard (tackle by Christian Wilkins and David Long),2.920,2.510
2,5:01,2,9,MIA 39,3,10,Jalen Hurts pass complete short left to DeVonta Smith for 3 yards (tackle by Parry Nickerson),2.510,2.210
2,4:19,3,6,MIA 36,3,10,Kenneth Gainwell right guard for 3 yards (tackle by Jaelan Phillips),2.210,1.190
2,3:41,4,3,MIA 33,3,10,Jalen Hurts pass complete deep right to A.J. Brown for 32 yards (tackle by Parry Nickerson),1.190,6.970
2,3:20,1,1,MIA 1,3,16,"Jalen Hurts for 1 yard, touchdown",6.970,7.000
2,3:10,,,MIA 15,3,17,Jake Elliott kicks extra point good,0.000,0.000
2,3:10,,,PHI 35,3,17,"Jake Elliott kicks off 58 yards, returned by Braxton Berrios for 21 yards (tackle by Nicholas Morrow and Boston Scott)",0.000,0.810
2,3:05,1,10,MIA 28,3,17,Tua Tagovailoa pass complete short left to Tyreek Hill for 4 yards (tackle by Nakobe Dean),0.810,0.800
2,2:40,2,6,MIA 32,3,17,"Cedrick Wilson sacked by Josh Sweat for -7 yards. Penalty on Jalen Carter: Personal Foul / Defense, 15 yards (offset) . Penalty on Austin Jackson: Personal Foul / Offense, 15 yards (offset)",0.800,-0.820
2,2:28,3,13,MIA 25,3,17,"Penalty on Lester Cotton: False Start, 5 yards (accepted) (no play)",-0.820,-1.480
2,2:03,3,18,MIA 20,3,17,Tua Tagovailoa pass complete deep right to Cedrick Wilson for 29 yards,-1.480,2.190
2,1:56,1,10,MIA 49,3,17,Tua Tagovailoa pass complete short left to Braxton Berrios for 7 yards (tackle by Sydney Brown),2.190,2.590
2,1:18,2,3,PHI 44,3,17,Tua Tagovailoa pass complete short left to Tyreek Hill for 15 yards (tackle by Terrell Edmunds),2.590,3.640
2,0:57,1,10,PHI 29,3,17,Tua Tagovailoa pass complete short left to Jeff Wilson for 4 yards (tackle by Terrell Edmunds),3.640,3.640
2,0:50,2,6,PHI 25,3,17,Tua Tagovailoa sacked by Nolan Smith for -2 yards,3.640,2.680
2,0:45,,,,,,Timeout #1 by Miami Dolphins,,
2,0:45,3,8,PHI 27,9,17,"Tua Tagovailoa pass complete deep left to Tyreek Hill for 27 yards, touchdown",2.680,7.000
2,0:39,,,PHI 15,10,17,Jason Sanders kicks extra point good,0.000,0.000
2,0:39,,,MIA 35,10,17,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,0:39,1,10,PHI 25,10,17,Jalen Hurts sacked by Jaelan Phillips for -10 yards,0.610,-1.430
Quarter,Time,Down,ToGo,Location,MIA,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,10,17,"Jake Elliott kicks off 64 yards, returned by Braxton Berrios for 26 yards (tackle by Nolan Smith)",0.000,0.740
3,14:55,1,10,MIA 27,10,17,Raheem Mostert right end for 2 yards (tackle by Haason Reddick),0.740,0.470
3,14:13,2,8,MIA 29,10,17,Tua Tagovailoa pass complete short middle to Tyreek Hill for 17 yards (tackle by Sydney Brown),0.470,1.990
3,13:33,1,10,MIA 46,10,17,Raheem Mostert left end for 7 yards (tackle by Fletcher Cox),1.990,2.400
3,12:57,2,3,PHI 47,10,17,Raheem Mostert left end for 5 yards (tackle by Zach Cunningham),2.400,2.790
3,12:17,1,10,PHI 42,10,17,Tua Tagovailoa pass complete short right to Salvon Ahmed for no gain (tackle by Haason Reddick),2.790,2.240
3,11:37,2,10,PHI 42,10,17,"Tua Tagovailoa pass complete short right to Tyreek Hill for 1 yard (tackle by James Bradberry). Penalty on Julian Hill: Offensive Holding, 10 yards (accepted)",2.240,1.030
3,11:11,2,19,MIA 49,10,17,Tua Tagovailoa pass incomplete deep left intended for Salvon Ahmed,1.030,0.370
3,11:07,3,19,MIA 49,10,17,Tua Tagovailoa pass complete short left to Raheem Mostert for 6 yards (tackle by Zach Cunningham and Terrell Edmunds),0.370,0.270
3,10:28,4,13,PHI 45,10,17,"Penalty on Elijah Campbell: False Start, 5 yards (accepted) (no play)",0.270,-0.060
3,10:18,4,17,PHI 50,10,17,Jake Bailey punts 45 yards out of bounds,-0.060,0.380
3,10:12,1,10,PHI 5,10,17,Jalen Hurts pass complete short right to A.J. Brown for 9 yards (tackle by Kader Kohou),-0.380,-0.100
3,9:30,2,1,PHI 14,10,17,D'Andre Swift left guard for 4 yards (tackle by Jerome Baker and Jevon Holland),-0.100,0.040
3,8:52,1,10,PHI 18,10,17,Jalen Hurts sacked by Bradley Chubb for -3 yards,0.040,-0.930
3,8:11,2,13,PHI 15,10,17,Jalen Hurts pass complete short right to D'Andre Swift for 8 yards (tackle by Jerome Baker and Christian Wilkins),-0.930,-0.530
3,7:26,3,5,PHI 23,10,17,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Eli Apple),-0.530,-1.830
