Quarter,Time,Tm,Detail,MIA,PHI
1.0,7:54,Eagles,Jake Elliott 24 yard field goal,0,3
,0:59,Dolphins,Jason Sanders 40 yard field goal,3,3
2.0,11:25,Eagles,Dallas Goedert 19 yard pass from Jalen Hurts (Jake Elliott kick),3,10
,3:10,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),3,17
,0:39,Dolphins,Tyreek Hill 27 yard pass from Tua Tagovailoa (Jason Sanders kick),10,17
3.0,4:02,Dolphins,Jerome Baker 23 yard interception return (Jason Sanders kick),17,17
,0:15,Eagles,A.J. Brown 14 yard pass from Jalen Hurts (Jake Elliott kick),17,24
4.0,4:46,Eagles,Kenneth Gainwell 3 yard rush (Jake Elliott kick),17,31
