Unnamed: 0,CIN,CLE
First Downs,17,17
Rush-Yds-TDs,33-139-1,26-83-0
Cmp-Att-Yd-TD-INT,15-27-173-2-0,19-40-213-2-1
Sacked-Yards,4-18,2-11
Net Pass Yards,155,202
Total Yards,294,285
Fumbles-Lost,2-0,1-0
Turnovers,0,1
Penalties-Yards,3-22,11-72
Third Down Conv.,7-17,4-15
Fourth Down Conv.,0-0,1-2
Time of Possession,30:23,29:37
