Quarter,Time,Tm,Detail,CIN,CLE
1.0,8:20,Bengals,Mike Nugent 24 yard field goal,3,0
,2:22,Bengals,Jermaine Gresham 2 yard pass from Andy Dalton (Mike Nugent kick),10,0
2.0,11:30,Bengals,Mike Nugent 47 yard field goal,13,0
,9:17,Browns,Ben Watson 34 yard pass from Colt McCoy (Phil Dawson kick),13,7
,4:14,Browns,Evan Moore 2 yard pass from Colt McCoy (Phil Dawson kick),13,14
3.0,8:36,Browns,Phil Dawson 20 yard field goal,13,17
4.0,4:28,Bengals,A.J. Green 41 yard pass from Bruce Gradkowski (Mike Nugent kick),20,17
,1:49,Bengals,Cedric Benson 39 yard rush (Mike Nugent kick),27,17
