Unnamed: 0,SEA,ARI
First Downs,12,16
Rush-Yds-TDs,14-77-0,37-127-1
Cmp-Att-Yd-TD-INT,14-41-187-1-4,22-36-212-1-1
Sacked-Yards,1-7,3-23
Net Pass Yards,180,189
Total Yards,257,316
Fumbles-Lost,0-0,2-1
Turnovers,4,2
Penalties-Yards,4-35,6-45
Third Down Conv.,4-13,8-19
Fourth Down Conv.,0-0,0-1
Time of Possession,20:09,39:51
