Unnamed: 0,MIA,OAK
First Downs,21,24
Rush-Yds-TDs,32-145-2,25-120-3
Cmp-Att-Yd-TD-INT,18-31-261-2-1,21-37-226-0-2
Sacked-Yards,3-12,7-41
Net Pass Yards,249,185
Total Yards,394,305
Fumbles-Lost,2-2,2-1
Turnovers,3,3
Penalties-Yards,7-70,13-90
Third Down Conv.,7-14,7-13
Fourth Down Conv.,0-0,0-0
Time of Possession,30:08,29:52
