Quarter,Time,Tm,Detail,MIA,OAK
1.0,11:58,Dolphins,Bryan Gilmore 44 yard pass from Gus Frerotte (Olindo Mare kick),7,0
2.0,9:34,Raiders,LaMont Jordan 1 yard rush (Sebastian Janikowski kick),7,7
,0:32,Dolphins,Ronnie Brown 1 yard rush (Olindo Mare kick),14,7
3.0,13:33,Dolphins,"Safety,",16,7
,5:49,Raiders,LaMont Jordan 8 yard rush (Sebastian Janikowski kick),16,14
,1:48,Dolphins,Randy McMichael 25 yard pass from Gus Frerotte (Olindo Mare kick),23,14
4.0,14:01,Raiders,Kerry Collins 18 yard rush (Sebastian Janikowski kick),23,21
,3:50,Dolphins,Ricky Williams 34 yard rush (Olindo Mare kick),30,21
,1:10,Dolphins,Olindo Mare 27 yard field goal,33,21
