Quarter,Time,Down,ToGo,Location,MIA,OAK,Detail,EPB,EPA
1,3:53,1,10,OAK 31,7,0,"LaMont Jordan up the middle for 16 yards (tackle by Sam Madison). Penalty on Brad Badger: Offensive Holding, 10 yards (no play)",1.000,0.340
1,3:35,1,20,OAK 21,7,0,LaMont Jordan up the middle for 2 yards (tackle by Reggie Howard),0.340,-0.620
1,2:56,2,18,OAK 23,7,0,Kerry Collins pass complete to LaMont Jordan for 17 yards (tackle by Donnie Spragan),-0.620,0.960
1,2:25,3,1,OAK 40,7,0,LaMont Jordan right end for -1 yards (tackle by Derrick Pope and Donnie Spragan),0.960,-0.780
1,1:46,4,2,OAK 39,7,0,"Shane Lechler punts 33 yards, fair catch by Wes Welker",-0.780,-0.810
1,1:39,1,10,MIA 28,7,0,Ricky Williams right tackle for no gain (tackle by Danny Clark),0.810,0.260
1,1:02,2,10,MIA 28,7,0,Gus Frerotte pass incomplete intended for Randy McMichael,0.260,-0.430
1,0:59,3,10,MIA 28,7,0,Gus Frerotte pass complete to Ricky Williams for 8 yards (tackle by Jarrod Cooper),-0.430,-0.980
1,0:25,4,2,MIA 36,7,0,"Donnie Jones punts 54 yards, returned by Chris Carr for 5 yards (tackle by John Denney)",-0.980,0.220
1,0:14,1,10,OAK 15,7,0,LaMont Jordan up the middle for 1 yard (tackle by Matt Roth),-0.220,-0.580
Quarter,Time,Down,ToGo,Location,MIA,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,OAK 16,7,0,Kerry Collins pass incomplete intended for LaMont Jordan (defended by Jason Taylor),-0.580,-1.250
2,14:54,3,9,OAK 16,7,0,Kerry Collins pass complete to Jerry Porter for 31 yards (tackle by Reggie Howard),-1.250,2.060
2,14:15,1,10,OAK 47,7,0,"Kerry Collins pass incomplete intended for LaMont Jordan. Penalty on Jason Taylor: Defensive Holding, 5 yards (no play)",2.060,2.390
2,13:53,1,10,MIA 48,7,0,LaMont Jordan right end for 3 yards (tackle by Donnie Spragan and Channing Crowder),2.390,2.250
2,13:28,2,7,MIA 45,7,0,LaMont Jordan left end for -2 yards (tackle by Keith Traylor),2.250,1.290
2,12:50,3,9,MIA 47,7,0,"Penalty on Doug Gabriel: False Start, 5 yards (no play)",1.290,0.630
2,12:29,3,14,OAK 48,7,0,Kerry Collins pass complete to Alvis Whitted for 18 yards (tackle by Travis Daniels),0.630,3.310
2,11:48,1,10,MIA 34,7,0,Kerry Collins pass complete to Randy Moss for 18 yards (tackle by Travis Daniels),3.310,4.510
2,11:17,1,10,MIA 16,7,0,Kerry Collins pass incomplete intended for Courtney Anderson (defended by Kevin Carter),4.510,3.900
2,11:12,2,10,MIA 16,7,0,"Kerry Collins pass incomplete intended for LaMont Jordan (defended by Jason Taylor). Penalty on Jason Taylor: Defensive Holding, 5 yards (no play)",3.900,4.840
2,11:06,1,10,MIA 11,7,0,LaMont Jordan up the middle for -1 yards (tackle by Derrick Pope),4.840,3.980
2,10:25,2,11,MIA 12,7,0,Kerry Collins pass complete to Courtney Anderson for 11 yards (tackle by Sam Madison),3.980,6.970
2,9:38,1,1,MIA 1,7,6,"LaMont Jordan left guard for 1 yard, touchdown",6.970,7.000
2,,,,MIA 2,7,7,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 30,7,7,"Sebastian Janikowski kicks off 74 yards, returned by Wes Welker for 41 yards (tackle by Jarrod Cooper)",0.000,1.400
2,9:28,1,10,MIA 37,7,7,Gus Frerotte pass incomplete intended for Randy McMichael (defended by Danny Clark),1.400,0.860
2,9:24,2,10,MIA 37,7,7,Ricky Williams right tackle for -2 yards (tackle by Kirk Morrison),0.860,-0.100
2,8:51,3,12,MIA 35,7,7,Gus Frerotte sacked by Tommy Kelly and Jarrod Cooper for -4 yards,-0.100,-1.310
2,8:31,4,16,MIA 31,7,7,"Donnie Jones punts 53 yards, returned by Chris Carr for 12 yards (tackle by Travares Tillman)",-1.310,-0.810
2,8:21,1,10,OAK 28,7,7,Kerry Collins sacked by Vonnie Holliday for 0 yards,0.810,0.260
2,7:53,2,10,OAK 28,7,7,LaMont Jordan right end for -1 yards (tackle by Vonnie Holliday and Travis Daniels),0.260,-0.560
2,7:10,3,11,OAK 27,7,7,Kerry Collins pass complete to Jerry Porter for 17 yards (tackle by Sam Madison). Penalty on David Bowens: Defensive Offside (Declined),-0.560,1.860
2,6:45,1,10,OAK 44,7,7,LaMont Jordan up the middle for 2 yards (tackle by Lance Schulters),1.860,1.590
2,6:07,2,8,OAK 46,7,7,Kerry Collins pass incomplete intended for Courtney Anderson (defended by Donnie Spragan),1.590,0.890
2,6:02,3,8,OAK 46,7,7,Kerry Collins sacked by Vonnie Holliday for -8 yards,0.890,-0.850
2,5:39,4,16,OAK 38,7,7,Shane Lechler punts 25 yards,-0.850,-1.400
2,5:30,1,10,MIA 37,7,7,Gus Frerotte pass complete to Randy McMichael for 15 yards (tackle by Renaldo Hill and Stuart Schweigert),1.400,2.390
2,4:53,1,10,OAK 48,7,7,Ronnie Brown up the middle for 6 yards (tackle by Bobby Hamilton),2.390,2.660
2,4:11,2,4,OAK 42,7,7,Ronnie Brown up the middle for 2 yards (tackle by Danny Clark),2.660,2.210
2,3:28,3,2,OAK 40,7,7,Ronnie Brown right guard for 2 yards (tackle by Bobby Hamilton),2.210,3.050
2,2:45,1,10,OAK 38,7,7,"Gus Frerotte pass complete to Chris Chambers for 5 yards (tackle by Fabian Washington). Penalty on Ed Jasper: Defensive Offside, 5 yards (no play)",3.050,3.780
2,2:23,1,5,OAK 33,7,7,Ronnie Brown up the middle for 1 yard (tackle by Tyler Brayton and Jarrod Cooper),3.780,3.320
2,2:00,2,4,OAK 32,7,7,Gus Frerotte pass incomplete intended for Ronnie Brown,3.320,2.610
2,1:56,3,4,OAK 32,7,7,Gus Frerotte pass complete to Chris Chambers for 7 yards (tackle by Renaldo Hill),2.610,3.910
2,1:24,1,10,OAK 25,7,7,Ronnie Brown up the middle for 1 yard (tackle by Bobby Hamilton and Terdell Sands),3.910,3.500
2,0:46,2,9,OAK 24,7,7,Gus Frerotte pass complete to Chris Chambers for 23 yards (tackle by Stuart Schweigert),3.500,6.970
2,0:35,,,,7,7,Timeout #2 by Miami Dolphins,0.000,6.970
2,0:35,1,1,OAK 1,13,7,"Ronnie Brown up the middle for 1 yard, touchdown",6.970,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,0:32,,,,13,7,Timeout #1 by Oakland Raiders,0.000,0.000
2,,,,OAK 2,14,7,Olindo Mare kicks extra point good,0.000,0.000
2,,,,MIA 30,14,7,"Olindo Mare kicks off 74 yards, touchback",0.000,0.280
2,0:32,1,10,OAK 20,14,7,LaMont Jordan up the middle for 5 yards (tackle by Reggie Howard),0.280,0.410
2,0:26,,,,14,7,Timeout #2 by Oakland Raiders,0.000,0.410
2,0:26,2,5,OAK 25,14,7,Kerry Collins pass incomplete intended for Doug Gabriel (defended by Vonnie Holliday),0.410,-0.300
2,0:21,3,5,OAK 25,14,7,LaMont Jordan up the middle for 7 yards (tackle by Reggie Howard and Vonnie Holliday),-0.300,1.070
2,0:15,,,,14,7,Timeout #3 by Oakland Raiders,0.000,1.070
2,0:15,1,10,OAK 32,14,7,"Jake Grove for no gain. Jake Grove fumbles, recovered by Jake Grove at OAK-32. Penalty on David Bowens: Defensive Offside, 5 yards (no play)",1.070,1.800
2,0:11,1,5,OAK 37,14,7,Kerry Collins pass complete to LaMont Jordan for 10 yards (tackle by Jason Taylor),1.800,2.060
2,0:04,1,10,OAK 47,14,7,Kerry Collins pass incomplete intended for Jerry Porter is intercepted by Travares Tillman at MIA-5,2.060,0.000
Quarter,Time,Down,ToGo,Location,MIA,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 30,14,7,"Sebastian Janikowski kicks off 67 yards, returned by Wes Welker for 32 yards (tackle by Stuart Schweigert)",0.000,1.270
3,14:54,1,10,MIA 35,14,7,Gus Frerotte pass complete to Randy McMichael for 12 yards (tackle by Kirk Morrison),1.270,2.060
3,14:34,1,10,MIA 47,14,7,Ricky Williams up the middle for 5 yards (tackle by Danny Clark),2.060,2.190
3,14:00,2,5,OAK 48,14,7,Gus Frerotte pass incomplete intended for Chris Chambers,2.190,1.490
3,13:55,3,5,OAK 48,14,7,Gus Frerotte pass incomplete intended for Chris Chambers,1.490,0.070
3,13:49,4,5,OAK 48,14,7,Donnie Jones punts 46 yards,0.070,0.380
3,13:38,1,10,OAK 2,16,7,"Kerry Collins sacked by Jason Taylor for -2 yards, safety",-0.380,-2.000
3,,,,OAK 20,16,7,"Shane Lechler kicks off 58 yards, returned by Wes Welker for 21 yards (tackle by Renaldo Hill)",0.000,1.800
3,13:26,1,10,MIA 43,16,7,Ricky Williams left guard for 3 yards (tackle by Danny Clark),1.800,1.660
3,12:46,2,7,MIA 46,16,7,"Gus Frerotte pass complete to Chris Chambers for 10 yards (tackle by Fabian Washington). Penalty on Terdell Sands: Roughing the Passer, 15 yards",1.660,3.640
3,12:26,1,10,OAK 29,16,7,Gus Frerotte pass complete to Randy McMichael for 7 yards (tackle by Renaldo Hill),3.640,4.050
3,11:57,2,3,OAK 22,16,7,Ricky Williams up the middle for 4 yards (tackle by Danny Clark),4.050,4.370
3,11:08,1,10,OAK 18,16,7,Ronnie Brown for -2 yards (tackle by Bobby Hamilton and Renaldo Hill),4.370,3.560
3,10:29,2,12,OAK 20,16,7,Gus Frerotte pass incomplete intended for Bryan Gilmore,3.560,2.870
3,10:22,3,12,OAK 20,16,7,Gus Frerotte pass incomplete intended for Chris Chambers,2.870,2.120
3,10:15,4,12,OAK 20,16,7,Olindo Mare 38 yard field goal no good,2.120,-0.810
3,10:10,1,10,OAK 28,16,7,Kerry Collins pass complete to Jerry Porter for 9 yards (tackle by Sam Madison),0.810,1.480
3,10:10,2,1,OAK 37,16,7,LaMont Jordan left tackle for 4 yards (tackle by Derrick Pope),1.480,1.660
3,10:09,1,10,OAK 41,16,7,Kerry Collins pass incomplete intended for Jerry Porter (defended by Donnie Spragan),1.660,1.120
3,9:06,2,10,OAK 41,16,7,LaMont Jordan up the middle for 6 yards (tackle by Matt Roth and Vonnie Holliday),1.120,1.220
3,8:28,3,4,OAK 47,16,7,"Kerry Collins pass incomplete intended for Courtney Anderson is intercepted by Yeremiah Bell at MIA-34. Penalty on Yeremiah Bell: Defensive Pass Interfere, 19 yards (no play)",1.220,3.310
3,8:21,1,10,MIA 34,16,7,"Kerry Collins pass complete to Doug Gabriel for 34 yards. Penalty on Doug Gabriel: Illegal Touch Pass, 5 yards (no play)",3.310,2.980
3,8:14,1,15,MIA 39,16,7,Kerry Collins pass incomplete intended for Jerry Porter,2.980,2.090
3,8:10,2,15,MIA 39,16,7,Kerry Collins pass incomplete intended for Randy Moss,2.090,1.420
3,8:04,3,15,MIA 39,16,7,Kerry Collins pass complete to Doug Gabriel for 23 yards (tackle by Travares Tillman and Sam Madison),1.420,4.510
3,7:22,1,10,MIA 16,16,7,Kerry Collins left tackle for 5 yards (tackle by Reggie Howard),4.510,4.760
3,6:40,2,5,MIA 11,16,7,LaMont Jordan up the middle for 3 yards (tackle by Channing Crowder),4.760,4.620
3,5:54,3,2,MIA 8,16,13,"LaMont Jordan up the middle for 8 yards, touchdown",4.620,7.000
3,,,,MIA 2,16,14,Sebastian Janikowski kicks extra point good,0.000,0.000
3,,,,OAK 30,16,14,"Shane Lechler kicks off 74 yards, returned by Wes Welker for 25 yards (tackle by Randal Williams)",0.000,0.340
3,5:49,1,10,MIA 21,16,14,Gus Frerotte pass complete to Chris Chambers for 22 yards (tackle by Stuart Schweigert),0.340,1.800
3,5:08,1,10,MIA 43,16,14,Ronnie Brown up the middle for 4 yards (tackle by Renaldo Hill),1.800,1.790
3,4:30,2,6,MIA 47,16,14,Gus Frerotte pass complete to Lorenzo Diamond for 3 yards (tackle by Renaldo Hill),1.790,1.490
3,3:50,3,3,OAK 50,16,14,Ronnie Brown right tackle for 7 yards (tackle by Kirk Morrison),1.490,2.720
3,3:14,1,10,OAK 43,16,14,Gus Frerotte pass complete to Ronnie Brown for 15 yards (tackle by Jarrod Cooper),2.720,3.710
3,2:34,1,10,OAK 28,16,14,Ronnie Brown right end for 3 yards (tackle by Tyler Brayton),3.710,3.570
3,1:58,2,7,OAK 25,22,14,"Gus Frerotte pass complete to Randy McMichael for 25 yards, touchdown",3.570,7.000
3,,,,OAK 2,23,14,Olindo Mare kicks extra point good,0.000,0.000
3,,,,MIA 30,23,14,"Olindo Mare kicks off 68 yards, returned by Chris Carr for 55 yards (tackle by Reggie Howard)",0.000,2.720
3,1:48,1,10,MIA 43,23,14,Kerry Collins sacked by Jason Taylor for -8 yards,2.720,1.100
3,1:09,2,18,OAK 49,23,14,Kerry Collins pass incomplete intended for Randy Moss (defended by Channing Crowder),1.100,0.430
3,1:09,3,18,OAK 49,23,14,"Penalty on Brad Badger: False Start, 5 yards (no play)",0.430,-0.230
3,1:03,3,23,OAK 44,23,14,"Penalty on Doug Gabriel: False Start, 5 yards (no play)",-0.230,-0.890
3,1:03,3,28,OAK 39,23,14,"Kerry Collins pass incomplete intended for Jerry Porter. Penalty on Yeremiah Bell: Defensive Pass Interfere, 26 yards (no play)",-0.890,3.250
3,0:58,1,10,MIA 35,23,14,LaMont Jordan right guard for 5 yards (tackle by Travares Tillman),3.250,3.380
3,0:22,2,5,MIA 30,23,14,Kerry Collins pass complete to LaMont Jordan for 9 yards (tackle by Travis Daniels),3.380,4.170
Quarter,Time,Down,ToGo,Location,MIA,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIA 21,23,14,Kerry Collins pass complete to Zack Crockett for 3 yards (tackle by Derrick Pope),4.170,4.040
4,14:16,2,7,MIA 18,23,14,Kerry Collins pass incomplete intended for Jerry Porter,4.040,3.310
4,14:10,3,7,MIA 18,23,20,"Kerry Collins up the middle for 18 yards, touchdown",3.310,7.000
4,,,,MIA 2,23,21,Sebastian Janikowski kicks extra point good,0.000,0.000
4,,,,OAK 30,23,21,"Shane Lechler kicks off 73 yards, returned by Wes Welker for 22 yards (tackle by Tim Johnson)",0.000,0.150
4,13:56,1,10,MIA 19,23,21,Gus Frerotte pass complete to Alex Holmes for 2 yards (tackle by Renaldo Hill),0.150,-0.060
4,13:14,2,8,MIA 21,23,21,Ronnie Brown up the middle for 4 yards (tackle by Ted Washington and Renaldo Hill),-0.060,-0.290
4,12:35,3,4,MIA 25,23,21,"Gus Frerotte pass incomplete intended for Randy McMichael. Penalty on DeLawrence Grant: Defensive Offside, 5 yards (no play)",-0.290,0.940
4,12:30,1,10,MIA 30,23,21,Chris Chambers left end for 5 yards (tackle by Nnamdi Asomugha and Danny Clark),0.940,1.070
4,11:51,2,5,MIA 35,23,21,Gus Frerotte pass complete to Ronnie Brown for 8 yards (tackle by Danny Clark),1.070,1.800
4,11:14,1,10,MIA 43,23,21,Gus Frerotte pass incomplete intended for Ronnie Brown,1.800,1.250
4,11:09,2,10,MIA 43,23,21,Gus Frerotte pass complete to Ricky Williams for 5 yards (tackle by Renaldo Hill),1.250,1.220
4,10:25,3,5,MIA 48,23,21,Gus Frerotte sacked by Derrick Burgess for -4 yards,1.220,-0.460
4,10:00,4,9,MIA 44,23,21,Donnie Jones punts 52 yards,-0.460,0.380
4,9:57,1,10,OAK 4,23,21,LaMont Jordan right end for 26 yards (tackle by Lance Schulters),-0.380,0.940
4,9:25,1,10,OAK 30,23,21,"Kerry Collins pass complete to LaMont Jordan for 6 yards (tackle by Donnie Spragan). Penalty on Robert Gallery: Offensive Holding, 10 yards (no play)",0.940,0.280
4,9:03,1,20,OAK 20,23,21,Kerry Collins pass incomplete intended for LaMont Jordan,0.280,-0.960
4,8:57,2,20,OAK 20,23,21,"Kerry Collins pass incomplete intended for Jerry Porter is intercepted by Travis Minor at OAK-47 and returned for 14 yards. Penalty on Travis Daniels: Illegal Use of Hands, 5 yards (no play)",-0.960,0.610
4,8:48,1,10,OAK 25,23,21,Kerry Collins pass complete to Randy Moss for 3 yards (tackle by Travis Daniels),0.610,0.470
4,8:23,2,7,OAK 28,23,21,Kerry Collins pass complete to Randy Moss for 7 yards (tackle by Reggie Howard),0.470,1.270
4,7:40,1,10,OAK 35,23,21,LaMont Jordan up the middle for 5 yards (tackle by Donnie Spragan),1.270,1.400
4,7:02,2,5,OAK 40,23,21,Kerry Collins pass complete to Courtney Anderson for 4 yards (tackle by Donnie Spragan),1.400,1.220
4,6:35,3,1,OAK 44,23,21,Kerry Collins pass incomplete intended for Jerry Porter,1.220,-0.460
4,6:30,4,1,OAK 44,23,21,"Shane Lechler punts 56 yards, touchback",-0.460,-0.280
4,6:20,1,10,MIA 20,23,21,Gus Frerotte pass incomplete intended for Chris Chambers,0.280,-0.270
4,6:17,2,10,MIA 20,23,21,Ricky Williams right guard for 6 yards (tackle by Jarrod Cooper),-0.270,-0.160
4,5:39,3,4,MIA 26,23,21,Gus Frerotte pass complete to Chris Chambers for 24 yards (tackle by Stuart Schweigert),-0.160,2.260
4,5:11,1,10,OAK 50,23,21,Ricky Williams right guard for 6 yards (tackle by Bobby Hamilton),2.260,2.520
4,4:37,2,4,OAK 44,23,21,Ricky Williams up the middle for 7 yards (tackle by Kirk Morrison),2.520,3.120
4,4:05,1,10,OAK 37,23,21,Ricky Williams right guard for 3 yards (tackle by Tommy Kelly),3.120,2.980
4,3:57,,,,23,21,Timeout #1 by Oakland Raiders,0.000,2.980
4,3:57,2,7,OAK 34,29,21,"Ricky Williams left tackle for 34 yards, touchdown",2.980,7.000
4,,,,OAK 2,30,21,Olindo Mare kicks extra point good,0.000,0.000
4,,,,MIA 30,30,21,"Olindo Mare kicks off 75 yards, touchback",0.000,0.280
4,3:50,1,10,OAK 20,30,21,"Kerry Collins pass complete to Courtney Anderson for no gain. Penalty on Brad Badger: Offensive Holding, 10 yards (no play)",0.280,-0.760
4,3:43,1,20,OAK 10,30,21,Kerry Collins pass complete to Courtney Anderson for 15 yards (tackle by Sam Madison),-0.760,0.410
4,3:35,2,5,OAK 25,30,21,Kerry Collins pass incomplete intended for Doug Gabriel is intercepted by Lance Schulters at OAK-37 and returned for 16 yards,0.410,-4.170
4,3:25,1,10,OAK 21,30,21,"Ronnie Brown up the middle for 5 yards (tackle by Jarrod Cooper). Ronnie Brown fumbles (forced by Jarrod Cooper), recovered by Kirk Morrison at OAK-16 (tackle by Ronnie Brown)",4.170,0.140
4,3:18,1,10,OAK 16,30,21,Kerry Collins pass incomplete intended for Doug Gabriel,-0.140,-0.660
4,3:13,2,10,OAK 16,30,21,"Kerry Collins pass incomplete intended for Jerry Porter is intercepted by Lance Schulters at OAK-33 and returned for 6 yards. Penalty on Channing Crowder: Defensive Holding, 5 yards (no play)",-0.660,0.340
4,3:03,1,10,OAK 21,30,21,"Kerry Collins sacked by David Bowens for -6 yards. Kerry Collins fumbles (forced by David Bowens), recovered by Jason Taylor at OAK-15 (tackle by Ron Stone)",0.340,-4.580
4,2:56,1,10,OAK 15,30,21,Ricky Williams up the middle for 1 yard (tackle by Bobby Hamilton),4.580,4.110
4,2:45,,,,30,21,Timeout #3 by Oakland Raiders,0.000,4.110
4,2:45,2,9,OAK 14,30,21,Ricky Williams up the middle for 1 yard (tackle by Terdell Sands),4.110,3.400
4,2:00,3,8,OAK 13,30,21,Ricky Williams up the middle for 4 yards (tackle by Kirk Morrison),3.400,2.900
4,1:15,,,,30,21,Timeout #1 by Miami Dolphins,0.000,2.900
4,1:15,4,4,OAK 9,33,21,Olindo Mare 27 yard field goal good,2.900,3.000
4,,,,MIA 30,33,21,"Olindo Mare kicks off 66 yards, returned by Chris Carr for 24 yards (tackle by Jason Glenn)",0.000,0.810
4,1:05,1,10,OAK 28,33,21,Kerry Collins pass complete to Courtney Anderson for 12 yards (tackle by Channing Crowder),0.810,1.600
4,0:41,,,,33,21,Timeout #2 by Miami Dolphins,0.000,1.600
4,0:41,1,10,OAK 40,33,21,Kerry Collins pass complete to LaMont Jordan for 4 yards (tackle by Travis Daniels),1.600,1.590
4,0:37,2,6,OAK 44,33,21,Kerry Collins pass complete to Courtney Anderson for 8 yards (tackle by Sam Madison),1.590,2.390
4,0:11,1,10,MIA 48,33,21,Kerry Collins pass complete to LaMont Jordan for 3 yards (tackle by David Bowens),2.390,2.250
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
