#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:25,WAS 26,4,2:09,22,Punt
2,1,6:23,WAS 17,3,1:02,-4,Punt
3,1,3:08,WAS 18,7,4:05,82,Touchdown
4,2,12:29,WAS 30,10,4:09,60,Field Goal
5,2,5:48,WAS 7,6,2:59,24,Punt
6,2,0:31,WAS 20,4,0:29,55,Field Goal
7,3,15:00,WAS 20,6,3:24,21,Punt
8,3,4:13,WAS 20,3,1:29,6,Punt
9,4,12:54,WAS 20,1,0:14,14,Fumble
10,4,10:27,WAS 20,4,1:58,33,Interception
11,4,5:55,WAS 11,5,1:48,47,Interception
12,4,3:43,WAS 36,4,1:26,64,Touchdown
13,4,0:29,WAS 14,1,0:11,0,Interception
14,4,0:18,WAS 20,1,0:18,16,End of Game
