Unnamed: 0,WAS,ARI
First Downs,21,19
Rush-Yds-TDs,17-72-0,23-74-0
Cmp-Att-Yd-TD-INT,24-38-354-2-3,28-44-250-2-0
Sacked-Yards,2-19,1-7
Net Pass Yards,335,243
Total Yards,407,317
Fumbles-Lost,1-1,2-0
Turnovers,4,0
Penalties-Yards,6-62,14-108
Third Down Conv.,2-10,7-17
Fourth Down Conv.,1-1,0-0
Time of Possession,25:41,34:19
