Quarter,Time,Tm,Detail,CLE,IND
1.0,14:03,Browns,Jerome Ford 69 yard rush (Dustin Hopkins kick),7,0
,11:38,Colts,Josh Downs 59 yard pass from Gardner Minshew II (Matt Gay kick),7,7
,4:28,Colts,Gardner Minshew II 17 yard rush (Matt Gay kick),7,14
2.0,14:22,Browns,Kareem Hunt 2 yard rush (Dustin Hopkins kick),14,14
,8:38,Browns,Dustin Hopkins 44 yard field goal,17,14
,3:51,Colts,Gardner Minshew II 4 yard rush (Matt Gay kick),17,21
,1:42,Browns,Tony Fields fumble recovery in end zone (Dustin Hopkins kick),24,21
,0:00,Browns,Dustin Hopkins 54 yard field goal,27,21
3.0,9:23,Browns,Dustin Hopkins 54 yard field goal,30,21
,5:11,Colts,Jonathan Taylor 5 yard rush (Matt Gay kick),30,28
4.0,14:09,Colts,Matt Gay 27 yard field goal,30,31
,6:33,Browns,Dustin Hopkins 58 yard field goal,33,31
,5:38,Colts,Michael Pittman Jr. 75 yard pass from Gardner Minshew II (Matt Gay kick),33,38
,0:15,Browns,Kareem Hunt 1 yard rush (run failed),39,38
