Unnamed: 0,CLE,IND
First Downs,18,20
Rush-Yds-TDs,33-150-3,40-168-3
Cmp-Att-Yd-TD-INT,16-37-183-0-2,15-23-305-2-1
Sacked-Yards,2-17,4-17
Net Pass Yards,166,288
Total Yards,316,456
Fumbles-Lost,1-0,4-3
Turnovers,2,4
Penalties-Yards,4-20,8-67
Third Down Conv.,4-16,7-15
Fourth Down Conv.,1-2,0-0
Time of Possession,27:29,32:31
