Unnamed: 0,PIT,CIN
First Downs,21,19
Rush-Yds-TDs,29-167-0,24-91-1
Cmp-Att-Yd-TD-INT,20-36-240-1-1,23-41-212-1-1
Sacked-Yards,4-38,3-24
Net Pass Yards,202,188
Total Yards,369,279
Fumbles-Lost,2-1,5-3
Turnovers,2,4
Penalties-Yards,10-142,8-79
Third Down Conv.,2-13,5-15
Fourth Down Conv.,1-1,1-1
Time of Possession,30:37,29:23
